H,1552776340,324570
P,1552776340,5178
P,1552776369,5178
P,1552776400,5178
P,1552776429,5177
P,1552776458,5178
P,1552776487,5178
P,1552776517,5179
P,1552776546,5178
P,1552776575,5178
P,1552776605,5176
P,1552776634,5178
P,1552776663,5176
P,1552776693,5177
P,1552776723,5177
P,1552776752,5176
P,1552776781,5178
P,1552776811,5178
P,1552776840,5178
P,1552776869,5178
P,1552776898,5178
P,1552776928,5177
P,1552776957,5177
P,1552776987,5177
P,1552777017,5178
P,1552777046,5176
P,1552777075,5179
P,1552777104,5179
P,1552777134,5178
P,1552777163,5178
P,1552777192,5178
P,1552777222,5178
P,1552777251,5176
P,1552777281,5178
P,1552777310,5178
P,1552777340,5176
P,1552777369,5178
P,1552777398,5177
P,1552777427,5177
P,1552777457,5178
P,1552777486,5178
P,1552777515,5177
P,1552777545,5178
P,1552777575,5178
P,1552777604,5179
P,1552777633,5178
P,1552777663,5178
P,1552777692,5178
P,1552777721,5178
P,1552777751,5179
P,1552777780,5178
P,1552777809,5179
P,1552777838,5178
P,1552777869,5178
P,1552777898,5178
P,1552777927,5178
P,1552777957,5178
P,1552777986,5177
O,1552777991,314044,2110
O,1552777992,314258,129
O,1552777993,314222,66
O,1552777993,314233,81
O,1552777994,314243,81
O,1552777994,314237,96
O,1552777995,314230,103
O,1552777995,314226,117
O,1552777996,314211,97
O,1552777997,314211,63
O,1552777997,314205,116
O,1552777998,314230,105
O,1552777998,314255,77
O,1552777999,314252,68
O,1552777999,314263,100
O,1552778000,314265,75
O,1552778001,314269,137
O,1552778001,314229,86
O,1552778001,314224,115
O,1552778001,314238,140
O,1552778002,314238,84
O,1552778002,314229,77
O,1552778003,314223,112
O,1552778003,314185,74
O,1552778004,314188,71
O,1552778005,314206,69
O,1552778005,314225,157
O,1552778006,314168,105
O,1552778006,314190,64
O,1552778007,314129,157
O,1552778007,314098,115
O,1552778008,314144,106
O,1552778009,314109,88
O,1552778009,314118,124
O,1552778010,314071,252
O,1552778010,313908,113
O,1552778011,314023,110
O,1552778011,314032,171
O,1552778012,314019,150
O,1552778013,314103,259
O,1552778013,313922,359
O,1552778014,313949,213
O,1552778014,314166,108
O,1552778015,314144,184
P,1552778015,5169
O,1552778015,314143,291
O,1552778016,314173,352
O,1552778017,314199,289
O,1552778017,314153,166
O,1552778018,314156,148
O,1552778018,314189,91
O,1552778019,314150,128
O,1552778019,314182,116
O,1552778020,314107,140
O,1552778021,314190,123
O,1552778021,314108,102
O,1552778022,314143,195
O,1552778022,314093,185
O,1552778023,314162,149
O,1552778023,314160,153
O,1552778024,314179,147
O,1552778025,314182,187
O,1552778025,314151,116
O,1552778026,314104,132
O,1552778026,314120,116
O,1552778027,314165,114
O,1552778027,314160,128
O,1552778028,314230,132
O,1552778028,314205,86
O,1552778029,314213,121
O,1552778030,314186,158
O,1552778030,314217,95
O,1552778031,314246,76
O,1552778031,314204,79
O,1552778032,314201,87
O,1552778032,314172,173
O,1552778033,314189,81
O,1552778034,314193,87
O,1552778034,314220,75
O,1552778035,314198,121
O,1552778035,314231,101
O,1552778036,314245,112
O,1552778036,314250,104
O,1552778037,314262,100
O,1552778038,314290,86
O,1552778038,314302,100
O,1552778039,314302,121
O,1552778039,314311,97
O,1552778040,314306,133
O,1552778040,314335,59
O,1552778041,314296,86
O,1552778042,314312,112
O,1552778042,314294,109
O,1552778042,314315,153
O,1552778042,314276,82
O,1552778043,314286,103
O,1552778043,314293,92
O,1552778044,314280,108
P,1552778044,5171
O,1552778045,314305,122
O,1552778045,314265,107
O,1552778046,314261,109
O,1552778046,314298,95
T,1552778046,2837
P,1552778074,5178
P,1552778103,5178
P,1552778132,5179
P,1552778163,5177
P,1552778192,5178
P,1552778221,5178
P,1552778250,5178
P,1552778280,5177
P,1552778309,5177
P,1552778338,5176
P,1552778368,5178
P,1552778397,5177
P,1552778426,5177
P,1552778456,5177
P,1552778486,5178
P,1552778515,5177
P,1552778544,5177
P,1552778574,5178
P,1552778603,5177
P,1552778632,5177
P,1552778661,5178
P,1552778691,5177
P,1552778720,5175
P,1552778750,5177
P,1552778780,5178
P,1552778809,5177
P,1552778838,5178
P,1552778867,5177
P,1552778897,5176
P,1552778926,5179
P,1552778956,5176
P,1552778986,5178
P,1552779015,5178
P,1552779045,5178
P,1552779074,5178
P,1552779104,5178
P,1552779133,5178
P,1552779162,5177
P,1552779191,5178
P,1552779221,5178
P,1552779250,5178
P,1552779279,5179
P,1552779309,5178
P,1552779339,51
