H,1553048942,324570
P,1553048942,5151
P,1553048971,5150
P,1553049000,5151
P,1553049030,5151
P,1553049060,5152
P,1553049090,5150
P,1553049119,5151
P,1553049149,5150
P,1553049178,5152
P,1553049207,5150
P,1553049237,5150
P,1553049266,5152
P,1553049295,5151
P,1553049324,5152
P,1553049354,5151
P,1553049384,5150
P,1553049413,5149
P,1553049442,5151
P,1553049472,5149
P,1553049501,5150
P,1553049530,5151
P,1553049560,5150
P,1553049589,5151
P,1553049618,5151
P,1553049647,5151
P,1553049678,5151
P,1553049707,5150
P,1553049736,5150
P,1553049766,5151
P,1553049795,5152
P,1553049824,5152
P,1553049853,5151
P,1553049883,5152
P,1553049912,5150
P,1553049941,5151
P,1553049972,5150
P,1553050001,5150
P,1553050030,5151
P,1553050059,5151
P,1553050089,5151
P,1553050118,5151
P,1553050147,5138
P,1553050177,5152
P,1553050206,5150
P,1553050235,5151
P,1553050265,5151
P,1553050295,5150
P,1553050324,5151
P,1553050353,5151
P,1553050383,5151
P,1553050412,5151
P,1553050441,5152
P,1553050470,5151
P,1553050500,5150
P,1553050529,5151
P,1553050559,5150
P,1553050589,5150
P,1553050618,5150
P,1553050647,5151
P,1553050676,5151
P,1553050706,5151
P,1553050735,5151
P,1553050764,5151
P,1553050794,5152
P,1553050823,5151
P,1553050853,5151
P,1553050882,5149
O,1553050897,315830,2007
O,1553050898,316027,79
O,1553050898,316003,98
O,1553050899,315995,107
O,1553050900,315969,81
O,1553050900,315966,75
O,1553050901,315989,82
O,1553050901,316011,112
O,1553050902,316125,127
O,1553050902,316201,148
O,1553050903,316310,169
O,1553050903,316356,190
O,1553050904,316239,162
O,1553050905,316130,114
O,1553050905,316152,104
O,1553050906,316495,328
O,1553050906,316396,430
O,1553050907,316698,296
O,1553050907,317211,914
O,1553050908,317280,410
O,1553050909,316925,353
O,1553050909,316565,120
O,1553050910,316322,168
O,1553050910,316241,72
O,1553050911,316211,129
O,1553050911,316315,143
P,1553050912,5143
O,1553050912,316348,112
O,1553050913,316234,209
O,1553050913,316034,209
O,1553050914,316002,74
O,1553050914,316010,86
O,1553050915,315961,119
O,1553050915,315946,92
O,1553050916,315954,65
O,1553050917,315982,96
O,1553050917,315982,128
O,1553050918,315982,99
O,1553050918,315977,101
O,1553050918,316001,93
O,1553050918,316007,88
O,1553050919,315982,103
O,1553050920,315988,126
O,1553050920,316123,237
O,1553050921,316150,76
O,1553050921,316102,163
O,1553050922,316187,101
O,1553050922,316114,72
O,1553050923,316050,118
O,1553050923,316009,81
O,1553050924,315994,82
O,1553050925,315967,104
O,1553050925,315971,146
O,1553050926,315950,92
O,1553050926,315965,98
O,1553050927,315962,128
O,1553050927,315972,105
O,1553050928,315989,63
O,1553050929,315978,82
O,1553050929,316003,66
O,1553050930,315988,118
O,1553050930,316011,100
O,1553050931,316037,78
O,1553050931,316049,55
O,1553050932,316033,95
O,1553050933,316014,103
O,1553050933,316018,115
O,1553050934,316032,124
O,1553050934,316038,88
O,1553050935,316032,145
O,1553050935,316019,132
O,1553050936,316040,75
O,1553050937,316049,101
O,1553050937,316049,106
O,1553050938,316071,97
O,1553050938,316055,59
O,1553050939,316064,110
O,1553050939,316050,78
O,1553050940,316074,87
O,1553050941,316057,117
P,1553050941,5143
O,1553050941,316070,62
O,1553050942,316084,65
O,1553050942,316066,60
O,1553050943,316075,73
O,1553050943,316071,126
O,1553050944,316070,136
O,1553050945,316041,62
O,1553050945,316032,105
O,1553050946,316012,67
O,1553050946,316015,104
O,1553050947,316053,124
O,1553050947,316091,106
O,1553050948,316114,143
O,1553050948,316072,126
O,1553050949,316040,135
O,1553050950,316035,98
O,1553050950,316127,149
O,1553050951,316133,116
O,1553050951,316153,90
O,1553050952,316140,149
O,1553050952,316225,198
O,1553050953,316270,122
T,1553050953,2746
P,1553050970,5150
P,1553051000,5149
P,1553051029,5151
P,1553051058,5151
P,1553051087,5150
P,1553051117,5150
P,1553051147,5152
P,1553051176,5150
P,1553051205,5151
P,1553051235,5152
P,1553051264,5151
P,1553051293,5150
P,1553051323,5151
P,1553051352,5150
P,1553051381,5151
P,1553051410,5151
P,1553051441,5151
P,1553051470,5151
P,1553051499,5150
P,1553051529,5150
P,1553051558,5151
P,1553051587,5152
P,1553051616,5151
P,1553051646,5152
P,1553051676,5151
P,1553051705,5150
P,1553051736,5150
P,1553051765,5150
P,1553051794,5152
P,1553051823,5152
P,1553051853,5150
P,1553051882,5151
P,1553051911,5151
P,1553051941,5152
