H,1553973892,324570
X,1553973892,619848,1250
X,1553973893,619924,904
X,1553973893,619792,944
X,1553973894,619843,5121
X,1553973895,619751,946
X,1553973895,619792,830
X,1553973896,619804,878
X,1553973896,619840,1211
X,1553973897,619850,879
X,1553973897,619868,557
X,1553973898,619890,649
X,1553973899,619900,694
X,1553973899,619956,18150
X,1553973900,619949,1710
X,1553973900,620000,381
X,1553973901,620178,2870
X,1553973901,619887,3326
X,1553973902,619940,1100
X,1553973903,619890,1086
X,1553973903,619903,501
X,1553973904,620041,1031
X,1553973904,619852,1902
X,1553973905,620071,1591
X,1553973905,619912,1008
X,1553973906,619909,826
X,1553973906,619991,972
X,1553973906,619934,15555
X,1553973907,620152,3005
X,1553973907,619986,515
X,1553973908,620008,556
X,1553973908,619968,512
X,1553973909,620092,1120
X,1553973910,620594,23059
X,1553973910,620287,3098
X,1553973911,620185,709
X,1553973911,620060,967
X,1553973912,620121,895
A,1553973912,619926,434
T,1553973912,2875
X,1553973914,620162,803
X,1553973914,620095,556
P,1553973915,5148
X,1553973915,620154,5186
X,1553973915,620134,1493
X,1553973916,620078,732
X,1553973917,620413,9533
X,1553973917,620058,558
X,1553973918,620070,709
X,1553973918,619987,872
X,1553973919,620006,2850
X,1553973919,620221,1558
X,1553973920,620023,1859
X,1553973921,620174,662
X,1553973921,620086,778
X,1553973922,620012,840
X,1553973922,620082,580
X,1553973923,620154,1300
X,1553973923,620105,837
X,1553973924,620086,894
X,1553973925,620143,889
X,1553973925,620049,623
X,1553973926,620027,1268
X,1553973926,620151,1404
X,1553973927,620028,715
X,1553973927,620000,610
X,1553973928,620021,497
X,1553973929,619913,1084
X,1553973929,619950,1197
X,1553973930,620121,1425
X,1553973930,619959,700
X,1553973931,619961,490
X,1553973931,619965,753
A,1553973931,620056,215
T,1553973932,2875
X,1553973933,620075,810
X,1553973934,620083,830
X,1553973934,620079,804
X,1553973935,619995,970
X,1553973936,620056,1351
X,1553973936,620274,1251
X,1553973937,620279,1085
X,1553973937,620318,809
X,1553973938,620262,655
X,1553973938,620244,918
X,1553973939,620165,1400
X,1553973940,620234,670
X,1553973940,620283,1337
X,1553973941,620168,637
X,1553973941,620160,862
X,1553973942,620163,1047
X,1553973942,620196,1042
X,1553973943,620212,1051
X,1553973944,620114,760
X,1553973944,620066,660
X,1553973945,620029,789
P,1553973945,5151
X,1553973945,619941,801
X,1553973946,620035,2039
X,1553973946,620127,889
X,1553973947,620157,1788
X,1553973947,619999,708
X,1553973947,620385,3472
X,1553973948,619430,1790
X,1553973948,619940,1116
X,1553973949,620093,1008
X,1553973949,619898,940
X,1553973950,619934,718
X,1553973951,619915,937
X,1553973951,619863,1081
X,1553973952,619922,1481
X,1553973952,620044,1160
X,1553973953,619962,448
A,1553973953,620080,420
T,1553973953,2875
X,1553973955,619808,656
X,1553973955,619867,551
X,1553973956,619947,1053
X,1553973956,619864,476
X,1553973957,619898,845
X,1553973958,619859,390
X,1553973958,619913,9318
X,1553973959,619908,859
X,1553973959,619875,522
X,1553973960,619874,339
X,1553973960,619880,996
X,1553973961,619891,856
X,1553973962,619894,961
X,1553973962,619976,1141
X,1553973963,619931,811
X,1553973963,619951,311
X,1553973964,619899,1180
X,1553973964,619870,658
X,1553973965,619958,1339
X,1553973966,619991,855
X,1553973966,619956,931
X,1553973967,619998,724
X,1553973967,619964,747
X,1553973968,619978,1499
X,1553973968,619994,467
X,1553973969,620014,870
A,1553973969,619914,206
T,1553973969,2875
X,1553973971,619921,873
X,1553973972,620050,1198
X,1553973972,620098,1792
X,1553973973,619890,1518
X,1553973973,620022,1053
X,1553973974,619996,971
P,1553973974,5150
X,1553973974,619918,1846
X,1553973975,619978,1105
X,1553973975,620065,1384
X,1553973976,620012,815
X,1553973977,620053,689
X,1553973977,619986,801
X,1553973978,619990,1079
X,1553973978,620019,1112
X,1553973979,620042,1220
X,1553973979,620046,1242
X,1553973980,619997,629
X,1553973981,620007,1059
X,1553973981,619947,1162
X,1553973982,620012,1020
X,1553973982,620101,1087
X,1553973983,620055,927
X,1553973983,620041,1022
X,1553973984,620033,586
X,1553973985,620006,1181
X,1553973985,620066,818
X,1553973986,620039,1225
X,1553973986,620015,617
X,1553973987,619993,638
X,1553973987,619978,353
