H,1554015743,324570
P,1554015743,5149
P,1554015773,5149
P,1554015802,5150
P,1554015831,5149
P,1554015862,5148
P,1554015891,5147
P,1554015920,5147
P,1554015949,5149
P,1554015979,5149
P,1554016008,5148
P,1554016037,5148
P,1554016067,5149
P,1554016096,5148
P,1554016125,5148
P,1554016155,5149
P,1554016185,5149
P,1554016214,5147
P,1554016243,5147
P,1554016273,5147
P,1554016302,5148
P,1554016331,5148
P,1554016360,5150
P,1554016390,5149
P,1554016419,5149
P,1554016449,5150
P,1554016479,5149
P,1554016508,5149
P,1554016537,5149
P,1554016566,5147
P,1554016596,5149
P,1554016626,5148
P,1554016655,5148
P,1554016685,5148
P,1554016714,5149
P,1554016744,5148
P,1554016773,5148
P,1554016803,5149
P,1554016832,5149
P,1554016861,5149
P,1554016891,5149
P,1554016920,5148
P,1554016949,5149
P,1554016978,5149
P,1554017008,5149
P,1554017038,5148
P,1554017067,5147
P,1554017096,5149
P,1554017126,5149
P,1554017155,5148
P,1554017184,5148
P,1554017214,5149
P,1554017243,5149
P,1554017272,5149
P,1554017301,5148
P,1554017332,5149
P,1554017361,5150
P,1554017390,5147
P,1554017420,5149
P,1554017449,5149
P,1554017478,5149
P,1554017507,5148
P,1554017537,5149
O,1554017549,294459,1929
O,1554017549,293936,273
O,1554017550,294004,467
O,1554017551,294214,368
O,1554017551,294720,421
O,1554017552,294784,385
O,1554017552,294621,589
O,1554017553,294445,255
O,1554017553,294622,276
O,1554017554,294674,458
O,1554017555,294749,257
O,1554017555,294661,318
O,1554017556,294969,315
O,1554017556,295079,105
O,1554017557,295133,196
O,1554017557,295015,95
O,1554017558,295032,322
O,1554017559,295144,127
O,1554017559,295177,215
O,1554017560,295165,179
O,1554017560,295153,110
O,1554017561,295187,181
O,1554017561,295347,84
O,1554017562,295298,182
O,1554017563,295030,231
O,1554017563,295106,153
O,1554017564,295148,112
O,1554017564,295254,238
O,1554017565,295433,79
O,1554017565,295470,152
O,1554017566,295614,121
P,1554017566,5141
O,1554017566,295498,170
O,1554017567,295550,190
O,1554017568,295599,159
O,1554017568,295586,125
O,1554017569,295524,117
O,1554017569,295527,59
O,1554017570,295535,88
O,1554017570,295292,237
O,1554017571,295282,296
O,1554017572,295320,206
O,1554017572,295321,235
O,1554017573,295242,259
O,1554017573,295433,243
O,1554017574,295529,346
O,1554017574,295468,326
O,1554017575,295411,158
O,1554017576,295495,128
O,1554017576,295600,215
O,1554017577,295568,330
O,1554017577,295593,232
O,1554017578,295634,164
O,1554017578,295638,197
O,1554017579,295582,263
O,1554017580,295587,226
O,1554017580,295406,405
O,1554017581,295343,359
O,1554017581,295462,166
O,1554017582,295536,182
O,1554017582,295536,97
O,1554017583,295617,173
O,1554017584,295530,126
O,1554017584,295461,304
O,1554017585,295510,245
O,1554017585,295486,233
O,1554017586,295513,277
O,1554017586,295526,193
O,1554017587,295478,88
O,1554017588,295502,146
O,1554017588,295560,234
O,1554017588,295707,228
O,1554017588,295842,245
O,1554017589,295666,147
O,1554017589,295609,262
O,1554017590,295660,262
O,1554017590,295494,287
O,1554017591,295476,170
O,1554017592,295339,297
O,1554017592,295548,310
O,1554017593,295519,398
O,1554017593,295630,472
O,1554017594,295580,384
O,1554017594,295677,342
O,1554017595,295844,202
P,1554017595,5143
O,1554017596,295621,240
O,1554017596,295526,388
O,1554017597,295401,140
O,1554017597,295516,231
O,1554017598,295265,505
O,1554017598,295315,436
O,1554017599,295300,170
O,1554017600,295399,374
O,1554017600,295460,212
O,1554017601,295460,229
O,1554017601,295324,299
O,1554017602,295694,274
O,1554017602,295756,228
O,1554017603,295638,121
O,1554017604,295610,160
O,1554017604,295762,447
O,1554017605,295954,487
T,1554017605,2803
P,1554017626,5147
P,1554017655,5149
P,1554017684,5149
P,1554017713,5148
P,1554017743,5147
P,1554017772,5149
P,1554017801,5149
P,1554017831,5148
P,1554017860,5150
P,1554017889,5149
P,1554017919,5147
P,1554017949,5147
P,1554017978,5149
P,1554018007,5149
P,1554018037,5148
P,1554018066,5150
P,1554018095,5148
P,1554018124,5150
P,1554018154,5148
P,1554018183,5150
P,1554018213,5147
P,1554018243,5149
P,1554018272,5149
P,1554018301,5150
P,1554018330,5149
P,1554018360,5147
P,1554018389,5149
P,1554018418,5149
P,1554018448,5147
P,1554018477,5149
P,1554018507,5148
P,1554018536,5149
P,1554018566,5149
P,1554018595,5149
P,1554018624,5149
P,1554018654,5149
P,1554018683,5149
P,1554018712,5149
P,1554018741,5149
