H,1548832112,312466
D,1548832112,345600
D,1548832114,344832
D,1548832117,345600
D,1548832119,345088
D,1548832121,344320
D,1548832122,346112
D,1548832124,345856
D,1548832127,346112
P,1548832127,5048
D,1548832129,345600
D,1548832131,345344
D,1548832133,346880
D,1548832136,343552
D,1548832138,345600
D,1548832140,344832
D,1548832142,345088
D,1548832144,346624
D,1548832147,346368
D,1548832149,344576
D,1548832151,344320
D,1548832153,344832
D,1548832155,345344
P,1548832157,5124
D,1548832158,344832
D,1548832160,345600
D,1548832162,344832
D,1548832163,345600
D,1548832165,345600
D,1548832168,345088
D,1548832170,344064
D,1548832172,346368
D,1548832174,344832
D,1548832176,343040
D,1548832179,343808
D,1548832181,342272
D,1548832183,340480
D,1548832185,347392
P,1548832186,5122
D,1548832187,345344
D,1548832190,345088
D,1548832192,345344
D,1548832194,340480
D,1548832196,346112
D,1548832198,344832
D,1548832201,345344
D,1548832203,346880
D,1548832204,344576
D,1548832206,345088
D,1548832208,342784
D,1548832211,344832
D,1548832213,342272
D,1548832215,345600
P,1548832215,5027
D,1548832217,344832
D,1548832219,346880
D,1548832222,346112
D,1548832224,343296
D,1548832226,344064
D,1548832228,345856
D,1548832230,344064
D,1548832233,345856
D,1548832235,345856
D,1548832237,345344
D,1548832239,347392
D,1548832241,345856
D,1548832244,345344
R,1548832244,000000000
P,1548832245,5116
X,1548832245,521043,3132
X,1548832245,521255,2710
X,1548832246,522435,2513
X,1548832246,523412,1520
X,1548832247,523021,2614
X,1548832247,523333,1079
X,1548832248,522917,3283
X,1548832248,525228,4908
X,1548832249,526407,3388
X,1548832250,526753,2263
X,1548832250,528753,8819
X,1548832251,527518,5297
X,1548832251,525649,3990
X,1548832252,526321,2794
X,1548832252,525262,2547
X,1548832253,523038,1250
X,1548832254,522730,792
X,1548832254,523497,3793
X,1548832255,523237,1709
X,1548832255,524332,7083
X,1548832256,524781,5075
X,1548832256,522940,3514
X,1548832257,524052,1561
X,1548832257,524895,1720
X,1548832258,524153,2657
X,1548832259,524437,3757
X,1548832259,523826,5010
X,1548832260,524787,9243
X,1548832260,525827,3210
X,1548832261,526896,4152
X,1548832261,525108,5137
X,1548832262,523818,5325
X,1548832263,525970,4843
X,1548832263,525039,4142
X,1548832264,523815,3044
X,1548832264,525209,4301
X,1548832265,526580,3386
X,1548832265,524647,2589
X,1548832266,524134,1573
X,1548832267,524634,3687
X,1548832267,522700,4923
X,1548832268,519932,2178
X,1548832268,518902,2980
X,1548832269,522375,1466
X,1548832269,523318,1717
X,1548832270,522600,1483
X,1548832271,522211,1895
X,1548832271,522877,1852
X,1548832272,522568,1349
X,1548832272,522646,1150
X,1548832273,522566,1199
X,1548832273,522658,1000
X,1548832274,522185,2642
P,1548832274,5117
X,1548832275,522027,606
X,1548832275,522509,1265
X,1548832276,522913,1270
X,1548832276,522220,6345
X,1548832277,522892,3975
X,1548832277,523249,941
X,1548832278,523506,1319
X,1548832278,523090,2384
X,1548832279,522413,1891
X,1548832280,522743,2530
X,1548832280,520722,3042
X,1548832281,519057,8802
X,1548832281,517774,6372
X,1548832282,521277,2804
X,1548832282,522546,3883
X,1548832283,524252,964
X,1548832284,523521,1752
X,1548832284,522596,3208
X,1548832285,522640,3916
X,1548832285,522001,1397
X,1548832286,522310,1617
X,1548832286,521605,1654
X,1548832286,521701,2099
X,1548832287,522644,616
X,1548832287,522501,3212
X,1548832288,523014,1289
X,1548832288,522865,1631
X,1548832289,522708,603
X,1548832289,522295,896
X,1548832290,522144,664
X,1548832291,522246,1113
X,1548832291,521639,1241
X,1548832292,522730,1552
X,1548832292,522654,3249
X,1548832293,522649,1213
X,1548832293,522055,1135
X,1548832294,521234,840
X,1548832295,521013,1010
X,1548832295,522153,8461
X,1548832296,523388,5713
X,1548832296,522626,3244
X,1548832297,522273,1205
X,1548832297,522933,2658
X,1548832298,523268,1782
X,1548832299,524371,2442
X,1548832299,523719,2197
X,1548832300,522950,1871
X,1548832300,522046,1479
X,1548832301,523932,2963
X,1548832301,523578,3416
X,1548832302,523607,3862
X,1548832302,524232,1472
X,1548832303,523590,1086
P,1548832304,5116
X,1548832304,523164,917
X,1548832304,523283,1335
X,1548832305,524503,2122
X,1548832305,524463,1787
X,1548832306,524890,1441
X,1548832306,524388,2517
X,1548832307,522658,1897
X,1548832308,522924,1764
X,1548832308,523285,833
X,1548832309,523232,2290
X,1548832309,523105,3128
X,1548832310,522724,2156
X,1548832310,522053,887
X,1548832311,521801,1303
X,1548832312,521623,1060
X,1548832312,522004,1048
X,1548832313,522415,1288
