H,1550162968,312466
P,1550162968,5121
P,1550162997,5118
P,1550163027,5119
P,1550163056,5121
P,1550163086,5121
P,1550163116,5120
P,1550163145,5118
P,1550163174,5120
P,1550163203,5121
P,1550163233,5120
P,1550163262,5118
P,1550163291,5118
P,1550163321,5120
P,1550163350,5120
P,1550163380,5120
P,1550163409,5120
P,1550163439,5120
P,1550163468,5119
P,1550163497,5120
P,1550163527,5120
P,1550163556,5121
P,1550163585,5118
P,1550163614,5119
P,1550163644,5120
P,1550163674,5120
P,1550163703,5121
P,1550163733,5120
P,1550163762,5120
P,1550163791,5118
P,1550163820,5121
P,1550163850,5120
P,1550163879,5118
P,1550163908,5119
P,1550163938,5120
P,1550163968,5120
P,1550163997,5119
P,1550164026,5119
P,1550164056,5119
P,1550164085,5120
P,1550164114,5119
P,1550164144,5120
P,1550164173,5120
P,1550164202,5120
P,1550164231,5118
P,1550164262,5120
P,1550164291,5119
P,1550164320,5119
P,1550164349,5119
P,1550164379,5119
P,1550164408,5119
P,1550164437,5121
P,1550164467,5118
P,1550164496,5121
P,1550164525,5119
O,1550164541,325674,2029
O,1550164542,325872,125
O,1550164542,325848,99
O,1550164543,325821,84
O,1550164543,325807,119
O,1550164544,325820,103
O,1550164544,325806,87
O,1550164545,325811,85
O,1550164546,325812,117
O,1550164546,325821,113
O,1550164547,325820,101
O,1550164547,325806,97
O,1550164548,325802,114
O,1550164548,325811,112
O,1550164549,325814,91
O,1550164550,325835,122
O,1550164550,325819,145
O,1550164551,325819,96
O,1550164551,325820,105
O,1550164552,325822,78
O,1550164552,325817,98
O,1550164553,325817,135
O,1550164554,325831,76
O,1550164554,325809,125
O,1550164554,325826,92
O,1550164554,325828,91
P,1550164555,5113
O,1550164555,325828,114
O,1550164555,325823,94
O,1550164556,325820,62
O,1550164557,325789,139
O,1550164557,325795,122
O,1550164558,325798,84
O,1550164558,325794,109
O,1550164559,325796,82
O,1550164559,325794,81
O,1550164560,325810,102
O,1550164561,325799,70
O,1550164561,325811,140
O,1550164562,325793,81
O,1550164562,325818,101
O,1550164563,325814,94
O,1550164563,325820,144
O,1550164564,325812,117
O,1550164564,325802,66
O,1550164565,325810,78
O,1550164566,325815,77
O,1550164566,325827,152
O,1550164567,325822,70
O,1550164567,325810,126
O,1550164568,325797,144
O,1550164568,325799,98
O,1550164569,325803,96
O,1550164570,325809,92
O,1550164570,325841,93
O,1550164571,325831,61
O,1550164571,325855,101
O,1550164572,325834,115
O,1550164572,325829,117
O,1550164573,325841,64
O,1550164574,325841,107
O,1550164574,325864,105
O,1550164575,325838,147
O,1550164575,325842,131
O,1550164576,325844,120
O,1550164576,325853,117
O,1550164577,325862,74
O,1550164578,325874,70
O,1550164578,325850,104
O,1550164579,325818,129
O,1550164579,325820,121
O,1550164580,325830,99
O,1550164580,325820,225
O,1550164581,325820,169
O,1550164582,325808,105
O,1550164582,325823,137
O,1550164583,325831,65
O,1550164583,325844,83
O,1550164584,325861,122
O,1550164584,325841,129
P,1550164585,5112
O,1550164585,325835,123
O,1550164586,325878,138
O,1550164586,325862,124
O,1550164587,325845,135
O,1550164587,325840,109
O,1550164588,325852,79
O,1550164588,325850,120
O,1550164589,325836,88
O,1550164589,325849,96
O,1550164590,325846,122
O,1550164591,325847,99
O,1550164591,325853,94
O,1550164592,325863,145
O,1550164592,325841,72
O,1550164593,325863,163
O,1550164593,325838,125
O,1550164594,325831,125
O,1550164595,325854,113
O,1550164595,325839,91
O,1550164595,325828,77
O,1550164595,325832,92
O,1550164596,325849,247
T,1550164596,2815
P,1550164614,5118
P,1550164643,5119
P,1550164673,5120
P,1550164702,5118
P,1550164731,5118
P,1550164760,5119
P,1550164790,5120
P,1550164819,5118
P,1550164849,5119
P,1550164879,5118
P,1550164908,5120
P,1550164937,5119
P,1550164967,5119
P,1550164997,5120
P,1550165026,5114
P,1550165055,5119
P,1550165085,5119
P,1550165114,5120
P,1550165144,5120
P,1550165173,5120
P,1550165203,5120
P,1550165232,5119
P,1550165261,5120
P,1550165291,5118
P,1550165320,5119
P,1550165349,5118
P,1550165378,5120
P,1550165408,5118
P,1550165438,5120
P,1550165467,5121
P,1550165497,5120
P,1550165526,5119
P,1550165555,5120
P,1550165584,5120
P,1550165614,5120
P,1550165643,5118
P,1550165672,5119
P,1550165702,5119
P,1550165732,5118
P,1550165761,5111
P,1550165790,5120
P,1550165820,5120
P,1550165849,5120
P,1550165878,5118
P,1550165908,5120
