H,1551645364,347907
X,1551645364,755188,2497
X,1551645365,755232,3064
X,1551645365,755728,3176
X,1551645366,755177,1033
X,1551645366,754779,6504
X,1551645367,755322,8230
X,1551645367,754910,7804
X,1551645368,755453,21654
X,1551645368,753986,12076
X,1551645369,752776,23490
X,1551645370,754278,13600
X,1551645370,754079,12003
X,1551645371,755680,21123
X,1551645371,755848,30105
X,1551645372,754147,23246
X,1551645372,755687,23755
X,1551645373,755345,31045
X,1551645374,755354,19838
X,1551645374,755394,21309
X,1551645375,755416,15609
X,1551645375,755120,7923
X,1551645376,754956,1360
X,1551645376,755134,849
X,1551645377,754515,7356
X,1551645378,756441,26028
X,1551645378,755298,21266
X,1551645379,752527,26575
P,1551645379,5310
X,1551645379,753342,36386
X,1551645380,755780,35391
X,1551645380,755877,26699
X,1551645381,755052,18936
X,1551645382,753301,29915
X,1551645382,753853,28183
X,1551645383,755275,18563
X,1551645383,755053,12541
X,1551645384,753739,7856
X,1551645384,753534,2613
X,1551645385,754725,4792
X,1551645386,752858,11899
X,1551645386,752085,3119
X,1551645387,753711,3066
X,1551645387,754161,7212
X,1551645388,754337,17701
X,1551645388,757133,21399
X,1551645389,756010,15451
X,1551645389,755866,2876
X,1551645389,755105,6628
X,1551645390,754699,11068
X,1551645390,753885,7089
X,1551645391,754473,2952
X,1551645391,754186,14326
X,1551645392,754233,4013
X,1551645392,753156,25105
X,1551645393,752517,4031
X,1551645394,754392,6665
X,1551645394,753612,9206
X,1551645395,753841,2031
X,1551645395,753971,6246
X,1551645396,756348,19506
X,1551645396,753375,33712
X,1551645397,752064,3358
X,1551645398,750641,5927
X,1551645398,752141,4284
X,1551645399,750146,3670
X,1551645399,752112,2081
X,1551645400,752976,1431
X,1551645400,753261,1093
X,1551645401,753005,1301
X,1551645402,753464,1618
X,1551645402,753623,1479
X,1551645403,753863,1068
X,1551645403,753910,1241
X,1551645404,753724,1366
X,1551645404,752559,2742
X,1551645405,751210,6671
X,1551645406,751231,3287
X,1551645406,751772,5888
X,1551645407,752560,1641
X,1551645407,751144,8102
X,1551645408,752496,12596
P,1551645408,5312
X,1551645408,751362,18483
X,1551645409,750100,14534
X,1551645409,751372,16249
X,1551645410,749756,18965
X,1551645411,749778,19944
X,1551645411,752896,21381
X,1551645412,752985,10126
X,1551645412,752024,14508
X,1551645413,751812,16743
X,1551645413,751053,9417
X,1551645414,751995,13395
X,1551645415,751462,16184
X,1551645415,753461,22836
X,1551645416,753660,17755
X,1551645416,754552,26493
X,1551645417,754693,23582
X,1551645417,755024,33305
X,1551645418,753281,31743
X,1551645419,753320,27861
X,1551645419,752636,29840
X,1551645420,751745,29153
X,1551645420,751664,17146
X,1551645421,754028,16787
X,1551645421,752657,4640
X,1551645422,752341,2831
X,1551645423,752516,1874
X,1551645423,752674,3082
X,1551645424,751405,2417
X,1551645424,752958,2996
X,1551645425,753160,3571
X,1551645425,752218,6484
X,1551645426,753103,1659
X,1551645427,753413,1029
X,1551645427,752861,1816
X,1551645428,753522,18240
X,1551645428,753617,7944
X,1551645429,753720,10177
X,1551645429,752913,10483
X,1551645430,753349,5398
X,1551645430,753620,7197
X,1551645430,753743,3431
X,1551645431,753674,8021
X,1551645431,753383,3705
X,1551645432,753378,5793
X,1551645432,753828,4150
X,1551645433,753111,10560
X,1551645433,753862,6984
X,1551645434,753114,8722
X,1551645435,753143,5249
X,1551645435,753320,6065
X,1551645436,753565,6085
X,1551645436,753674,6914
X,1551645437,753378,7366
P,1551645437,5312
X,1551645437,753513,6900
X,1551645438,753488,9925
X,1551645439,753791,8626
X,1551645439,753239,10042
X,1551645440,753444,17179
X,1551645440,753935,12872
X,1551645441,752966,5656
X,1551645441,753243,38419
X,1551645442,753276,4065
X,1551645443,752677,3440
X,1551645443,753144,14829
X,1551645444,753682,7307
X,1551645444,752400,8588
X,1551645445,753097,12418
X,1551645445,754544,20810
X,1551645446,752489,13539
X,1551645447,753029,6148
X,1551645447,752256,1403
X,1551645448,752696,1901
X,1551645448,753325,1416
X,1551645449,753433,1612
X,1551645449,752730,3030
X,1551645450,752865,1146
X,1551645450,753257,3598
X,1551645451,753427,5245
X,1551645452,753193,12765
X,1551645452,754721,12479
X,1551645453,753823,9651
X,1551645453,754075,3390
X,1551645454,754395,6516
X,1551645454,754052,3150
X,1551645455,754102,1517
X,1551645456,754106,1695
X,1551645456,754490,7282
X,1551645457,754173,1343
