H,1551645644,347907
P,1551645644,5309
X,1551645644,752827,2589
X,1551645644,751839,5591
X,1551645645,751653,16505
X,1551645645,754974,33687
X,1551645646,753467,44220
X,1551645647,751657,23776
X,1551645647,752267,37416
X,1551645648,751857,12137
X,1551645648,751555,22838
X,1551645649,751512,38368
X,1551645649,753008,16781
X,1551645650,752652,8198
X,1551645650,753235,7614
X,1551645651,752745,12346
X,1551645652,753003,3031
X,1551645652,753187,19885
X,1551645653,752571,23116
X,1551645653,753564,21139
X,1551645654,753765,37368
X,1551645654,754948,40317
X,1551645655,752756,26011
X,1551645656,751937,23016
X,1551645656,753035,28156
X,1551645657,751467,16090
X,1551645657,751699,21110
X,1551645658,751633,10114
X,1551645658,752972,10821
X,1551645659,753184,8128
X,1551645660,753972,7745
X,1551645660,753804,7949
X,1551645661,753025,2753
X,1551645661,752498,1252
X,1551645662,751605,4368
X,1551645662,752666,2283
X,1551645663,753158,4171
X,1551645664,751680,5375
X,1551645664,752120,3207
X,1551645665,752225,3099
X,1551645665,753128,11262
X,1551645666,753434,18257
X,1551645666,754057,27961
X,1551645667,755479,38187
X,1551645668,753157,27559
X,1551645668,751876,25018
X,1551645669,751608,46985
X,1551645669,753750,21283
X,1551645670,755955,10642
X,1551645670,752457,9845
X,1551645671,752655,5798
X,1551645671,754039,13414
X,1551645672,754847,37718
X,1551645673,755750,31172
X,1551645673,752996,35455
P,1551645674,5309
X,1551645674,753555,30396
X,1551645674,754389,20750
X,1551645675,754548,24458
X,1551645675,755993,34057
X,1551645676,751834,37348
X,1551645677,754472,49666
X,1551645677,756177,33508
X,1551645677,754862,25222
X,1551645677,755497,24010
X,1551645678,753736,26870
X,1551645678,753910,20526
X,1551645679,754348,19005
X,1551645680,754247,11455
X,1551645680,753968,14577
X,1551645681,752952,18699
X,1551645681,752213,26535
X,1551645682,751660,20694
X,1551645682,753253,3371
X,1551645683,752240,3317
X,1551645684,753332,2114
X,1551645684,753430,2151
X,1551645685,753004,1841
X,1551645685,752023,3290
X,1551645686,754501,4493
X,1551645686,753989,4037
X,1551645687,753321,4536
X,1551645688,753782,16966
X,1551645688,753647,7031
X,1551645689,754176,2005
X,1551645689,753158,2391
X,1551645690,752593,1158
X,1551645690,753179,2211
X,1551645691,753297,1348
X,1551645691,752691,1191
X,1551645692,753347,1382
X,1551645693,752972,1313
X,1551645693,753075,2064
X,1551645694,753245,1189
X,1551645694,753662,1022
X,1551645695,753296,1556
X,1551645695,753333,1511
X,1551645696,752504,1025
X,1551645697,753356,1259
X,1551645697,753160,1597
X,1551645698,753277,1609
X,1551645698,753363,1439
X,1551645699,753841,803
X,1551645699,754150,1331
X,1551645700,754571,4705
X,1551645701,754350,8547
X,1551645701,754092,2597
X,1551645702,753718,2373
X,1551645702,753520,1314
P,1551645703,5309
X,1551645703,752936,1318
X,1551645703,752383,2184
X,1551645704,753050,1285
X,1551645705,754114,1967
X,1551645705,753664,1852
X,1551645706,753583,1889
X,1551645706,753560,1315
X,1551645707,753993,916
X,1551645707,753396,2006
X,1551645708,752818,2521
X,1551645709,752160,3520
X,1551645709,753370,3983
X,1551645710,752526,3136
X,1551645710,752310,1072
X,1551645711,752963,1390
X,1551645711,753235,1750
X,1551645712,752238,1895
X,1551645712,752810,1447
X,1551645713,752603,2138
X,1551645714,752664,1534
X,1551645714,753077,1527
X,1551645715,753311,1147
X,1551645715,753391,1566
X,1551645716,753654,1623
X,1551645716,753987,1605
X,1551645717,753819,1165
X,1551645718,754130,1313
X,1551645718,753362,2489
X,1551645718,753699,965
X,1551645718,753729,1095
X,1551645719,754084,1390
X,1551645719,753767,1583
X,1551645720,753416,1355
X,1551645721,753036,1403
X,1551645721,753140,1479
X,1551645722,752527,1379
X,1551645722,753306,1574
X,1551645723,753454,1069
X,1551645723,753784,1547
X,1551645724,754196,1818
X,1551645725,754164,1389
X,1551645725,753943,1574
X,1551645726,753650,1340
X,1551645726,753452,1887
X,1551645727,753417,1013
X,1551645727,752800,1034
X,1551645728,753596,1340
X,1551645729,752909,1831
X,1551645729,752687,2040
X,1551645730,753513,937
X,1551645730,753513,1511
X,1551645731,753855,1638
X,1551645731,753903,756
X,1551645732,753675,1160
P,1551645732,5310
X,1551645732,753804,1557
X,1551645733,753926,1346
X,1551645734,753466,999
X,1551645734,753633,1489
X,1551645735,753889,1361
X,1551645735,754012,1043
X,1551645736,753836,1446
