H,1548694168,382192
P,1548694168,5115
P,1548694198,5115
P,1548694227,5117
P,1548694256,5115
P,1548694286,5116
P,1548694315,5117
P,1548694344,5117
P,1548694373,5116
P,1548694404,5116
P,1548694433,5117
P,1548694462,5116
P,1548694492,5116
P,1548694521,5117
P,1548694550,5114
P,1548694579,5114
P,1548694609,5117
P,1548694638,5115
P,1548694667,5116
P,1548694698,5114
P,1548694727,5117
P,1548694756,5117
P,1548694785,5115
P,1548694815,5117
P,1548694844,5117
P,1548694873,5115
P,1548694903,5116
P,1548694932,5115
P,1548694961,5115
P,1548694991,5117
P,1548695021,5115
P,1548695050,5117
P,1548695079,5117
P,1548695109,5116
P,1548695138,5115
P,1548695167,5115
P,1548695196,5117
P,1548695226,5115
P,1548695255,5116
P,1548695285,5116
P,1548695315,5115
P,1548695344,5117
P,1548695373,5115
P,1548695402,5115
P,1548695432,5116
P,1548695461,5117
P,1548695490,5116
P,1548695520,5114
P,1548695549,5116
P,1548695579,5115
P,1548695608,5116
P,1548695638,5117
P,1548695667,5115
P,1548695696,5115
P,1548695726,5116
P,1548695755,5116
P,1548695784,5116
P,1548695813,5115
P,1548695843,5116
P,1548695873,5116
P,1548695902,5116
P,1548695931,5116
P,1548695961,5115
P,1548695990,5115
P,1548696019,5116
P,1548696049,5115
P,1548696078,5116
P,1548696107,5115
O,1548696127,356922,2416
O,1548696127,357150,166
O,1548696128,357112,284
O,1548696129,357106,336
O,1548696129,357119,168
O,1548696130,357113,182
O,1548696130,357122,209
O,1548696131,357131,200
O,1548696131,357133,130
O,1548696132,357139,156
O,1548696133,357139,238
O,1548696133,357141,130
O,1548696134,357136,154
O,1548696134,357103,98
O,1548696135,357112,153
O,1548696135,357121,134
O,1548696136,357081,161
O,1548696137,357088,146
O,1548696137,357081,130
P,1548696137,5109
O,1548696138,357087,120
O,1548696138,357061,142
O,1548696139,357069,121
O,1548696139,357087,181
O,1548696140,357038,167
O,1548696141,357060,137
O,1548696141,357062,134
O,1548696142,357061,137
O,1548696142,357084,176
O,1548696143,357091,162
O,1548696143,357123,159
O,1548696144,357115,133
O,1548696144,357073,119
O,1548696145,357072,123
O,1548696146,357075,253
O,1548696146,357113,124
O,1548696147,357082,140
O,1548696147,357082,153
O,1548696148,357070,138
O,1548696148,357042,192
O,1548696149,357039,160
O,1548696150,357027,156
O,1548696150,357067,122
O,1548696151,357066,102
O,1548696151,357068,134
O,1548696152,357063,121
O,1548696152,357049,210
O,1548696153,357030,158
O,1548696154,357049,151
O,1548696154,357055,143
O,1548696155,357082,105
O,1548696155,357058,126
O,1548696156,357053,160
O,1548696156,357066,92
O,1548696157,357052,183
O,1548696158,357032,140
O,1548696158,357019,102
O,1548696159,357011,84
O,1548696159,356990,102
O,1548696160,356981,127
O,1548696160,357007,102
O,1548696161,357006,183
O,1548696161,356977,168
O,1548696162,356983,134
O,1548696163,356997,89
O,1548696163,356982,136
O,1548696164,356972,205
O,1548696164,356983,136
O,1548696165,356956,137
O,1548696165,356992,171
O,1548696166,356942,86
O,1548696167,356948,92
O,1548696167,356974,179
P,1548696168,5110
O,1548696168,356983,99
O,1548696168,357003,135
O,1548696169,356984,139
O,1548696169,356994,105
O,1548696170,357013,130
O,1548696171,357056,132
O,1548696171,357044,129
O,1548696172,357043,120
O,1548696172,357033,122
O,1548696173,357048,95
O,1548696173,357025,89
O,1548696174,357063,137
O,1548696175,357038,133
O,1548696175,357044,76
O,1548696176,357043,140
O,1548696176,357044,134
O,1548696177,357043,86
O,1548696177,357068,112
O,1548696178,356997,121
O,1548696178,357044,151
O,1548696178,357047,91
O,1548696179,357029,121
O,1548696179,357021,140
O,1548696180,357044,131
O,1548696180,357032,132
O,1548696181,357015,90
O,1548696181,357042,62
O,1548696182,357027,58
O,1548696183,357045,99
T,1548696183,2751
P,1548696197,5114
P,1548696226,5116
P,1548696256,5115
P,1548696285,5117
P,1548696314,5116
P,1548696343,5114
P,1548696373,5113
P,1548696402,5115
P,1548696431,5115
P,1548696462,5116
P,1548696491,5115
P,1548696520,5115
P,1548696549,5107
P,1548696579,5115
P,1548696608,5116
P,1548696637,5116
P,1548696667,5115
P,1548696696,5115
P,1548696725,5115
P,1548696755,5116
P,1548696785,5115
P,1548696814,5116
P,1548696843,5116
P,1548696873,5116
P,1548696902,5113
P,1548696931,5114
P,1548696960,5115
P,1548696990,5116
P,1548697019,5116
P,1548697049,5115
P,1548697079,5115
P,1548697108,5116
