H,1548737643,382192
P,1548737643,5109
P,1548737672,5110
P,1548737701,5109
P,1548737730,5110
P,1548737760,5110
P,1548737789,5111
P,1548737818,5111
P,1548737848,5110
P,1548737877,5111
P,1548737907,5110
P,1548737936,5109
P,1548737966,5109
P,1548737995,5111
P,1548738024,5109
P,1548738054,5109
P,1548738083,5111
P,1548738112,5108
P,1548738142,5111
P,1548738172,5111
P,1548738202,5111
P,1548738231,5111
P,1548738260,5111
P,1548738290,5109
P,1548738319,5111
P,1548738348,5111
P,1548738378,5110
P,1548738407,5110
P,1548738436,5110
P,1548738465,5110
P,1548738496,5111
P,1548738525,5110
P,1548738554,5110
P,1548738584,5111
P,1548738613,5111
P,1548738642,5110
P,1548738671,5110
P,1548738701,5110
P,1548738730,5109
P,1548738759,5109
P,1548738790,5111
P,1548738819,5111
P,1548738848,5110
P,1548738877,5111
P,1548738907,5109
P,1548738936,5111
P,1548738965,5110
P,1548738995,5110
P,1548739024,5110
P,1548739053,5111
P,1548739083,5110
O,1548739099,355561,2722
O,1548739099,355863,907
O,1548739100,355421,166
O,1548739100,355272,221
O,1548739101,355183,164
O,1548739102,355206,202
O,1548739102,355362,162
O,1548739103,355431,191
O,1548739103,355491,181
O,1548739104,355397,105
O,1548739104,355399,94
O,1548739105,355341,121
O,1548739106,355305,149
O,1548739106,355418,420
O,1548739107,355578,226
O,1548739107,355487,140
O,1548739108,355500,160
O,1548739108,355500,292
O,1548739109,355378,121
O,1548739110,355381,220
O,1548739110,355329,80
O,1548739111,355415,387
O,1548739111,355628,200
O,1548739112,355473,193
O,1548739112,355374,138
P,1548739113,5104
O,1548739113,355256,251
O,1548739114,355245,196
O,1548739114,355254,211
O,1548739115,355298,92
O,1548739115,355257,149
O,1548739116,355300,179
O,1548739116,355289,158
O,1548739117,355233,134
O,1548739117,355255,111
O,1548739118,355223,107
O,1548739119,355170,135
O,1548739119,355114,112
O,1548739120,355113,129
O,1548739120,355132,153
O,1548739121,355130,146
O,1548739121,355148,152
O,1548739121,355155,127
O,1548739122,355179,97
O,1548739122,355118,144
O,1548739123,355094,134
O,1548739123,355115,104
O,1548739124,355108,181
O,1548739124,355066,187
O,1548739125,355082,164
O,1548739126,355088,160
O,1548739126,355085,187
O,1548739127,355101,143
O,1548739127,355106,140
O,1548739128,355130,156
O,1548739128,355109,235
O,1548739129,355075,228
O,1548739130,355066,153
O,1548739130,355056,150
O,1548739131,355039,400
O,1548739131,355026,140
O,1548739132,355025,116
O,1548739132,355019,225
O,1548739133,355006,215
O,1548739134,355027,345
O,1548739134,355013,118
O,1548739135,354985,131
O,1548739135,354999,156
O,1548739136,355012,159
O,1548739136,355041,188
O,1548739137,355005,211
O,1548739137,355041,256
O,1548739138,355057,113
O,1548739139,355073,135
O,1548739139,355095,120
O,1548739140,355089,121
O,1548739140,355062,169
O,1548739141,355039,187
O,1548739141,355094,214
P,1548739142,5103
O,1548739142,355097,89
O,1548739143,355145,80
O,1548739143,355190,188
O,1548739144,355282,121
O,1548739144,355251,118
O,1548739145,355234,216
O,1548739145,355243,103
O,1548739146,355246,164
O,1548739147,355196,170
O,1548739147,355144,137
O,1548739148,355126,199
O,1548739148,355104,132
O,1548739149,355080,80
O,1548739149,355069,152
O,1548739150,355170,208
O,1548739151,355139,137
O,1548739151,355121,123
O,1548739152,355067,161
O,1548739152,355070,143
O,1548739153,355098,131
O,1548739153,355169,111
O,1548739154,355153,66
O,1548739154,355213,197
T,1548739155,2728
P,1548739171,5109
P,1548739201,5108
P,1548739230,5108
P,1548739259,5110
P,1548739288,5110
P,1548739318,5110
P,1548739347,5109
P,1548739377,5109
P,1548739407,5110
P,1548739436,5108
P,1548739465,5110
P,1548739494,5111
P,1548739524,5111
P,1548739553,5110
P,1548739582,5109
P,1548739612,5110
P,1548739641,5108
P,1548739671,5109
P,1548739700,5110
P,1548739730,5109
P,1548739759,5109
P,1548739788,5108
P,1548739818,5109
P,1548739847,5111
P,1548739876,5109
P,1548739905,5110
P,1548739935,5109
P,1548739965,5110
P,1548739994,5110
P,1548740023,5096
P,1548740053,5110
P,1548740082,5110
P,1548740111,5110
P,1548740141,5110
P,1548740170,5110
P,1548740199,5109
P,1548740228,5111
P,1548740259,5109
P,1548740288,5110
P,1548740317,5110
P,1548740347,5110
P,1548740376,5109
P,1548740405,5110
P,1548740434,5110
P,1548740464,5109
P,1548740493,5108
P,1548740522,5109
P,1548740553,5109
P,1548740582,5110
P,1548740611,5109
P,1548740640,5110
