H,1548777600,382192
U,1548777600,0
E,1548777600,1
P,1548777600,5113
P,1548777629,5113
P,1548777659,5111
P,1548777688,5113
P,1548777717,5114
P,1548777746,5112
P,1548777776,5113
P,1548777806,5113
P,1548777835,5114
P,1548777865,5113
P,1548777894,5113
P,1548777923,5113
P,1548777952,5113
P,1548777982,5112
P,1548778011,5113
P,1548778040,5111
P,1548778070,5112
P,1548778100,5112
P,1548778129,5113
P,1548778158,5112
P,1548778188,5112
P,1548778217,5114
P,1548778246,5114
P,1548778276,5113
P,1548778305,5113
P,1548778334,5112
P,1548778363,5115
P,1548778394,5113
P,1548778423,5113
P,1548778452,5114
P,1548778482,5111
P,1548778511,5114
P,1548778540,5114
P,1548778569,5114
P,1548778599,5113
O,1548778622,360510,2295
O,1548778623,360737,136
O,1548778624,360658,236
O,1548778624,360641,180
O,1548778625,360642,173
O,1548778625,360618,114
O,1548778626,360595,130
O,1548778626,360571,160
O,1548778627,360556,161
O,1548778628,360560,170
O,1548778628,360629,126
P,1548778628,5104
O,1548778629,360727,203
O,1548778629,360650,201
O,1548778630,360666,179
O,1548778630,360779,232
O,1548778631,360745,201
O,1548778632,360747,155
O,1548778632,360704,179
O,1548778633,360716,206
O,1548778633,360779,115
O,1548778634,360745,120
O,1548778634,360818,387
O,1548778635,361416,684
O,1548778636,361865,633
O,1548778636,361106,405
O,1548778637,361629,211
O,1548778637,362087,598
O,1548778638,362268,422
O,1548778638,361935,286
O,1548778639,362036,382
O,1548778639,362103,396
O,1548778640,361677,268
O,1548778641,361270,292
O,1548778641,361002,232
O,1548778642,360949,117
O,1548778642,360930,144
O,1548778643,360902,71
O,1548778643,360918,90
O,1548778644,360992,164
O,1548778645,361080,84
O,1548778645,361051,187
O,1548778646,361068,139
O,1548778646,361049,126
O,1548778647,361022,284
O,1548778647,360943,233
O,1548778648,360892,158
O,1548778648,360878,135
O,1548778648,360858,111
O,1548778649,360887,95
O,1548778649,360885,100
O,1548778650,360860,93
O,1548778650,360836,95
O,1548778651,360817,84
O,1548778652,360801,109
O,1548778652,360819,186
O,1548778653,360835,80
O,1548778653,360825,92
O,1548778654,360845,176
O,1548778654,360839,205
O,1548778655,360788,246
O,1548778656,360766,255
O,1548778656,360762,179
O,1548778657,360779,126
O,1548778657,360802,227
P,1548778657,5106
O,1548778658,360818,206
O,1548778658,360845,235
O,1548778659,360928,198
O,1548778659,360967,273
O,1548778660,360997,239
O,1548778661,361080,237
O,1548778661,361048,182
O,1548778662,361090,211
O,1548778662,361147,149
O,1548778663,361301,140
O,1548778663,361151,189
O,1548778664,361062,347
O,1548778665,361052,222
O,1548778665,360980,259
O,1548778666,361019,274
O,1548778666,361078,292
O,1548778667,360863,161
O,1548778667,360792,161
O,1548778668,360793,139
O,1548778669,360790,102
O,1548778669,360836,128
O,1548778670,360824,227
O,1548778670,360790,203
O,1548778671,360775,174
O,1548778671,360781,213
O,1548778672,360806,197
O,1548778673,360800,129
O,1548778673,360842,127
O,1548778674,360842,160
O,1548778674,360861,186
O,1548778675,360798,200
O,1548778675,360846,107
O,1548778676,360847,148
O,1548778677,360895,135
O,1548778677,360927,240
O,1548778678,360966,160
O,1548778678,360995,242
T,1548778678,2758
P,1548778688,5112
P,1548778717,5113
P,1548778746,5113
P,1548778775,5113
P,1548778805,5113
P,1548778834,5113
P,1548778863,5113
P,1548778893,5113
P,1548778922,5114
P,1548778951,5112
P,1548778981,5111
P,1548779011,5113
P,1548779040,5114
P,1548779069,5112
P,1548779099,5113
P,1548779128,5113
P,1548779157,5113
P,1548779186,5113
P,1548779216,5112
P,1548779245,5114
P,1548779275,5112
P,1548779304,5113
P,1548779334,5114
P,1548779363,5114
P,1548779392,5113
P,1548779422,5112
P,1548779451,5114
P,1548779480,5112
P,1548779509,5113
P,1548779539,5113
P,1548779569,5113
P,1548779598,5111
P,1548779628,5114
P,1548779657,5112
P,1548779686,5112
P,1548779715,5112
P,1548779745,5113
P,1548779774,5112
P,1548779803,5113
P,1548779833,5112
P,1548779863,5112
P,1548779892,5113
P,1548779921,5113
P,1548779951,5112
P,1548779980,5111
P,1548780009,5110
P,1548780039,5113
P,1548780069,5114
P,1548780098,5113
P,1548780127,5113
P,1548780158,5113
P,1548780187,5112
P,1548780216,5112
P,1548780246,5112
P,1548780275,5111
P,1548780304,5113
P,1548780333,5112
P,1548780363,5112
P,1548780392,5113
P,1548780421,5113
P,1548780452,5113
P,1548780481,5112
P,1548780510,5111
P,1548780539,5112
