H,1548786564,304590
P,1548786564,5123
P,1548786593,5125
P,1548786623,5124
P,1548786653,5122
P,1548786682,5122
P,1548786711,5125
P,1548786741,5125
P,1548786770,5124
P,1548786799,5121
P,1548786829,5122
P,1548786858,5123
P,1548786887,5124
P,1548786916,5126
P,1548786947,5123
P,1548786976,5123
P,1548787005,5124
P,1548787035,5121
P,1548787064,5123
P,1548787093,5123
P,1548787122,5122
P,1548787152,5124
P,1548787181,5122
P,1548787210,5124
P,1548787240,5125
P,1548787270,5122
P,1548787299,5124
P,1548787328,5124
P,1548787358,5122
P,1548787387,5124
P,1548787416,5123
P,1548787445,5122
P,1548787475,5122
P,1548787504,5121
P,1548787534,5123
P,1548787564,5124
P,1548787593,5123
P,1548787622,5122
P,1548787652,5125
P,1548787682,5121
P,1548787711,5123
P,1548787740,5123
P,1548787770,5122
P,1548787799,5124
P,1548787829,5121
P,1548787858,5125
P,1548787888,5122
P,1548787917,5125
P,1548787946,5123
P,1548787976,5122
P,1548788005,5125
P,1548788034,5123
P,1548788063,5122
P,1548788093,5123
P,1548788123,5125
P,1548788152,5125
P,1548788182,5124
P,1548788211,5123
P,1548788240,5123
P,1548788269,5123
P,1548788299,5124
P,1548788328,5123
P,1548788357,5124
P,1548788387,5124
P,1548788417,5124
P,1548788446,5122
P,1548788475,5124
P,1548788505,5122
P,1548788534,5124
P,1548788563,5123
O,1548788581,310297,2029
O,1548788582,310519,113
O,1548788583,310516,106
O,1548788583,310507,72
O,1548788584,310498,62
O,1548788584,310516,108
O,1548788585,310521,109
O,1548788585,310532,70
O,1548788586,310530,72
O,1548788587,310507,85
O,1548788587,310525,95
O,1548788588,310523,147
O,1548788588,310532,127
O,1548788589,310545,84
O,1548788589,310554,64
O,1548788590,310538,97
O,1548788591,310535,105
O,1548788591,310561,106
O,1548788592,310549,75
O,1548788592,310558,79
O,1548788593,310572,144
P,1548788593,5110
O,1548788593,310550,146
O,1548788594,310559,86
O,1548788594,310546,101
O,1548788594,310564,129
O,1548788595,310570,116
O,1548788595,310602,166
O,1548788596,310606,128
O,1548788596,310618,100
O,1548788597,310626,115
O,1548788597,310629,58
O,1548788598,310649,106
O,1548788599,310654,59
O,1548788599,310701,94
O,1548788600,310665,79
O,1548788600,310658,161
O,1548788601,310661,115
O,1548788601,310645,73
O,1548788602,310658,64
O,1548788603,310632,116
O,1548788603,310660,53
O,1548788604,310641,83
O,1548788604,310679,58
O,1548788605,310701,82
O,1548788605,310723,126
O,1548788606,310726,104
O,1548788607,310727,189
O,1548788607,310696,91
O,1548788608,310692,82
O,1548788608,310678,106
O,1548788609,310666,136
O,1548788609,310692,143
O,1548788610,310679,113
O,1548788611,310653,70
O,1548788611,310682,129
O,1548788612,310667,86
O,1548788612,310673,67
O,1548788613,310693,78
O,1548788613,310692,96
O,1548788614,310662,143
O,1548788615,310672,81
O,1548788615,310671,79
O,1548788616,310679,100
O,1548788616,310645,100
O,1548788617,310660,81
O,1548788617,310681,130
O,1548788618,310697,123
O,1548788618,310658,104
O,1548788619,310686,79
O,1548788620,310651,137
O,1548788620,310648,118
O,1548788621,310634,78
O,1548788621,310652,65
O,1548788622,310650,71
P,1548788622,5111
O,1548788622,310655,76
O,1548788623,310636,100
O,1548788624,310665,93
O,1548788624,310676,102
O,1548788625,310661,83
O,1548788625,310687,153
O,1548788626,310712,109
O,1548788626,310691,86
O,1548788627,310689,108
O,1548788628,310680,68
O,1548788628,310676,134
O,1548788629,310633,108
O,1548788629,310608,110
O,1548788630,310617,101
O,1548788630,310652,107
O,1548788631,310664,97
O,1548788632,310635,105
O,1548788632,310637,59
O,1548788633,310658,78
O,1548788633,310656,60
O,1548788634,310651,110
O,1548788634,310640,102
O,1548788635,310638,149
O,1548788635,310656,92
O,1548788635,310650,97
O,1548788636,310656,148
O,1548788636,310649,75
T,1548788636,2724
P,1548788651,5124
P,1548788680,5123
P,1548788711,5122
P,1548788740,5121
P,1548788769,5123
P,1548788799,5123
P,1548788828,5124
P,1548788857,5123
P,1548788886,5123
P,1548788916,5123
P,1548788945,5124
P,1548788974,5122
P,1548789004,5122
P,1548789034,5123
P,1548789063,5124
P,1548789092,5125
P,1548789122,5123
P,1548789151,5123
P,1548789180,5121
P,1548789209,5123
P,1548789239,5123
P,1548789268,5124
P,1548789298,5125
P,1548789328,5123
P,1548789357,5125
P,1548789386,5123
P,1548789415,5123
P,1548789445,5124
P,1548789474,5122
P,1548789503,5124
