H,1550108902,304590
X,1550108902,702111,1047
P,1550108902,5064
X,1550108903,702399,719
X,1550108904,702330,991
X,1550108904,702381,560
X,1550108905,702476,1074
X,1550108905,702630,1158
X,1550108906,702248,917
X,1550108906,702299,535
X,1550108907,702361,957
X,1550108908,702615,1329
X,1550108908,702705,946
X,1550108909,702659,405
A,1550108909,702465,457
T,1550108909,2723
R,1550108909,700D98F77
X,1550108911,702641,731
X,1550108911,702487,862
X,1550108912,702636,601
X,1550108912,702393,1253
X,1550108913,702454,783
X,1550108914,702169,715
X,1550108914,702525,1048
X,1550108915,702639,1172
X,1550108915,702680,699
X,1550108916,702555,623
X,1550108916,702614,666
X,1550108917,702716,921
X,1550108918,702624,782
X,1550108918,702778,956
X,1550108919,702815,643
X,1550108919,702611,674
X,1550108920,702486,822
X,1550108920,702584,1210
X,1550108921,702471,10575
X,1550108922,702878,2047
X,1550108922,702708,935
X,1550108923,702668,1141
X,1550108923,702770,806
X,1550108924,703232,883
X,1550108924,702941,1429
X,1550108925,703227,1272
X,1550108926,702797,1213
X,1550108926,702723,1297
X,1550108927,702918,1652
X,1550108927,702960,1030
X,1550108928,703203,883
X,1550108928,703334,799
X,1550108929,703020,588
A,1550108929,702726,1165
T,1550108929,2723
R,1550108929,700D98F77
X,1550108931,702996,1261
X,1550108931,702940,1015
X,1550108932,702811,735
P,1550108933,5064
X,1550108933,702760,1163
X,1550108933,702935,2372
X,1550108934,702661,2453
X,1550108934,702716,542
X,1550108935,702681,1022
X,1550108935,702718,911
X,1550108936,702730,919
X,1550108937,702757,459
X,1550108937,702577,1183
X,1550108938,702675,1065
X,1550108938,702693,755
X,1550108939,702742,11358
X,1550108939,702880,2813
X,1550108940,702751,829
X,1550108941,702887,626
X,1550108941,702840,671
X,1550108942,703293,810
X,1550108942,703250,951
X,1550108942,702743,651
X,1550108942,702767,899
X,1550108943,702711,1214
X,1550108944,702943,553
X,1550108944,702836,735
X,1550108945,702919,372
X,1550108945,702817,570
X,1550108946,702796,726
X,1550108946,702895,1198
X,1550108947,702822,917
X,1550108948,702766,705
A,1550108948,702842,600
T,1550108948,2723
R,1550108948,700D98F77
X,1550108950,702568,902
X,1550108950,702547,1046
X,1550108951,703084,1026
X,1550108951,702658,764
X,1550108952,702145,756
X,1550108952,702376,776
X,1550108953,702320,843
X,1550108954,702484,1242
X,1550108954,702490,552
X,1550108955,702568,959
X,1550108955,702500,1005
X,1550108956,702559,1072
X,1550108956,702735,1074
X,1550108957,702739,973
X,1550108957,702753,1089
X,1550108958,702851,1229
X,1550108959,702912,1127
X,1550108959,703015,857
X,1550108960,703028,1176
X,1550108960,703180,864
X,1550108961,703253,759
X,1550108961,703176,961
P,1550108962,5064
X,1550108962,702602,1090
X,1550108963,703082,754
X,1550108963,702894,959
X,1550108964,702975,880
X,1550108964,702971,982
X,1550108965,702749,877
X,1550108965,702873,1400
X,1550108966,702955,923
X,1550108967,702792,600
X,1550108967,703113,1333
X,1550108968,703121,1360
X,1550108968,703051,910
A,1550108968,702797,1108
T,1550108968,2723
R,1550108969,700D98F77
X,1550108970,703120,1127
X,1550108971,702913,1015
X,1550108971,703061,490
X,1550108972,702734,701
X,1550108973,702800,1067
X,1550108973,702760,570
X,1550108974,702867,847
X,1550108974,702805,858
X,1550108975,702955,970
X,1550108975,703145,890
X,1550108976,703021,1042
X,1550108977,703368,719
X,1550108977,702954,891
X,1550108978,703341,930
X,1550108978,702936,797
X,1550108979,703388,933
X,1550108979,703280,1074
X,1550108980,703160,679
X,1550108980,703134,1253
X,1550108981,703297,872
X,1550108982,703293,1015
X,1550108982,703225,805
X,1550108983,703448,904
X,1550108983,703230,1739
X,1550108983,703158,795
X,1550108983,703639,792
X,1550108984,703563,1084
X,1550108985,703757,1076
X,1550108985,703365,1062
X,1550108986,703317,701
X,1550108986,703377,1613
X,1550108987,703494,981
A,1550108987,703152,905
T,1550108987,2723
R,1550108987,700D98F77
X,1550108989,703112,801
X,1550108989,703129,1034
X,1550108990,703296,1052
X,1550108991,703790,1782
P,1550108991,5063
X,1550108991,703308,621
X,1550108992,703718,1502
X,1550108992,703662,783
X,1550108993,703591,891
X,1550108993,703568,902
X,1550108994,703555,1051
