48,593888,1041
X,1558819349,593959,1223
X,1558819349,593984,480
X,1558819350,593962,1474
X,1558819350,594042,1091
X,1558819351,594067,1419
X,1558819351,594006,1160
X,1558819352,594039,1155
X,1558819353,594131,1135
X,1558819353,594008,1195
X,1558819354,594023,963
X,1558819354,594034,1280
X,1558819355,594002,1079
X,1558819355,594106,649
X,1558819356,594051,912
X,1558819357,594072,720
X,1558819357,594073,715
X,1558819358,594013,1100
X,1558819358,594040,895
X,1558819359,594110,676
X,1558819359,594117,2064
X,1558819360,594176,1169
X,1558819361,594164,659
X,1558819361,594176,661
X,1558819362,594109,531
X,1558819362,594136,1330
X,1558819363,594222,738
A,1558819363,593985,488
T,1558819363,2860
U,1558819363,64656
X,1558819365,593273,1150
X,1558819365,593190,1178
X,1558819366,593352,961
X,1558819366,593247,1157
X,1558819367,593201,1484
X,1558819368,593266,782
X,1558819368,593246,789
X,1558819368,593301,1048
X,1558819368,593274,982
X,1558819369,593276,796
X,1558819369,593400,776
X,1558819370,593448,1394
X,1558819371,593398,1474
X,1558819371,593321,1052
P,1558819371,5175
X,1558819372,593338,941
X,1558819372,593274,1020
X,1558819373,593353,919
X,1558819373,593326,1426
X,1558819374,593239,1519
X,1558819375,593297,825
X,1558819375,593220,1231
X,1558819376,593282,901
X,1558819376,593352,683
X,1558819377,593341,1264
X,1558819377,593362,1316
X,1558819378,593379,910
X,1558819379,593418,1026
X,1558819379,593404,808
X,1558819380,593430,1210
X,1558819380,593440,823
X,1558819381,593405,1231
X,1558819381,593440,712
X,1558819382,593545,835
X,1558819382,593522,880
X,1558819383,593371,1015
X,1558819384,593400,1242
X,1558819384,593501,919
X,1558819385,593436,874
X,1558819385,593579,695
A,1558819385,593384,333
T,1558819385,2860
U,1558819386,64656
X,1558819387,592986,1441
X,1558819388,593035,1043
X,1558819388,593002,1117
X,1558819389,593062,1079
X,1558819390,593180,1018
X,1558819390,593228,1013
X,1558819391,593276,766
X,1558819391,593295,870
X,1558819392,593207,807
X,1558819392,593243,1045
X,1558819393,593208,875
X,1558819393,593200,1000
X,1558819394,593224,1043
X,1558819395,593323,999
X,1558819395,593242,760
X,1558819396,593268,1218
X,1558819396,593183,927
X,1558819397,593193,579
X,1558819397,593229,631
X,1558819398,593131,731
X,1558819399,593126,877
X,1558819399,593180,811
X,1558819400,593239,1070
X,1558819400,593299,1403
X,1558819401,593243,680
P,1558819401,5186
X,1558819401,593278,949
X,1558819402,593225,1036
X,1558819403,593385,898
X,1558819403,593311,895
X,1558819404,593389,761
X,1558819404,593421,837
X,1558819405,593440,778
A,1558819405,593263,314
T,1558819405,2860
U,1558819405,64656
X,1558819407,591809,1646
X,1558819407,591828,1221
X,1558819408,591914,585
X,1558819408,591952,1085
X,1558819409,592118,1088
X,1558819409,592133,584
X,1558819409,592205,1123
X,1558819410,592227,966
X,1558819410,592313,1618
X,1558819411,592420,1000
X,1558819411,592509,956
X,1558819412,592477,983
X,1558819413,592528,1321
X,1558819413,592601,1012
X,1558819414,592641,875
X,1558819414,592644,881
X,1558819415,592604,1078
X,1558819415,592588,1015
X,1558819416,592641,676
X,1558819417,592651,1012
X,1558819417,592653,1075
X,1558819418,592824,769
X,1558819418,592775,967
X,1558819419,592810,553
X,1558819419,592744,1260
X,1558819420,592792,930
X,1558819421,592911,1273
X,1558819421,592926,1038
X,1558819422,592981,862
X,1558819422,592986,634
X,1558819423,593014,1176
X,1558819423,593143,1102
X,1558819424,593131,932
X,1558819425,593096,1086
X,1558819425,593154,1069
X,1558819426,593216,843
