,1558823102,2859
R,1558823102,5C00DDFC90
X,1558823104,596116,1264
P,1558823104,5171
X,1558823104,596052,491
X,1558823105,595998,706
X,1558823106,596001,1155
X,1558823106,596021,1168
X,1558823107,595950,1121
X,1558823107,595957,1572
X,1558823108,596028,2295
X,1558823108,596133,559
X,1558823109,596068,2212
X,1558823110,596045,711
X,1558823110,596039,1124
X,1558823111,595988,1604
X,1558823111,596032,593
X,1558823112,595993,1500
X,1558823112,595956,941
X,1558823113,596026,508
X,1558823113,596071,1073
X,1558823114,596010,1526
X,1558823115,596038,591
X,1558823115,595989,1584
X,1558823116,595983,1674
X,1558823116,595995,916
X,1558823117,595985,1404
X,1558823117,596002,460
X,1558823118,595905,1807
X,1558823119,596012,440
X,1558823119,595975,1913
X,1558823120,596016,1626
X,1558823120,595955,1550
X,1558823121,596005,1139
X,1558823121,596072,627
X,1558823122,596021,1017
X,1558823123,596017,1403
X,1558823123,595963,1017
X,1558823124,595938,1438
X,1558823124,595950,1237
X,1558823125,596034,969
X,1558823125,596001,1538
X,1558823126,595997,646
X,1558823127,596124,1189
X,1558823127,596067,1129
X,1558823128,596023,926
X,1558823128,596070,1047
X,1558823129,596077,1337
X,1558823129,596022,1681
X,1558823130,596079,571
X,1558823131,596062,1696
X,1558823131,596030,1138
X,1558823132,596060,782
X,1558823132,596032,820
X,1558823133,596070,519
X,1558823133,596091,1266
X,1558823134,596066,1713
P,1558823134,5181
X,1558823135,596027,1448
X,1558823135,596071,1457
X,1558823136,596093,1488
X,1558823136,596016,1708
X,1558823137,596032,1170
X,1558823137,596063,1681
X,1558823138,596101,961
A,1558823138,596037,177
T,1558823138,2859
X,1558823140,595949,1159
X,1558823140,596007,916
X,1558823141,596074,1834
X,1558823141,596096,568
X,1558823141,596033,1616
X,1558823142,596041,1098
X,1558823142,596074,566
X,1558823143,596041,754
X,1558823143,596066,885
X,1558823144,596051,605
X,1558823145,595984,1219
X,1558823145,596001,1128
X,1558823146,596110,2788
X,1558823146,595957,1584
X,1558823147,596024,1650
X,1558823147,596008,1775
X,1558823148,595996,1311
X,1558823148,596018,695
X,1558823149,596030,1396
X,1558823150,595938,647
X,1558823150,595898,1855
X,1558823151,595999,826
X,1558823151,596033,950
X,1558823152,596012,2065
X,1558823152,595998,1709
X,1558823153,596009,1259
X,1558823154,596045,457
X,1558823154,595965,1653
X,1558823155,595965,1393
X,1558823155,595970,1398
X,1558823156,595993,1294
X,1558823156,595992,1171
X,1558823157,596010,1045
X,1558823158,596037,1449
X,1558823158,596029,1025
X,1558823159,596112,1754
X,1558823159,596077,1235
X,1558823160,595987,1004
X,1558823160,595985,1276
X,1558823161,596041,1463
X,1558823162,595973,1429
X,1558823162,596004,1724
X,1558823163,596047,1037
P,1558823163,5181
X,1558823163,595985,893
X,1558823164,595951,2103
X,1558823164,596018,1557
X,1558823165,596022,1167
X,1558823166,595999,1312
X,1558823166,596036,983
X,1558823167,595959,1542
X,1558823167,596013,1380
X,1558823168,596017,1763
X,1558823168,596072,1147
X,1558823169,595947,991
X,1558823170,596010,1033
X,1558823170,596055,1708
X,1558823171,596069,1166
X,1558823171,595971,1665
X,1558823172,595952,441
X,1558823172,595922,1102
X,1558823173,596038,1218
X,1558823173,595959,1914
X,1558823174,596028,841
X,1558823175,595998,1823
X,1558823175,595994,1279
X,1558823176,596055,1425
X,1558823176,595985,975
X,1558823177,595796,7001
X,1558823177,596057,7374
X,1558823178,596196,5422
X,1558823179,596059,2190
X,1558823179,596117,5731
X,1558823180,596036,1196
X,1558823180,596003,1581
