84,173312
D,1559014886,173568
D,1559014888,173568
D,1559014890,173824
D,1559014892,173312
P,1559014893,5158
D,1559014895,174080
D,1559014897,173824
D,1559014899,173824
D,1559014901,173568
D,1559014903,173568
D,1559014905,174080
D,1559014907,173312
D,1559014909,173824
D,1559014911,173568
D,1559014913,173824
D,1559014916,173824
D,1559014918,174080
D,1559014920,173056
D,1559014922,173568
P,1559014922,5081
D,1559014924,173568
D,1559014927,173312
D,1559014929,173824
D,1559014931,173568
D,1559014933,173568
D,1559014935,173312
D,1559014938,173824
D,1559014940,173056
D,1559014942,173312
D,1559014944,173824
D,1559014945,173824
D,1559014948,173312
D,1559014950,173824
P,1559014952,5159
D,1559014952,172800
D,1559014954,173568
D,1559014956,173312
D,1559014959,173312
D,1559014961,173056
D,1559014963,173312
D,1559014965,173312
D,1559014967,173568
D,1559014970,173824
D,1559014972,173824
D,1559014974,173568
D,1559014976,173824
D,1559014978,173568
D,1559014981,173824
P,1559014982,5160
D,1559014983,173568
D,1559014985,173824
D,1559014986,173312
D,1559014988,173824
D,1559014991,173312
D,1559014993,173568
D,1559014995,174080
D,1559014997,173312
D,1559014999,173312
D,1559015002,173568
D,1559015004,173056
D,1559015006,173568
D,1559015008,173568
D,1559015011,173824
P,1559015011,5059
D,1559015013,174080
D,1559015015,173824
D,1559015017,173568
D,1559015019,173312
D,1559015022,173312
D,1559015024,173568
D,1559015026,173312
D,1559015027,173824
D,1559015029,173824
D,1559015032,173312
D,1559015034,173312
D,1559015036,173056
D,1559015038,173312
P,1559015040,5160
D,1559015040,173568
D,1559015043,173824
D,1559015045,173312
D,1559015047,173056
D,1559015049,173824
D,1559015051,173568
D,1559015054,173568
D,1559015056,173312
D,1559015058,173312
D,1559015060,173568
D,1559015062,173312
D,1559015065,173568
D,1559015067,173568
D,1559015068,173056
P,1559015069,5159
D,1559015070,173568
D,1559015072,173824
D,1559015075,173056
D,1559015077,174336
D,1559015079,173568
D,1559015081,173568
D,1559015083,173824
D,1559015086,173824
D,1559015088,173824
D,1559015090,173568
D,1559015092,173568
D,1559015094,173568
D,1559015097,174080
D,1559015099,173568
P,1559015099,5056
D,1559015101,173824
D,1559015103,173824
D,1559015105,173824
D,1559015108,173824
D,1559015109,173568
D,1559015111,173824
D,1559015113,173824
D,1559015115,173312
D,1559015118,173312
D,1559015120,173568
D,1559015122,173568
D,1559015124,173312
D,1559015126,173056
P,1559015128,5159
D,1559015129,173568
D,1559015131,173824
D,1559015133,173568
D,1559015135,173824
D,1559015137,173568
D,1559015140,173568
D,1559015142,173824
D,1559015144,173568
D,1559015146,173824
D,1559015148,173312
D,1559015150,173568
D,1559015152,173312
D,1559015154,173312
D,1559015156,173568
P,1559015157,5159
D,1559015158,173568
D,1559015161,173568
D,1559015163,173824
D,1559015165,173824
D,1559015167,173824
D,1559015169,173824
D,1559015172,173312
D,1559015174,173568
D,1559015176,173568
D,1559015178,173568
D,1559015180,174080
D,1559015183,173568
D,1559015185,173312
D,1559015187,173568
P,1559015187,5060
D,1559015189,173312
D,1559015190,173824
D,1559015193,173824
D,1559015195,174080
D,1559015197,173824
D,1559015199,173568
D,1559015201,173568
D,1559015204,173568
D,1559015206,173056
D,1559015208,173824
D,1559015210,173056
D,1559015212,173824
D,1559015215,173568
P,1559015216,5158
D,1559015217,173312
D,1559015219,173312
D,1559015221,173824
D,1559015224,173312
D,1559015226,173568
D,1559015228,173568
D,1559015230,173568
D,1559015231,173824
D,1559015234,173568
D,1559015236,173312
D,1559015238,173568
D,1559015240,173568
D,1559015242,174080
D,1559015245,173568
P,1559015246,5159
D,1559015247,173824
D,1559015249,173568
D,1559015251,173824
D,1559015253,173568
D,1559015256,174080
D,1559015258,173568
D,1559015260,173824
D,1559015262,173568
D,1559015264,173824
D,1559015267,173312
D,1559015269,173312
D,1559015271,173824
D,1559015272,173312
D,1559015274,173312
P,1559015275,5078
D,1559015277,173824
D,1559015279,173568
D,1559015281,173568
D,1559015283,173824
D,1559015285,174080
D,1559015288,173568
D,1559015290,174080
D,1559015292,173824
D,1559015294,174336
D,1559015296,173312
D,1559015299,173568
D,1559015301,173568
D,1559015303,173312
