H,1560228814,272815
P,1560228814,5043
P,1560228843,5043
P,1560228873,5043
P,1560228903,5042
P,1560228932,5041
P,1560228961,5042
P,1560228990,5043
P,1560229020,5043
P,1560229049,5043
P,1560229078,5043
P,1560229108,5041
P,1560229137,5042
P,1560229167,5042
P,1560229196,5042
P,1560229226,5042
P,1560229255,5042
P,1560229284,5043
P,1560229314,5043
P,1560229344,5044
P,1560229373,5043
P,1560229402,5043
P,1560229432,5042
P,1560229462,5043
P,1560229491,5041
P,1560229520,5042
P,1560229550,5042
P,1560229579,5043
P,1560229608,5042
P,1560229638,5043
P,1560229667,5041
P,1560229696,5043
P,1560229725,5044
P,1560229756,5043
P,1560229785,5043
P,1560229814,5042
P,1560229844,5043
P,1560229873,5042
P,1560229902,5042
P,1560229931,5043
P,1560229961,5042
P,1560229990,5043
P,1560230019,5041
P,1560230050,5042
P,1560230079,5043
P,1560230108,5043
P,1560230137,5043
P,1560230167,5043
P,1560230196,5042
P,1560230225,5042
P,1560230255,5043
P,1560230284,5042
P,1560230313,5042
P,1560230343,5043
P,1560230373,5042
P,1560230402,5042
P,1560230431,5042
P,1560230461,5043
P,1560230490,5043
P,1560230519,5042
P,1560230548,5042
P,1560230578,5042
P,1560230607,5043
P,1560230637,5043
P,1560230667,5042
P,1560230696,5043
P,1560230725,5042
P,1560230754,5042
O,1560230782,253786,13997
O,1560230783,255214,198
O,1560230784,255242,137
P,1560230784,5037
O,1560230784,255325,127
O,1560230785,255334,221
O,1560230785,255376,171
O,1560230786,255425,168
O,1560230786,255361,143
O,1560230787,255397,225
O,1560230788,255209,89
O,1560230788,255229,106
O,1560230789,255257,163
O,1560230789,255211,168
O,1560230790,255238,131
O,1560230790,255209,111
O,1560230791,255251,118
O,1560230791,255291,135
O,1560230791,255289,128
O,1560230792,255359,146
O,1560230792,255343,163
O,1560230793,255309,105
O,1560230793,255394,105
O,1560230794,255406,149
O,1560230795,255506,206
O,1560230795,255471,109
O,1560230796,255467,205
O,1560230796,255500,119
O,1560230797,255510,192
O,1560230797,255515,143
O,1560230798,255413,257
O,1560230799,255465,166
O,1560230799,255480,256
O,1560230800,255545,228
O,1560230800,255588,222
O,1560230801,255640,121
O,1560230801,255829,257
O,1560230802,255852,193
O,1560230802,255824,93
O,1560230803,255908,219
O,1560230804,255909,201
O,1560230804,255928,308
O,1560230805,256035,209
O,1560230805,256059,238
O,1560230806,256147,203
O,1560230806,256256,227
O,1560230807,256368,125
O,1560230808,256382,193
O,1560230808,256436,231
O,1560230809,256480,167
O,1560230809,256487,252
O,1560230810,256696,150
O,1560230810,256773,340
O,1560230811,256809,147
O,1560230812,256771,120
O,1560230812,256758,132
O,1560230813,256773,144
P,1560230813,5038
O,1560230813,256772,106
O,1560230814,256764,177
O,1560230814,256838,185
O,1560230815,256797,172
O,1560230816,256723,107
O,1560230816,256708,147
O,1560230817,256723,162
O,1560230817,256724,176
O,1560230818,256743,91
O,1560230818,256706,183
O,1560230819,256834,218
O,1560230820,256888,107
O,1560230820,256870,108
O,1560230821,256917,134
O,1560230821,256820,251
O,1560230822,256943,168
O,1560230822,256990,143
O,1560230823,257054,130
O,1560230824,257025,135
O,1560230824,257099,266
O,1560230825,257059,168
O,1560230825,257090,157
O,1560230826,257099,159
O,1560230826,257178,108
O,1560230827,257219,153
O,1560230827,257179,187
O,1560230828,257166,143
O,1560230829,257238,193
O,1560230829,257147,135
O,1560230830,257154,161
O,1560230830,257207,141
O,1560230831,257250,150
O,1560230831,257238,126
O,1560230832,257167,162
O,1560230832,257161,149
O,1560230832,257128,141
O,1560230833,257088,113
O,1560230833,257112,199
O,1560230834,257198,138
O,1560230834,257133,140
O,1560230835,257196,114
O,1560230836,257205,199
O,1560230836,257173,241
O,1560230837,257234,94
O,1560230837,257212,126
T,1560230837,2838
P,1560230842,5042
P,1560230872,5042
P,1560230901,5041
P,1560230931,5043
P,1560230960,5043
P,1560230990,5041
P,1560231019,5042
P,1560231048,5041
P,1560231078,5042
P,1560231107,5042
P,1560231136,5042
P,1560231165,5042
P,1560231195,5043
P,1560231225,5042
P,1560231254,5043
P,1560231283,5040
P,1560231313,5041
P,1560231342,5042
P,1560231371,5043
P,1560231401,5042
P,1560231430,5042
P,1560231459,5042
P,1560231488,5043
P,1560231519,5041
P,1560231548,5042
P,1560231577,5043
P,1560231607,5042
P,1560231636,5044
P,1560231665,5042
P,1560231694,5043
P,1560231724,5042
P,1560231753,5041
P,1560231782,5042
P,1560231813,
