H,1561674276,259316
D,1561674276,415232
D,1561674278,416512
D,1561674280,416256
D,1561674282,414720
D,1561674284,415488
D,1561674287,416512
D,1561674289,415232
D,1561674291,415488
R,1561674291,5C00DDFC90
X,1561674293,631984,9782
X,1561674293,630812,7055
X,1561674294,632166,5393
X,1561674295,632243,4011
X,1561674295,632403,15263
X,1561674296,631927,3078
X,1561674296,631928,6729
X,1561674297,632345,8342
X,1561674297,632172,8825
X,1561674297,631793,8414
X,1561674298,631548,8766
X,1561674298,631637,7457
X,1561674299,630992,7873
X,1561674299,631661,8740
X,1561674300,630586,8058
X,1561674300,631070,6081
X,1561674301,631376,7360
X,1561674302,631428,3942
X,1561674302,631765,6040
X,1561674303,631393,6753
X,1561674303,631819,7154
P,1561674303,4108
X,1561674304,632284,6633
X,1561674304,632443,5155
X,1561674305,632351,5228
X,1561674306,632328,5502
X,1561674306,632203,5408
X,1561674307,631822,5947
X,1561674307,632148,6661
X,1561674308,632187,5517
X,1561674308,631907,4560
X,1561674309,632315,4428
X,1561674310,632202,5003
X,1561674310,632261,4432
X,1561674311,632377,5029
X,1561674311,632389,4785
X,1561674312,632883,7044
X,1561674312,632413,4201
X,1561674313,632386,6693
X,1561674313,632206,6848
X,1561674314,632100,5565
X,1561674315,632014,5820
X,1561674315,632367,6804
X,1561674316,632442,6456
X,1561674316,632403,5929
X,1561674317,632554,4803
X,1561674317,632290,5685
X,1561674318,632623,4234
X,1561674319,632452,2195
X,1561674319,632144,2971
X,1561674320,632626,7374
X,1561674320,631930,7787
X,1561674321,632785,20479
X,1561674321,633526,37894
X,1561674322,631765,33219
X,1561674323,630270,38680
X,1561674323,630683,40395
X,1561674324,634736,32416
X,1561674324,629432,35277
X,1561674325,633851,63828
X,1561674325,632620,35752
X,1561674326,630919,102
X,1561674327,631244,27490
X,1561674327,632438,13823
X,1561674328,632189,3393
X,1561674328,632398,2258
X,1561674329,632444,1694
X,1561674329,631663,12391
X,1561674330,632309,31943
X,1561674331,635040,63596
X,1561674331,632449,58379
X,1561674332,633275,36126
X,1561674332,633688,19494
X,1561674333,633613,24108
X,1561674333,633927,25225
P,1561674334,4103
X,1561674334,630651,36023
X,1561674335,632373,32974
X,1561674335,633720,34951
X,1561674336,631677,52435
X,1561674336,634215,19862
X,1561674337,633452,9008
X,1561674337,633408,15649
X,1561674338,634010,24005
X,1561674338,631858,45381
X,1561674338,634083,32015
X,1561674339,630741,36387
X,1561674339,632059,28955
X,1561674340,631409,24326
X,1561674340,632853,21554
X,1561674341,633618,18773
X,1561674341,632466,36933
X,1561674342,631878,44132
X,1561674343,631698,16747
X,1561674343,631866,16373
X,1561674344,633325,8005
X,1561674344,632335,12350
X,1561674345,633740,18926
X,1561674345,633043,20058
X,1561674346,634825,13037
X,1561674347,633998,19932
X,1561674347,633204,16271
X,1561674348,632966,4501
X,1561674348,633124,26186
X,1561674349,633995,5617
X,1561674349,633979,3494
X,1561674350,633785,1990
X,1561674351,633614,2201
X,1561674351,633723,2699
X,1561674352,634653,12399
X,1561674352,632792,18139
X,1561674353,633847,10948
X,1561674353,633418,8113
X,1561674354,633858,18955
X,1561674355,634246,18383
X,1561674355,633491,41690
X,1561674356,633381,24478
X,1561674356,633745,19783
X,1561674357,633554,20967
X,1561674357,633119,12226
X,1561674358,633718,12004
X,1561674359,633507,18998
X,1561674359,633134,4656
X,1561674360,634348,11359
X,1561674360,631931,5702
X,1561674361,632928,2953
X,1561674361,632635,19438
X,1561674362,632296,6241
X,1561674362,632209,5907
P,1561674363,4098
X,1561674363,633802,10962
X,1561674364,630958,19809
X,1561674364,633133,10213
X,1561674365,633814,24309
X,1561674365,632516,32658
X,1561674366,632887,37099
X,1561674366,632130,17838
X,1561674367,632694,17122
X,1561674368,633795,7242
X,1561674368,633281,1889
X,1561674369,633166,2683
X,1561674369,632848,1934
X,1561674370,632905,2267
X,1561674370,632763,3677
X,1561674371,632674,1900
X,1561674372,632838,2651
X,1561674372,632526,2774
X,1561674373,632714,3058
X,1561674373,632938,2600
X,1561674374,633278,2138
X,1561674374,633481,18379
X,1561674375,633377,24337
X,1561674376,633673,22528
X,1561674376,634267,23834
X,1561674377,633887,2310
X,1561674377,633815,2833
X,1561674378,633823,4408
X,1561674378,633999,1799
X,1561674379,634207,5806
X,1561674379,633110,4733
X,1561674379,634170,10310
X,1561674380,633039,9687
X,1561674380,634989,44923
X,1561674381,633579,45302
X,1561674381,633056,30332
