H,1562172568,266219
P,1562172568,5572
P,1562172598,5572
P,1562172628,5572
P,1562172658,5571
P,1562172687,5572
P,1562172717,5572
P,1562172746,5571
P,1562172775,5571
P,1562172804,5572
P,1562172834,5570
P,1562172863,5572
P,1562172892,5573
P,1562172922,5571
P,1562172952,5572
P,1562172981,5572
P,1562173010,5573
P,1562173040,5572
P,1562173069,5572
P,1562173098,5572
P,1562173128,5572
P,1562173157,5571
P,1562173186,5572
P,1562173215,5571
P,1562173246,5572
P,1562173275,5570
P,1562173304,5571
P,1562173334,5570
P,1562173363,5572
P,1562173392,5571
P,1562173421,5571
P,1562173451,5571
P,1562173480,5572
P,1562173509,5571
P,1562173540,5572
P,1562173569,5571
P,1562173598,5572
P,1562173627,5570
P,1562173657,5571
P,1562173686,5572
P,1562173715,5573
P,1562173745,5571
P,1562173774,5569
P,1562173803,5572
P,1562173833,5571
P,1562173863,5572
P,1562173892,5571
P,1562173921,5572
P,1562173950,5571
P,1562173980,5571
P,1562174009,5571
P,1562174038,5570
P,1562174068,5570
P,1562174097,5570
P,1562174127,5571
O,1562174138,283510,1827
O,1562174138,283710,138
O,1562174139,283676,98
O,1562174139,283690,131
O,1562174140,283627,186
O,1562174141,283660,98
O,1562174141,283675,86
O,1562174142,283722,103
O,1562174142,283765,121
O,1562174143,283793,93
O,1562174143,283790,164
O,1562174144,283876,168
O,1562174145,283893,101
O,1562174145,283823,153
O,1562174146,283843,158
O,1562174146,283948,244
O,1562174147,283989,224
O,1562174147,283923,162
O,1562174148,283955,100
O,1562174149,283974,192
O,1562174149,283891,159
O,1562174150,283851,172
O,1562174150,283828,173
O,1562174151,283866,146
O,1562174151,283785,145
O,1562174152,283847,150
O,1562174152,283911,179
O,1562174153,283936,147
O,1562174154,283880,88
O,1562174154,283981,241
O,1562174155,283869,194
O,1562174155,283852,140
O,1562174155,283969,217
O,1562174155,283912,88
P,1562174156,5561
O,1562174156,283901,148
O,1562174157,283892,212
O,1562174157,283919,148
O,1562174158,284102,136
O,1562174158,284190,202
O,1562174159,284044,194
O,1562174159,283978,197
O,1562174160,283961,87
O,1562174161,283939,183
O,1562174161,283886,145
O,1562174162,283835,149
O,1562174162,283912,200
O,1562174163,283830,170
O,1562174163,283778,126
O,1562174164,283761,119
O,1562174165,283790,152
O,1562174165,283816,169
O,1562174166,283948,175
O,1562174166,284124,201
O,1562174167,284143,266
O,1562174167,284029,167
O,1562174168,283966,148
O,1562174169,284014,125
O,1562174169,283989,142
O,1562174170,283887,138
O,1562174170,283817,217
O,1562174171,283779,152
O,1562174171,283726,52
O,1562174172,283721,201
O,1562174173,283743,126
O,1562174173,283804,90
O,1562174174,283760,192
O,1562174174,283736,115
O,1562174175,283723,120
O,1562174175,283768,142
O,1562174176,283732,172
O,1562174176,283794,110
O,1562174177,283878,179
O,1562174178,283826,172
O,1562174178,283759,196
O,1562174179,283804,129
O,1562174179,283768,147
O,1562174180,283790,132
O,1562174180,283917,226
O,1562174181,284100,132
O,1562174182,284099,190
O,1562174182,284271,196
O,1562174183,284219,316
O,1562174183,284172,294
O,1562174184,284108,136
O,1562174184,284159,108
O,1562174185,284158,385
O,1562174186,283908,167
P,1562174186,5564
O,1562174186,283863,179
O,1562174187,283754,90
O,1562174187,283803,118
O,1562174188,283811,136
O,1562174188,283796,178
O,1562174189,283725,144
O,1562174190,283730,176
O,1562174190,283735,115
O,1562174191,283704,161
O,1562174191,283760,143
O,1562174192,283758,103
O,1562174192,283758,183
O,1562174193,283859,216
O,1562174194,284033,60
T,1562174194,2984
P,1562174215,5571
P,1562174244,5571
P,1562174274,5570
P,1562174303,5570
P,1562174332,5569
P,1562174361,5570
P,1562174391,5569
P,1562174421,5571
P,1562174450,5570
P,1562174480,5570
P,1562174509,5570
P,1562174538,5571
P,1562174567,5571
P,1562174597,5570
P,1562174626,5570
P,1562174655,5570
P,1562174685,5571
P,1562174715,5571
P,1562174744,5570
P,1562174773,5569
P,1562174803,5570
P,1562174832,5570
P,1562174861,5571
P,1562174891,5569
P,1562174920,5570
P,1562174949,5569
P,1562174978,5568
P,1562175009,5571
P,1562175038,5570
P,1562175067,5564
P,1562175097,5569
P,1562175126,5570
P,1562175155,5570
P,1562175184,5570
P,1562175214,5570
P,1562175244,5569
P,1562175273,5570
P,1562175304,5570
P,1562175333,5571
P,1562175362,5570
P,1562175391,5570
P,1562175421,5570
P,1562175450,5571
P,1562175479,5570
P,1562175509,5570
