H,1562342400,266219
U,1562342400,0
E,1562342400,1
P,1562342400,5489
P,1562342429,5489
P,1562342458,5489
P,1562342489,5490
P,1562342518,5489
P,1562342547,5490
P,1562342577,5488
P,1562342606,5488
P,1562342635,5490
P,1562342664,5489
P,1562342694,5489
P,1562342723,5489
P,1562342752,5489
P,1562342782,5490
P,1562342812,5490
P,1562342841,5489
P,1562342870,5489
P,1562342900,5489
P,1562342929,5489
P,1562342958,5489
P,1562342987,5489
P,1562343017,5489
P,1562343047,5488
P,1562343077,5490
P,1562343107,5490
P,1562343136,5490
P,1562343165,5489
P,1562343194,5488
P,1562343224,5489
P,1562343253,5489
P,1562343282,5489
P,1562343312,5489
P,1562343341,5490
P,1562343371,5489
P,1562343400,5489
P,1562343430,5489
P,1562343459,5489
P,1562343488,5489
P,1562343518,5490
P,1562343547,5489
P,1562343576,5489
P,1562343605,5489
P,1562343635,5489
P,1562343665,5489
P,1562343694,5488
P,1562343724,5487
P,1562343753,5488
P,1562343782,5489
P,1562343811,5489
P,1562343841,5489
P,1562343870,5489
P,1562343899,5488
P,1562343929,5488
O,1562343945,277206,1719
O,1562343945,277404,134
O,1562343946,277433,134
O,1562343946,277446,117
O,1562343947,277471,155
O,1562343948,277468,63
O,1562343948,277423,145
O,1562343949,277460,80
O,1562343949,277467,132
O,1562343950,277481,145
O,1562343950,277463,145
O,1562343951,277506,133
O,1562343952,277507,106
O,1562343952,277491,110
O,1562343953,277494,179
O,1562343953,277442,154
O,1562343954,277431,139
O,1562343954,277416,209
O,1562343955,277442,111
O,1562343956,277466,122
O,1562343956,277475,127
O,1562343957,277411,138
O,1562343957,277460,146
O,1562343958,277504,102
O,1562343958,277459,114
P,1562343959,5482
O,1562343959,277505,129
O,1562343960,277489,148
O,1562343960,277478,62
O,1562343961,277483,84
O,1562343961,277472,89
O,1562343962,277468,129
O,1562343962,277509,134
O,1562343963,277519,100
O,1562343964,277546,136
O,1562343964,277544,115
O,1562343965,277513,107
O,1562343965,277540,154
O,1562343966,277537,78
O,1562343966,277522,88
O,1562343967,277521,103
O,1562343967,277545,143
O,1562343968,277560,77
O,1562343969,277567,136
O,1562343969,277529,123
O,1562343970,277541,123
O,1562343970,277548,103
O,1562343971,277543,64
O,1562343971,277558,122
O,1562343972,277505,116
O,1562343972,277547,150
O,1562343972,277554,118
O,1562343973,277509,136
O,1562343973,277546,111
O,1562343974,277532,160
O,1562343974,277529,144
O,1562343975,277536,127
O,1562343976,277509,162
O,1562343976,277514,145
O,1562343977,277536,159
O,1562343977,277546,92
O,1562343978,277522,81
O,1562343978,277518,142
O,1562343979,277549,105
O,1562343980,277545,117
O,1562343980,277552,100
O,1562343981,277548,146
O,1562343981,277552,94
O,1562343982,277563,92
O,1562343982,277551,112
O,1562343983,277595,102
O,1562343984,277587,81
O,1562343984,277594,139
O,1562343985,277603,112
O,1562343985,277600,104
O,1562343986,277625,181
O,1562343986,277623,149
O,1562343987,277585,105
O,1562343988,277596,154
P,1562343988,5482
O,1562343988,277595,115
O,1562343989,277578,181
O,1562343989,277568,70
O,1562343990,277595,128
O,1562343990,277584,142
O,1562343991,277558,131
O,1562343991,277542,112
O,1562343992,277554,63
O,1562343993,277580,120
O,1562343993,277558,98
O,1562343994,277575,87
O,1562343994,277569,168
O,1562343995,277542,129
O,1562343995,277508,101
O,1562343996,277458,97
O,1562343997,277495,138
O,1562343997,277529,102
O,1562343998,277520,144
O,1562343998,277425,206
O,1562343999,277508,315
O,1562343999,277477,630
O,1562344000,277511,619
O,1562344001,277539,583
T,1562344001,3074
P,1562344017,5489
P,1562344047,5487
P,1562344076,5488
P,1562344105,5487
P,1562344135,5489
P,1562344164,5489
P,1562344193,5488
P,1562344222,5487
P,1562344253,5487
P,1562344282,5488
P,1562344311,5488
P,1562344341,5488
P,1562344370,5488
P,1562344399,5487
P,1562344428,5488
P,1562344458,5488
P,1562344487,5488
P,1562344516,5488
P,1562344546,5487
P,1562344576,5488
P,1562344605,5487
P,1562344634,5488
P,1562344664,5488
P,1562344693,5487
P,1562344722,5487
P,1562344751,5486
P,1562344781,5488
P,1562344810,5487
P,1562344840,5487
P,1562344870,5487
P,1562344899,5488
P,1562344928,5487
P,1562344957,5487
P,1562344987,5488
P,1562345016,5488
P,1562345045,5488
P,1562345075,5487
P,1562345104,5487
P,1562345134,5487
P,1562345163,5487
P,1562345193,5488
P,1562345222,5487
P,1562345251,5486
P,1562345281,5487
P,1562345310,5486
P,1562345339,5487
