H,1563339684,266219
P,1563339684,5294
P,1563339713,5293
P,1563339743,5294
P,1563339772,5293
P,1563339802,5293
P,1563339831,5292
P,1563339860,5293
P,1563339890,5293
P,1563339919,5292
P,1563339948,5293
P,1563339977,5294
P,1563340007,5292
P,1563340037,5292
P,1563340066,5293
P,1563340096,5293
P,1563340125,5293
P,1563340154,5293
P,1563340183,5294
P,1563340213,5293
P,1563340242,5293
P,1563340271,5293
P,1563340301,5291
P,1563340331,5294
P,1563340360,5293
P,1563340389,5292
P,1563340419,5293
P,1563340448,5293
P,1563340477,5291
P,1563340507,5293
P,1563340536,5293
P,1563340565,5292
P,1563340594,5294
P,1563340625,5292
P,1563340654,5294
P,1563340683,5293
P,1563340712,5293
P,1563340742,5293
P,1563340771,5293
P,1563340800,5292
P,1563340830,5292
P,1563340859,5293
P,1563340888,5293
P,1563340918,5293
P,1563340948,5292
P,1563340977,5294
P,1563341006,5293
P,1563341036,5292
P,1563341065,5293
P,1563341094,5294
P,1563341123,5293
P,1563341153,5293
P,1563341182,5292
P,1563341212,5293
P,1563341242,5292
P,1563341271,5294
P,1563341300,5293
P,1563341329,5292
P,1563341359,5294
P,1563341388,5294
P,1563341417,5294
P,1563341447,5293
O,1563341469,267993,34822
O,1563341470,274124,1024
O,1563341470,275323,824
O,1563341471,275611,350
O,1563341471,275412,246
O,1563341472,275292,203
O,1563341473,275244,124
O,1563341473,275270,213
O,1563341474,275322,321
O,1563341474,275385,251
O,1563341475,275400,428
O,1563341475,275387,185
O,1563341476,275789,403
P,1563341476,5284
O,1563341477,276031,217
O,1563341477,276036,270
O,1563341478,276041,258
O,1563341478,276300,501
O,1563341479,276714,196
O,1563341479,276388,161
O,1563341480,276327,111
O,1563341481,276314,327
O,1563341481,276228,129
O,1563341482,276291,164
O,1563341482,276013,306
O,1563341483,276000,351
O,1563341483,276092,211
O,1563341484,276007,319
O,1563341485,275381,800
O,1563341485,273420,2421
O,1563341486,273242,3987
O,1563341486,273972,920
O,1563341487,274262,468
O,1563341487,273961,1360
O,1563341488,274717,272
O,1563341488,273649,2251
O,1563341489,270004,7971
O,1563341490,273903,535
O,1563341490,274187,328
O,1563341491,274274,338
O,1563341491,274749,391
O,1563341491,274987,229
O,1563341491,274465,380
O,1563341492,274661,577
O,1563341493,275491,923
O,1563341493,276051,207
O,1563341494,276539,431
O,1563341494,277017,184
O,1563341495,277099,319
O,1563341495,277185,453
O,1563341496,277268,238
O,1563341497,277240,194
O,1563341497,277322,272
O,1563341498,277459,198
O,1563341498,277384,199
O,1563341499,277394,162
O,1563341499,277370,165
O,1563341500,277300,120
O,1563341501,277423,124
O,1563341501,277464,203
O,1563341502,277423,183
O,1563341502,277421,108
O,1563341503,277402,161
O,1563341503,277302,244
O,1563341504,277207,197
O,1563341505,277154,205
O,1563341505,277172,256
P,1563341506,5286
O,1563341506,277160,106
O,1563341506,277239,337
O,1563341507,277272,240
O,1563341507,277174,249
O,1563341508,277193,173
O,1563341508,277224,177
O,1563341509,277210,257
O,1563341510,277109,264
O,1563341510,276919,115
O,1563341511,276961,86
O,1563341511,277002,101
O,1563341512,276991,245
O,1563341512,277050,133
O,1563341513,276970,172
O,1563341514,277105,426
O,1563341514,277200,139
O,1563341515,277285,244
O,1563341515,277289,196
O,1563341516,277247,169
O,1563341516,277203,98
O,1563341517,277179,219
O,1563341518,277194,237
O,1563341518,277239,228
O,1563341519,277172,295
O,1563341519,277219,138
O,1563341520,277097,203
O,1563341520,277102,299
O,1563341521,277053,190
O,1563341522,277080,214
O,1563341522,276972,197
O,1563341523,276935,250
O,1563341523,277002,185
O,1563341524,277057,162
O,1563341524,277077,188
O,1563341525,277052,245
T,1563341525,2886
P,1563341535,5293
P,1563341565,5292
P,1563341594,5294
P,1563341623,5293
P,1563341653,5293
P,1563341682,5292
P,1563341711,5293
P,1563341740,5293
P,1563341770,5293
P,1563341800,5293
P,1563341829,5293
P,1563341859,5293
P,1563341888,5293
P,1563341917,5293
P,1563341946,5293
P,1563341976,5293
P,1563342005,5293
P,1563342035,5292
P,1563342065,5293
P,1563342095,5294
P,1563342124,5293
P,1563342153,5294
P,1563342183,5291
P,1563342212,5292
P,1563342241,5292
P,1563342271,5293
P,1563342300,5293
P,1563342329,5292
P,1563342358,5292
P,1563342389,5293
P,1563342418,5292
P,1563342447,5293
P,1563342476,5293
P,1563342506,5292
P,1563342535,5292
P,1563342564,5293
P,1563342594,5292
P,1563342623,5293
P,1563342652,5293
P,1563342682,5293
