H,1563552000,266219
U,1563552000,0
E,1563552000,1
P,1563552000,5290
P,1563552030,5289
P,1563552060,5290
P,1563552089,5290
P,1563552119,5290
P,1563552148,5291
P,1563552177,5290
P,1563552206,5291
P,1563552236,5291
P,1563552265,5290
P,1563552294,5289
P,1563552324,5290
P,1563552354,5290
P,1563552383,5289
P,1563552412,5290
P,1563552442,5291
P,1563552471,5290
P,1563552500,5290
P,1563552529,5290
P,1563552559,5291
P,1563552588,5291
P,1563552617,5289
P,1563552648,5289
P,1563552677,5291
P,1563552706,5289
P,1563552735,5289
P,1563552765,5289
P,1563552794,5290
P,1563552823,5290
P,1563552853,5290
P,1563552882,5290
P,1563552911,5290
P,1563552941,5291
P,1563552971,5291
P,1563553000,5290
P,1563553029,5290
P,1563553059,5291
P,1563553088,5290
P,1563553117,5290
P,1563553146,5291
P,1563553176,5290
P,1563553205,5291
P,1563553235,5289
P,1563553265,5289
P,1563553294,5291
P,1563553323,5290
P,1563553352,5290
P,1563553382,5290
P,1563553411,5289
P,1563553440,5290
P,1563553470,5290
P,1563553499,5290
P,1563553529,5288
P,1563553558,5291
P,1563553588,5291
P,1563553617,5291
P,1563553646,5288
P,1563553676,5291
P,1563553705,5291
P,1563553734,5290
P,1563553763,5284
O,1563553765,264666,1770
O,1563553765,264831,208
O,1563553766,264825,124
O,1563553767,264776,161
O,1563553767,264715,104
O,1563553768,264640,158
O,1563553768,264621,156
O,1563553769,264577,117
O,1563553769,264497,112
O,1563553770,264409,165
O,1563553771,264378,103
O,1563553771,264307,164
O,1563553772,264266,92
O,1563553772,264206,141
O,1563553773,264104,172
O,1563553773,263980,203
O,1563553774,263799,172
O,1563553775,263605,141
O,1563553775,263346,258
O,1563553776,263095,193
O,1563553776,262925,132
O,1563553777,262675,251
O,1563553777,262333,574
O,1563553778,261583,518
O,1563553779,261127,354
O,1563553779,260748,513
O,1563553780,260334,375
O,1563553780,257085,8259
O,1563553781,259363,10307
O,1563553781,262061,356
O,1563553782,262373,402
O,1563553782,263303,650
O,1563553783,263655,126
O,1563553784,263853,172
O,1563553784,264050,261
O,1563553785,264152,153
O,1563553785,264246,133
O,1563553786,264201,224
O,1563553786,264212,158
O,1563553787,264279,184
O,1563553788,264379,203
O,1563553788,264352,456
O,1563553789,264427,346
O,1563553789,264383,223
O,1563553790,264367,151
O,1563553790,264342,153
O,1563553791,264393,102
O,1563553792,264470,119
O,1563553792,264553,129
O,1563553793,264546,162
O,1563553793,264661,293
P,1563553793,5285
O,1563553794,264823,220
O,1563553794,264862,219
O,1563553795,264939,214
O,1563553796,265003,198
O,1563553796,265074,110
O,1563553797,265073,137
O,1563553797,265112,103
O,1563553798,265155,142
O,1563553798,265131,77
O,1563553799,265109,131
O,1563553800,265196,160
O,1563553800,265217,161
O,1563553800,265265,275
O,1563553800,265344,341
O,1563553801,265416,497
O,1563553801,265413,182
O,1563553802,265390,219
O,1563553803,265387,134
O,1563553803,265422,158
O,1563553804,265485,120
O,1563553804,265473,69
O,1563553805,265491,120
O,1563553805,265472,210
O,1563553806,265471,89
O,1563553807,265456,134
O,1563553807,265485,77
O,1563553808,265516,182
O,1563553808,265539,104
O,1563553809,265570,138
O,1563553809,265613,175
O,1563553810,265542,111
O,1563553810,265445,90
O,1563553811,265423,167
O,1563553812,265503,157
O,1563553812,265442,161
O,1563553813,265465,441
O,1563553813,265476,236
O,1563553814,265475,158
O,1563553814,265517,162
O,1563553815,265491,179
O,1563553816,265518,51
O,1563553816,265498,112
O,1563553817,265462,207
O,1563553817,265445,100
O,1563553818,265476,140
O,1563553818,265518,127
O,1563553819,265531,214
O,1563553820,265561,158
O,1563553820,265539,134
O,1563553821,265513,166
T,1563553821,3052
P,1563553823,5290
P,1563553852,5290
P,1563553882,5290
P,1563553911,5290
P,1563553940,5290
P,1563553969,5291
P,1563553999,5291
P,1563554028,5290
P,1563554057,5290
P,1563554087,5290
P,1563554117,5290
P,1563554146,5291
P,1563554175,5291
P,1563554205,5291
P,1563554234,5291
P,1563554263,5289
P,1563554292,5291
P,1563554322,5291
P,1563554352,5290
P,1563554381,5290
P,1563554412,5290
P,1563554441,5291
P,1563554470,5290
P,1563554499,5289
P,1563554529,5290
P,1563554558,5290
P,1563554587,5290
P,1563554617,5290
P,1563554646,5290
P,1563554675,5291
P,1563554705,5290
P,1563554735,5290
P,1563554764,5290
P,1563554793,5290
P,1563554823,5291
P,1563554852,5289
P,1563554881,5290
P,1563554910,5289
P,1563554940,5291
