H,1564693346,266219
U,1564693346,0
X,1564693348,664149,754
X,1564693348,664163,841
X,1564693349,664180,1338
X,1564693350,664107,762
X,1564693350,664039,746
X,1564693351,664159,1155
X,1564693351,664186,934
X,1564693352,664243,916
X,1564693352,664224,1035
X,1564693353,664227,1273
X,1564693354,664104,1262
X,1564693354,663846,1031
X,1564693355,664253,928
X,1564693355,664259,851
X,1564693356,664076,1165
X,1564693356,663956,985
X,1564693357,664041,1110
X,1564693358,663752,1260
X,1564693358,663834,1037
X,1564693359,663939,562
X,1564693359,664188,825
X,1564693360,664137,895
X,1564693360,664300,720
X,1564693361,664174,1129
X,1564693362,664010,897
X,1564693362,664192,630
X,1564693363,664245,1038
X,1564693363,664289,784
X,1564693364,664352,1118
X,1564693364,664398,1111
X,1564693365,664113,894
X,1564693365,663917,848
X,1564693366,663997,883
X,1564693367,664164,961
A,1564693367,664130,383
T,1564693367,2945
P,1564693367,5152
U,1564693367,0
X,1564693369,664104,834
X,1564693369,663903,630
X,1564693370,663811,792
X,1564693370,663886,796
X,1564693370,663929,704
X,1564693370,664263,1059
X,1564693371,664218,732
X,1564693372,664193,863
X,1564693372,664044,758
X,1564693373,663922,652
X,1564693373,663985,765
X,1564693374,664168,1233
X,1564693374,664030,1063
X,1564693375,664025,820
X,1564693376,663699,703
X,1564693376,663871,740
X,1564693377,663753,643
X,1564693377,663779,751
X,1564693378,663843,1446
X,1564693378,663874,697
X,1564693379,663711,1013
X,1564693380,663639,925
X,1564693380,663730,625
X,1564693381,663746,735
X,1564693381,663653,846
A,1564693381,663888,579
T,1564693381,2945
U,1564693382,0
X,1564693383,663743,1519
X,1564693384,663853,915
X,1564693384,664064,867
X,1564693385,664077,763
X,1564693385,664174,730
X,1564693386,664141,1953
X,1564693387,664305,1768
X,1564693387,664157,822
X,1564693388,664090,848
X,1564693388,664048,612
X,1564693389,664266,790
X,1564693389,664260,549
X,1564693390,664324,1515
X,1564693391,664223,649
X,1564693391,664136,945
X,1564693392,664069,524
X,1564693392,664161,763
X,1564693393,664196,580
X,1564693393,664407,726
X,1564693394,664518,1257
X,1564693395,664327,861
X,1564693395,664310,1295
X,1564693396,664241,803
P,1564693396,5148
X,1564693396,664165,1047
X,1564693397,663963,900
X,1564693397,664011,1661
X,1564693398,664062,826
X,1564693399,663959,1017
X,1564693399,664019,861
A,1564693399,664139,554
T,1564693399,2945
U,1564693400,0
X,1564693401,664058,1697
X,1564693402,664073,1649
X,1564693402,663893,967
X,1564693403,663778,1215
X,1564693403,664024,1228
X,1564693404,664072,976
X,1564693404,664109,893
X,1564693405,664097,707
X,1564693406,663984,1184
X,1564693406,663962,728
X,1564693407,663861,732
X,1564693407,663917,858
X,1564693408,663877,794
X,1564693408,663864,826
X,1564693409,663828,663
X,1564693410,663909,999
X,1564693410,663931,743
X,1564693411,663764,1123
X,1564693411,663851,662
X,1564693411,663939,708
X,1564693411,663830,915
X,1564693412,663952,646
X,1564693413,664041,1266
X,1564693413,663881,867
X,1564693414,663873,593
X,1564693414,663966,821
X,1564693415,664081,724
A,1564693415,663934,281
T,1564693415,2945
U,1564693415,0
X,1564693417,664177,883
X,1564693417,663978,820
X,1564693418,663947,640
X,1564693419,664046,772
X,1564693419,664037,669
X,1564693420,663855,968
X,1564693420,663809,1086
X,1564693421,664185,1175
X,1564693421,664025,1184
X,1564693422,664268,991
X,1564693423,664277,1180
X,1564693423,664011,1192
X,1564693424,663808,718
X,1564693424,664058,1046
X,1564693425,664016,795
P,1564693425,5147
X,1564693425,663801,679
X,1564693426,663745,838
X,1564693426,663864,814
X,1564693427,663872,552
X,1564693428,663827,786
X,1564693428,664132,1005
X,1564693429,664310,986
X,1564693429,664144,1362
X,1564693430,663756,1308
X,1564693430,663729,1374
X,1564693431,663806,884
X,1564693432,663928,1498
X,1564693432,664111,720
X,1564693433,663891,989
X,1564693433,663908,981
X,1564693434,663984,866
A,1564693434,663962,565
T,1564693434,2945
U,1564693434,0
X,1564693436,663998,1051
X,1564693436,663704,1240
X,1564693437,663749,1032
X,1564693438,663925,592
X,1564693438,663951,1092
X,1564693439,663942,723
X,1564693439,663863,1104
X,1564693440,663902,935
X,1564693440,663694,1206
X,1564693441,663755,999
