H,1564963214,266219
T,1564963214,2924
U,1564963214,47532
X,1564963215,610949,775
X,1564963216,611070,904
X,1564963217,611123,998
X,1564963217,611190,775
X,1564963218,611139,742
X,1564963218,611211,1431
X,1564963219,611047,1228
X,1564963219,611059,1182
X,1564963220,611024,1255
X,1564963221,611182,717
X,1564963221,611109,639
X,1564963222,611083,815
X,1564963222,610970,1868
X,1564963222,610930,1173
X,1564963222,610961,1114
X,1564963223,611063,921
X,1564963223,611107,558
X,1564963224,610937,632
X,1564963225,611219,1039
X,1564963225,611032,1063
X,1564963226,611096,1459
X,1564963226,610966,739
X,1564963227,610932,1059
X,1564963227,610957,758
X,1564963228,610989,785
X,1564963229,611005,906
X,1564963229,610920,874
X,1564963230,610932,768
X,1564963230,610946,825
X,1564963231,610968,522
X,1564963231,611050,938
A,1564963231,611034,270
T,1564963232,2924
U,1564963232,47532
X,1564963233,610995,1326
X,1564963234,611098,812
X,1564963235,611022,690
X,1564963235,611014,1324
X,1564963236,611059,939
P,1564963236,5090
X,1564963236,611112,1024
X,1564963237,611112,1024
X,1564963237,610923,1495
X,1564963238,611072,1254
X,1564963239,611074,772
X,1564963239,611059,1101
X,1564963240,610966,1110
X,1564963240,611121,960
X,1564963241,610996,1138
X,1564963241,610987,779
X,1564963242,610958,774
X,1564963242,610995,686
X,1564963243,610986,929
X,1564963244,610940,800
X,1564963244,611124,1358
X,1564963245,610955,988
X,1564963245,610996,1093
X,1564963246,611030,847
X,1564963246,610967,348
X,1564963247,610999,1023
X,1564963248,611016,1290
X,1564963248,611121,926
X,1564963249,611052,1443
X,1564963249,611072,1180
X,1564963250,611138,809
X,1564963250,611091,505
X,1564963251,611075,1060
X,1564963252,611271,796
X,1564963252,611183,760
X,1564963253,611110,1214
X,1564963253,611092,584
X,1564963254,611069,861
A,1564963254,611057,331
T,1564963254,2924
U,1564963254,47532
X,1564963256,610900,554
X,1564963256,610730,951
X,1564963257,610711,935
X,1564963258,610748,976
X,1564963258,610722,769
X,1564963259,610817,550
X,1564963259,610859,576
X,1564963260,610819,873
X,1564963260,610723,1175
X,1564963261,610664,686
X,1564963262,610792,792
X,1564963262,610733,1176
X,1564963263,610725,733
X,1564963263,610881,1591
X,1564963263,610828,1279
X,1564963263,610864,1038
X,1564963264,610787,1115
X,1564963264,610767,714
X,1564963265,610718,774
P,1564963265,5118
X,1564963266,610624,1176
X,1564963266,610639,878
X,1564963267,610566,1116
X,1564963267,610574,1088
X,1564963268,610654,1243
X,1564963268,610581,1096
X,1564963269,610737,738
X,1564963270,610823,835
X,1564963270,610697,1430
X,1564963271,610796,1248
X,1564963271,610784,752
X,1564963272,610734,995
X,1564963272,610762,775
X,1564963273,610837,974
A,1564963273,610764,261
T,1564963273,2924
U,1564963274,47532
X,1564963275,610801,1029
X,1564963276,610929,874
X,1564963276,610911,559
X,1564963277,610996,793
X,1564963277,611034,995
X,1564963278,611045,723
X,1564963279,610993,802
X,1564963279,611017,1134
X,1564963280,610920,1044
X,1564963280,610950,866
X,1564963281,610968,864
X,1564963281,610982,864
X,1564963282,611132,834
X,1564963283,610967,1184
X,1564963283,610928,1293
X,1564963284,610871,1256
X,1564963284,610995,1193
X,1564963285,611158,795
X,1564963285,611011,1302
X,1564963286,611034,1014
X,1564963287,610877,1066
X,1564963287,610868,1151
X,1564963288,610981,962
X,1564963288,610994,830
X,1564963289,611069,862
X,1564963289,611075,1151
X,1564963290,610968,747
X,1564963291,610902,1213
X,1564963291,610926,1062
X,1564963292,610919,830
X,1564963292,611019,959
X,1564963293,610984,932
X,1564963293,611060,1447
X,1564963294,611172,1221
X,1564963294,611108,1483
X,1564963295,610932,1068
P,1564963295,5116
X,1564963296,610883,1160
X,1564963296,610976,1097
X,1564963297,611077,628
X,1564963297,611011,1259
X,1564963298,611015,690
A,1564963298,611006,247
T,1564963298,2924
U,1564963299,47532
X,1564963300,611133,675
X,1564963301,611286,1348
X,1564963301,611288,1400
X,1564963302,611287,1074
X,1564963302,611120,850
X,1564963303,611129,1007
X,1564963303,611262,1204
X,1564963304,611235,1306
X,1564963304,611223,1009
X,1564963304,611042,1203
X,1564963305,611095,976
X,1564963305,611124,974
X,1564963306,611190,657
X,1564963306,611091,961
X,1564963307,611207,1135
