H,1549175610,318339
P,1549175610,5124
P,1549175639,5126
P,1549175669,5126
P,1549175698,5126
P,1549175727,5126
P,1549175758,5126
P,1549175787,5125
P,1549175817,5124
P,1549175846,5124
P,1549175876,5125
P,1549175905,5127
P,1549175934,5124
P,1549175964,5126
P,1549175993,5124
P,1549176022,5125
P,1549176052,5126
P,1549176082,5126
P,1549176111,5125
P,1549176140,5126
P,1549176170,5125
P,1549176199,5126
P,1549176228,5126
P,1549176257,5125
P,1549176287,5125
P,1549176316,5126
P,1549176346,5125
P,1549176376,5125
P,1549176405,5126
P,1549176434,5125
P,1549176463,5126
P,1549176493,5126
P,1549176522,5126
P,1549176551,5126
P,1549176581,5126
P,1549176610,5125
P,1549176640,5125
P,1549176669,5125
P,1549176699,5127
P,1549176728,5126
P,1549176757,5126
P,1549176787,5125
P,1549176816,5125
P,1549176845,5126
P,1549176874,5126
P,1549176904,5124
P,1549176934,5126
P,1549176963,5126
P,1549176992,5126
P,1549177022,5126
P,1549177051,5125
P,1549177080,5127
P,1549177110,5126
P,1549177139,5126
O,1549177164,296539,1956
O,1549177165,296684,115
O,1549177165,296685,99
O,1549177166,296758,116
O,1549177166,296776,137
O,1549177167,296765,88
O,1549177168,296753,84
O,1549177168,296822,94
P,1549177168,5118
O,1549177169,296785,91
O,1549177169,296763,90
O,1549177170,296752,95
O,1549177170,296709,106
O,1549177171,296707,100
O,1549177172,296741,72
O,1549177172,296769,143
O,1549177173,296815,140
O,1549177173,296878,349
O,1549177174,296625,204
O,1549177174,296637,177
O,1549177175,296660,177
O,1549177176,296612,224
O,1549177176,296542,175
O,1549177177,296655,148
O,1549177177,296621,190
O,1549177178,296608,211
O,1549177178,296712,83
O,1549177179,296642,227
O,1549177180,296701,110
O,1549177180,296681,116
O,1549177181,296642,70
O,1549177181,296671,118
O,1549177182,296675,208
O,1549177182,296720,116
O,1549177183,296745,155
O,1549177183,296717,154
O,1549177184,296740,216
O,1549177185,296721,139
O,1549177185,296521,218
O,1549177186,296445,377
O,1549177186,296562,157
O,1549177187,296712,250
O,1549177187,296646,183
O,1549177188,296588,134
O,1549177189,296681,90
O,1549177189,296770,133
O,1549177190,296692,66
O,1549177190,296655,77
O,1549177191,296588,130
O,1549177191,296658,165
O,1549177192,296612,162
O,1549177193,296498,91
O,1549177193,296678,96
O,1549177194,296529,163
O,1549177194,296352,294
O,1549177195,296508,224
O,1549177195,296574,128
O,1549177196,296549,125
O,1549177197,296628,245
O,1549177197,296609,180
O,1549177197,296473,189
O,1549177197,296518,206
P,1549177197,5117
O,1549177198,296541,90
O,1549177198,296562,127
O,1549177199,296518,132
O,1549177200,296573,121
O,1549177200,296527,118
O,1549177201,296516,174
O,1549177201,296561,92
O,1549177202,296501,175
O,1549177202,296429,198
O,1549177203,296576,279
O,1549177204,296604,110
O,1549177204,296644,138
O,1549177205,296573,145
O,1549177205,296662,140
O,1549177206,296641,115
O,1549177206,296553,120
O,1549177207,296595,173
O,1549177207,296408,196
O,1549177208,296513,310
O,1549177209,296379,309
O,1549177209,296646,141
O,1549177210,296543,288
O,1549177210,296418,145
O,1549177211,296521,331
O,1549177211,296561,145
O,1549177212,296451,436
O,1549177213,296383,121
O,1549177213,296424,146
O,1549177214,296428,123
O,1549177214,296546,399
O,1549177215,296530,216
O,1549177215,296499,156
O,1549177216,296551,144
O,1549177217,296600,100
O,1549177217,296560,177
O,1549177218,296646,166
O,1549177218,296719,122
O,1549177219,296746,102
O,1549177219,296703,95
O,1549177220,296690,82
T,1549177220,2742
P,1549177228,5125
P,1549177257,5125
P,1549177286,5125
P,1549177316,5126
P,1549177345,5126
P,1549177374,5125
P,1549177403,5124
P,1549177433,5126
P,1549177462,5125
P,1549177491,5124
P,1549177522,5126
P,1549177551,5126
P,1549177580,5125
P,1549177609,5126
P,1549177639,5126
P,1549177668,5124
P,1549177697,5126
P,1549177727,5125
P,1549177756,5125
P,1549177785,5125
P,1549177815,5126
P,1549177845,5124
P,1549177874,5124
P,1549177903,5125
P,1549177933,5127
P,1549177962,5125
P,1549177991,5125
P,1549178020,5124
P,1549178050,5125
P,1549178079,5125
P,1549178109,5126
P,1549178139,5126
P,1549178168,5126
P,1549178197,5125
P,1549178226,5126
P,1549178256,5125
P,1549178285,5124
P,1549178314,5126
P,1549178344,5126
P,1549178373,5125
P,1549178403,5125
P,1549178433,5127
P,1549178463,5125
P,1549178492,5127
P,1549178521,5125
P,1549178551,5126
P,1549178580,5124
P,1549178609,5125
