H,1549244051,318339
P,1549244051,5123
P,1549244081,5122
P,1549244111,5123
P,1549244140,5120
P,1549244169,5122
P,1549244199,5123
P,1549244228,5122
P,1549244257,5122
P,1549244286,5123
P,1549244316,5123
P,1549244345,5122
P,1549244375,5121
P,1549244405,5121
P,1549244434,5122
P,1549244463,5122
P,1549244492,5122
P,1549244522,5122
P,1549244551,5122
P,1549244580,5122
P,1549244610,5123
P,1549244639,5121
P,1549244669,5122
P,1549244698,5123
P,1549244728,5124
P,1549244757,5122
P,1549244786,5122
P,1549244816,5121
P,1549244845,5122
P,1549244874,5124
P,1549244903,5123
P,1549244933,5123
P,1549244963,5123
P,1549244992,5123
P,1549245022,5122
P,1549245051,5123
P,1549245080,5120
P,1549245109,5123
P,1549245139,5124
P,1549245168,5124
P,1549245197,5123
P,1549245227,5121
P,1549245257,5122
P,1549245286,5122
P,1549245315,5122
O,1549245334,296029,2121
O,1549245334,296721,948
O,1549245335,294310,4562
O,1549245335,294106,2340
O,1549245336,293842,3144
O,1549245337,290893,1426
O,1549245337,289247,4253
O,1549245338,292021,2786
O,1549245338,293957,1367
O,1549245339,293921,2199
O,1549245339,294066,1803
O,1549245340,295163,842
O,1549245341,294711,661
O,1549245341,294813,1677
O,1549245342,294089,2243
O,1549245342,293969,1977
O,1549245343,294465,1273
O,1549245343,294151,1868
O,1549245344,293343,2148
O,1549245345,293780,2761
P,1549245345,5114
O,1549245345,294278,2345
O,1549245346,293450,1726
O,1549245346,294017,1896
O,1549245347,293042,2302
O,1549245347,294627,940
O,1549245348,294314,1385
O,1549245349,293118,1154
O,1549245349,293908,1604
O,1549245350,295245,599
O,1549245350,294638,547
O,1549245350,294535,1457
O,1549245350,294648,978
O,1549245351,293985,2360
O,1549245352,294588,1549
O,1549245352,294167,714
O,1549245353,294287,749
O,1549245353,295437,560
O,1549245354,295543,636
O,1549245354,296018,1557
O,1549245355,294186,1605
O,1549245356,295210,607
O,1549245356,295072,474
O,1549245357,295057,888
O,1549245357,295238,819
O,1549245358,294592,1343
O,1549245358,294296,3774
O,1549245359,294160,2073
O,1549245359,294250,2321
O,1549245360,293257,770
O,1549245361,293839,1188
O,1549245361,293788,1337
O,1549245362,294252,1230
O,1549245362,294196,447
O,1549245363,294571,1056
O,1549245363,294925,1124
O,1549245364,294320,1064
O,1549245365,294742,1225
O,1549245365,295039,916
O,1549245366,293939,745
O,1549245366,294845,1187
O,1549245367,294872,1108
O,1549245367,294776,646
O,1549245368,296053,1875
O,1549245369,296450,1385
O,1549245369,295762,1706
O,1549245370,295722,2115
O,1549245370,293799,4655
O,1549245371,293040,2747
O,1549245371,292417,6798
O,1549245372,291841,2098
O,1549245373,297601,5613
O,1549245373,297935,1726
O,1549245374,296409,825
P,1549245374,5115
O,1549245374,296369,2105
O,1549245375,293904,3674
O,1549245375,293467,1261
O,1549245376,294496,1279
O,1549245377,295005,922
O,1549245377,296575,4397
O,1549245378,293036,3576
O,1549245378,293452,989
O,1549245379,293641,2528
O,1549245379,294324,4054
O,1549245380,295606,1538
O,1549245380,294774,1275
O,1549245381,295546,269
O,1549245382,295796,480
O,1549245382,295803,1361
O,1549245383,294904,1808
O,1549245383,292715,2910
O,1549245384,294932,977
O,1549245384,295238,841
O,1549245385,295099,317
O,1549245386,295410,695
O,1549245386,295767,455
O,1549245387,294926,763
O,1549245387,294098,1132
O,1549245388,294926,1085
O,1549245388,294742,1107
O,1549245389,294971,831
O,1549245390,295240,1002
T,1549245390,2719
P,1549245403,5121
P,1549245432,5122
P,1549245462,5123
P,1549245491,5122
P,1549245520,5122
P,1549245551,5123
P,1549245580,5124
P,1549245609,5122
P,1549245638,5123
P,1549245668,5122
P,1549245697,5122
P,1549245726,5122
P,1549245756,5123
P,1549245785,5122
P,1549245814,5123
P,1549245844,5123
P,1549245874,5122
P,1549245903,5121
P,1549245932,5123
P,1549245962,5123
P,1549245991,5123
P,1549246020,5123
P,1549246049,5123
P,1549246079,5121
P,1549246108,5120
P,1549246138,5122
P,1549246168,5122
P,1549246197,5122
P,1549246226,5124
P,1549246255,5122
P,1549246285,5122
P,1549246314,5122
P,1549246343,5123
P,1549246373,5123
P,1549246402,5122
P,1549246432,5122
P,1549246461,5121
P,1549246491,5121
P,1549246520,5122
P,1549246549,5123
P,1549246579,5122
P,1549246609,5122
P,1549246638,5122
P,1549246667,5122
P,1549246697,5121
P,1549246727,5123
P,1549246756,5123
P,1549246786,5123
P,1549246815,5123
P,1549246844,5121
P,1549246873,5122
P,1549246903,5123
P,1549246932,5123
P,1549246961,5122
P,1549246991,5122
P,1549247021,5122
P,1549247050,5121
