H,1549641600,318339
U,1549641600,0
E,1549641600,1
P,1549641600,5122
P,1549641629,5123
P,1549641659,5123
P,1549641688,5123
P,1549641717,5123
P,1549641747,5123
P,1549641777,5122
P,1549641806,5122
P,1549641835,5122
P,1549641865,5123
P,1549641894,5122
P,1549641923,5122
P,1549641952,5123
P,1549641982,5122
P,1549642011,5123
P,1549642041,5122
P,1549642071,5121
P,1549642100,5122
P,1549642129,5123
P,1549642158,5122
P,1549642188,5123
P,1549642217,5122
P,1549642246,5122
P,1549642276,5122
P,1549642305,5122
P,1549642335,5122
P,1549642364,5120
P,1549642394,5122
P,1549642423,5123
P,1549642452,5123
P,1549642482,5123
P,1549642512,5123
P,1549642541,5123
P,1549642570,5122
P,1549642600,5121
P,1549642630,5122
P,1549642659,5122
P,1549642688,5122
P,1549642718,5122
P,1549642747,5120
P,1549642776,5123
P,1549642806,5120
P,1549642835,5123
P,1549642864,5122
P,1549642893,5122
P,1549642924,5124
P,1549642953,5122
P,1549642982,5122
P,1549643012,5122
P,1549643041,5121
P,1549643070,5121
P,1549643099,5123
P,1549643129,5123
P,1549643158,5122
P,1549643187,5122
P,1549643218,5122
P,1549643247,5122
P,1549643276,5122
P,1549643305,5121
P,1549643335,5121
P,1549643364,5122
P,1549643393,5122
P,1549643423,5123
P,1549643452,5122
P,1549643481,5123
O,1549643488,296512,1917
O,1549643489,296708,69
O,1549643490,296728,123
O,1549643490,296731,82
O,1549643491,296723,94
O,1549643491,296726,192
O,1549643492,296695,97
O,1549643492,296699,103
O,1549643493,296685,83
O,1549643494,296654,124
O,1549643494,296646,111
O,1549643495,296644,120
O,1549643495,296673,98
O,1549643496,296654,92
O,1549643496,296678,115
O,1549643497,296638,95
O,1549643498,296655,99
O,1549643498,296668,116
O,1549643499,296663,74
O,1549643499,296662,80
O,1549643500,296640,139
O,1549643500,296647,87
O,1549643501,296659,76
O,1549643502,296624,93
O,1549643502,296664,99
O,1549643503,296657,95
O,1549643503,296679,83
O,1549643504,296668,68
O,1549643504,296679,90
O,1549643505,296677,118
O,1549643505,296698,91
O,1549643506,296686,97
O,1549643507,296654,104
O,1549643507,296730,107
O,1549643508,296714,87
O,1549643508,296715,75
O,1549643508,296730,94
O,1549643508,296755,122
O,1549643509,296796,169
O,1549643510,296853,140
O,1549643510,296860,132
P,1549643511,5114
O,1549643511,296816,136
O,1549643511,296790,146
O,1549643512,296767,87
O,1549643512,296812,117
O,1549643513,296821,115
O,1549643514,296802,104
O,1549643514,296816,120
O,1549643515,296841,129
O,1549643515,296793,122
O,1549643516,296825,129
O,1549643516,296770,109
O,1549643517,296786,87
O,1549643518,296782,112
O,1549643518,296768,100
O,1549643519,296901,172
O,1549643519,296867,63
O,1549643520,296878,172
O,1549643520,296804,108
O,1549643521,296840,95
O,1549643522,296800,198
O,1549643522,296722,66
O,1549643523,296717,59
O,1549643523,296676,148
O,1549643524,296637,134
O,1549643524,296661,123
O,1549643525,296625,136
O,1549643525,296682,109
O,1549643526,296724,141
O,1549643527,296746,152
O,1549643527,296651,109
O,1549643528,296722,122
O,1549643528,296654,91
O,1549643529,296620,80
O,1549643529,296668,72
O,1549643530,296619,284
O,1549643531,296457,335
O,1549643531,296478,224
O,1549643532,296618,108
O,1549643532,296477,331
O,1549643533,296453,167
O,1549643533,296560,259
O,1549643534,296586,139
O,1549643535,296753,178
O,1549643535,296733,90
O,1549643536,296794,130
O,1549643536,296800,138
O,1549643537,296763,110
O,1549643537,296763,124
O,1549643538,296803,95
O,1549643539,296801,91
O,1549643539,296818,106
O,1549643540,296804,94
O,1549643540,296858,134
P,1549643541,5112
O,1549643541,296878,150
O,1549643541,296916,100
O,1549643542,296918,90
O,1549643543,296936,121
O,1549643543,296977,146
O,1549643544,296957,70
O,1549643544,296939,74
T,1549643544,2790
P,1549643570,5122
P,1549643599,5122
P,1549643629,5122
P,1549643658,5122
P,1549643687,5122
P,1549643716,5122
P,1549643746,5122
P,1549643775,5122
P,1549643805,5122
P,1549643835,5122
P,1549643864,5121
P,1549643893,5122
P,1549643922,5123
P,1549643952,5122
P,1549643981,5121
P,1549644010,5120
P,1549644040,5122
P,1549644069,5122
P,1549644099,5122
P,1549644128,5122
P,1549644158,5122
P,1549644187,5122
P,1549644216,5123
P,1549644246,5122
P,1549644275,5123
P,1549644304,5123
P,1549644333,5121
P,1549644363,5123
P,1549644393,5122
P,1549644422,5122
P,1549644451,5122
P,1549644481,5123
P,1549644510,5122
P,1549644539,5122
