H,1550290109,318339
P,1550290109,5095
P,1550290139,5093
P,1550290168,5093
P,1550290198,5093
P,1550290228,5093
P,1550290257,5094
P,1550290286,5092
P,1550290316,5093
P,1550290345,5094
P,1550290374,5093
P,1550290403,5094
P,1550290434,5094
P,1550290463,5094
P,1550290492,5094
P,1550290522,5093
P,1550290551,5094
P,1550290580,5093
P,1550290609,5094
P,1550290639,5093
P,1550290668,5094
P,1550290697,5094
P,1550290727,5094
P,1550290757,5093
P,1550290786,5094
P,1550290815,5094
P,1550290845,5094
P,1550290874,5095
P,1550290903,5094
P,1550290932,5095
P,1550290962,5095
P,1550290991,5094
P,1550291021,5092
P,1550291051,5094
P,1550291080,5094
P,1550291109,5094
P,1550291138,5093
P,1550291168,5094
P,1550291197,5094
P,1550291226,5095
P,1550291256,5094
P,1550291285,5095
P,1550291315,5094
P,1550291344,5094
P,1550291374,5095
P,1550291403,5092
P,1550291432,5094
P,1550291462,5093
P,1550291491,5092
O,1550291511,292043,1881
O,1550291512,292232,194
O,1550291513,292247,92
O,1550291513,292261,95
O,1550291514,292275,128
O,1550291514,292306,82
O,1550291515,292300,58
O,1550291515,292305,84
O,1550291516,292308,96
O,1550291517,292318,98
O,1550291517,292321,99
O,1550291518,292348,69
O,1550291518,292364,119
O,1550291519,292374,57
O,1550291519,292413,108
O,1550291520,292411,103
P,1550291520,5084
O,1550291521,292429,49
O,1550291521,292427,76
O,1550291522,292429,111
O,1550291522,292416,94
O,1550291523,292432,87
O,1550291523,292423,112
O,1550291524,292405,36
O,1550291525,292436,75
O,1550291525,292444,141
O,1550291526,292430,149
O,1550291526,292457,93
O,1550291527,292440,126
O,1550291527,292466,126
O,1550291528,292462,121
O,1550291528,292476,70
O,1550291529,292497,81
O,1550291530,292496,150
O,1550291530,292505,150
O,1550291531,292489,90
O,1550291531,292505,111
O,1550291532,292519,71
O,1550291532,292531,81
O,1550291533,292518,56
O,1550291534,292529,110
O,1550291534,292539,123
O,1550291535,292546,101
O,1550291535,292548,71
O,1550291536,292562,105
O,1550291536,292573,138
O,1550291537,292559,113
O,1550291538,292553,81
O,1550291538,292566,117
O,1550291539,292564,121
O,1550291539,292559,109
O,1550291540,292591,101
O,1550291540,292569,131
O,1550291541,292562,87
O,1550291542,292572,83
O,1550291542,292573,128
O,1550291543,292573,77
O,1550291543,292581,74
O,1550291544,292582,66
O,1550291544,292600,116
O,1550291545,292579,56
O,1550291546,292602,85
O,1550291546,292596,75
O,1550291547,292594,73
O,1550291547,292606,125
O,1550291547,292596,79
O,1550291547,292614,83
O,1550291548,292594,79
O,1550291548,292600,102
O,1550291549,292604,98
P,1550291549,5084
O,1550291550,292627,100
O,1550291550,292610,138
O,1550291551,292619,79
O,1550291551,292614,92
O,1550291552,292604,103
O,1550291552,292610,101
O,1550291553,292620,64
O,1550291554,292617,75
O,1550291554,292625,67
O,1550291555,292626,129
O,1550291555,292613,105
O,1550291556,292635,90
O,1550291556,292622,83
O,1550291557,292640,82
O,1550291558,292653,95
O,1550291558,292649,117
O,1550291559,292656,86
O,1550291559,292659,68
O,1550291560,292660,110
O,1550291560,292675,120
O,1550291561,292680,83
O,1550291562,292675,135
O,1550291562,292683,118
O,1550291563,292679,119
O,1550291563,292695,95
O,1550291564,292695,66
O,1550291564,292685,83
O,1550291565,292721,123
O,1550291566,292711,98
O,1550291566,292716,63
O,1550291567,292726,104
O,1550291567,292748,85
T,1550291567,2712
P,1550291579,5094
P,1550291609,5093
P,1550291638,5093
P,1550291668,5094
P,1550291697,5094
P,1550291726,5094
P,1550291755,5095
P,1550291785,5095
P,1550291814,5092
P,1550291843,5094
P,1550291873,5094
P,1550291903,5093
P,1550291932,5093
P,1550291961,5095
P,1550291991,5094
P,1550292020,5096
P,1550292049,5094
P,1550292079,5093
P,1550292108,5094
P,1550292137,5095
P,1550292166,5095
P,1550292197,5095
P,1550292226,5094
P,1550292255,5094
P,1550292285,5094
P,1550292314,5094
P,1550292343,5094
P,1550292372,5093
P,1550292402,5095
P,1550292431,5095
P,1550292460,5094
P,1550292490,5095
P,1550292520,5094
P,1550292549,5094
P,1550292578,5094
P,1550292608,5094
P,1550292637,5091
P,1550292666,5094
P,1550292695,5095
P,1550292725,5095
P,1550292754,5094
P,1550292784,5094
P,1550292814,5094
P,1550292844,5094
P,1550292873,5094
P,1550292902,5095
P,1550292932,5094
P,1550292961,5096
P,1550292990,5095
P,1550293020,5094
P,1550293049,5095
P,1550293079,5095
P,1550293108,5094
