H,1550854170,318339
P,1550854170,5128
P,1550854200,5127
P,1550854229,5127
P,1550854259,5129
P,1550854288,5129
P,1550854317,5128
P,1550854347,5127
P,1550854376,5128
P,1550854405,5129
P,1550854434,5128
P,1550854464,5128
P,1550854494,5127
P,1550854523,5128
P,1550854553,5128
P,1550854582,5128
P,1550854611,5128
P,1550854640,5129
P,1550854670,5129
P,1550854699,5128
P,1550854728,5128
P,1550854758,5127
P,1550854788,5127
P,1550854817,5128
P,1550854846,5129
P,1550854876,5127
P,1550854905,5129
P,1550854934,5128
P,1550854964,5128
P,1550854993,5127
P,1550855022,5129
P,1550855051,5128
P,1550855082,5127
P,1550855111,5128
P,1550855140,5128
P,1550855170,5128
P,1550855199,5127
P,1550855228,5128
P,1550855257,5128
P,1550855287,5128
P,1550855316,5128
P,1550855345,5128
P,1550855376,5128
P,1550855405,5128
P,1550855434,5128
P,1550855463,5128
P,1550855493,5128
P,1550855522,5128
P,1550855551,5127
P,1550855581,5129
P,1550855610,5128
P,1550855639,5128
P,1550855669,5127
P,1550855699,5128
P,1550855728,5127
P,1550855757,5128
P,1550855786,5128
P,1550855816,5128
P,1550855845,5128
O,1550855851,297357,1942
O,1550855851,297620,186
O,1550855852,297652,159
O,1550855853,297680,147
O,1550855853,297742,97
O,1550855854,297772,149
O,1550855854,297847,139
O,1550855855,297889,141
O,1550855855,297934,78
O,1550855856,297978,81
O,1550855857,298038,143
O,1550855857,298175,193
O,1550855858,298284,174
O,1550855858,298323,109
O,1550855859,298254,161
O,1550855859,298542,275
O,1550855860,298562,125
O,1550855861,298721,518
O,1550855861,298666,435
O,1550855862,298544,147
O,1550855862,298678,231
O,1550855863,298750,104
O,1550855863,298825,111
O,1550855864,298907,202
O,1550855865,299010,145
O,1550855865,299087,129
O,1550855866,299158,170
O,1550855866,299228,149
O,1550855867,299306,154
O,1550855867,299385,210
O,1550855868,299407,186
O,1550855868,299348,141
O,1550855868,299442,121
O,1550855869,299255,312
O,1550855869,299222,144
O,1550855870,299057,205
O,1550855870,298901,174
O,1550855871,298771,133
O,1550855871,298803,122
O,1550855872,298704,158
O,1550855873,298670,121
O,1550855873,298685,166
O,1550855874,298658,192
P,1550855874,5122
O,1550855874,298531,132
O,1550855875,298630,242
O,1550855875,297905,593
O,1550855876,298208,259
O,1550855877,298365,181
O,1550855877,298359,150
O,1550855878,298521,324
O,1550855878,298657,116
O,1550855879,298678,267
O,1550855879,298281,634
O,1550855880,298551,446
O,1550855881,298134,1004
O,1550855881,297915,576
O,1550855882,298047,576
O,1550855882,298277,531
O,1550855883,297612,1197
O,1550855883,297819,269
O,1550855884,297687,195
O,1550855885,297655,116
O,1550855885,297685,90
O,1550855886,297598,203
O,1550855886,297221,894
O,1550855887,297069,761
O,1550855887,297225,670
O,1550855888,296543,1828
O,1550855889,296335,1284
O,1550855889,297355,306
O,1550855890,297249,367
O,1550855890,297477,279
O,1550855891,297424,208
O,1550855891,297349,309
O,1550855892,297269,186
O,1550855893,297312,277
O,1550855893,297346,445
O,1550855894,297221,202
O,1550855894,297326,276
O,1550855895,297393,242
O,1550855895,297529,328
O,1550855896,297114,735
O,1550855896,297131,1450
O,1550855897,296996,978
O,1550855898,296325,1098
O,1550855898,297493,1238
O,1550855899,297033,659
O,1550855899,296840,467
O,1550855900,296714,1752
O,1550855900,297077,608
O,1550855901,297378,210
O,1550855902,297529,493
O,1550855902,297256,687
O,1550855903,297208,484
O,1550855903,296757,601
O,1550855904,296613,924
P,1550855904,5120
O,1550855904,297092,1104
O,1550855905,296721,1358
O,1550855906,296589,891
O,1550855906,296598,476
O,1550855907,296421,1039
T,1550855907,2843
P,1550855933,5128
P,1550855963,5126
P,1550855992,5128
P,1550856022,5127
P,1550856051,5127
P,1550856080,5128
P,1550856110,5128
P,1550856139,5126
P,1550856168,5126
P,1550856197,5128
P,1550856227,5128
P,1550856257,5125
P,1550856286,5127
P,1550856316,5127
P,1550856345,5128
P,1550856374,5128
P,1550856403,5127
P,1550856433,5128
P,1550856462,5128
P,1550856491,5128
P,1550856521,5128
P,1550856552,5129
P,1550856581,5129
P,1550856610,5126
P,1550856640,5128
P,1550856669,5127
P,1550856698,5127
P,1550856728,5127
P,1550856757,5128
P,1550856786,5128
P,1550856815,5128
P,1550856846,5128
P,1550856875,5127
P,1550856904,5129
P,1550856934,5128
P,1550856963,5127
P,1550856992,5127
P,1550857021,5128
P,1550857051,5128
P,1550857080,5129
P,1550857109,5128
