H,1553275504,261985
D,1553275504,387328
D,1553275506,387840
D,1553275508,387072
D,1553275510,387840
D,1553275512,388096
D,1553275514,386816
P,1553275515,5394
D,1553275516,386816
D,1553275518,387328
D,1553275521,387584
D,1553275523,388096
D,1553275525,387328
D,1553275527,387584
D,1553275529,389120
D,1553275532,387584
D,1553275534,387328
D,1553275536,387328
D,1553275538,387328
D,1553275540,386816
D,1553275543,387328
P,1553275545,5420
D,1553275545,387840
D,1553275547,387328
D,1553275549,387328
D,1553275550,387328
D,1553275553,387840
D,1553275555,386816
D,1553275557,387328
D,1553275559,387584
D,1553275561,388096
D,1553275564,387328
D,1553275566,388096
D,1553275568,387328
D,1553275570,387584
D,1553275572,387328
P,1553275574,5420
D,1553275575,387072
D,1553275577,387840
D,1553275579,384000
D,1553275581,390144
D,1553275583,378880
D,1553275586,390400
D,1553275588,387328
D,1553275590,387328
D,1553275591,388864
D,1553275593,387840
D,1553275596,387328
D,1553275598,385024
D,1553275600,387328
D,1553275602,387840
P,1553275603,5420
D,1553275604,386816
D,1553275607,387840
D,1553275609,387840
D,1553275611,387840
D,1553275613,386816
D,1553275615,387840
D,1553275618,387328
D,1553275620,388096
D,1553275622,387840
D,1553275624,387584
D,1553275626,387584
D,1553275629,388096
D,1553275631,387328
P,1553275632,5420
D,1553275632,387840
R,1553275632,000000000
X,1553275634,582382,4419
X,1553275634,582717,800
X,1553275635,582774,819
X,1553275636,582844,7505
X,1553275636,582754,1044
X,1553275637,582786,1065
X,1553275637,582766,620
X,1553275638,582705,1186
X,1553275638,582720,781
X,1553275639,582663,770
X,1553275640,582576,712
X,1553275640,582826,1379
X,1553275641,582771,776
X,1553275641,582663,874
X,1553275642,582934,907
X,1553275642,582905,538
X,1553275643,583047,581
X,1553275644,583146,1737
X,1553275644,582910,2570
X,1553275645,583134,809
X,1553275645,583170,692
X,1553275646,583068,741
X,1553275646,583137,1109
X,1553275647,583188,1285
X,1553275648,583194,455
X,1553275648,583142,1086
X,1553275649,583269,800
X,1553275649,583261,411
X,1553275650,583277,938
X,1553275650,583550,2322
X,1553275651,583300,1390
X,1553275651,583305,766
X,1553275652,583362,1142
X,1553275653,583373,722
A,1553275653,582979,797
T,1553275653,2891
U,1553275653,0
X,1553275655,583433,402
X,1553275655,583472,518
X,1553275656,583435,545
X,1553275657,583484,429
X,1553275657,583613,525
X,1553275658,583613,429
X,1553275658,583644,6692
X,1553275659,583779,8140
X,1553275659,583638,4484
X,1553275660,583567,4843
X,1553275660,583748,2921
X,1553275661,583567,4015
X,1553275662,583611,6686
P,1553275662,5412
X,1553275662,583942,7686
X,1553275663,583702,6769
X,1553275663,584070,6042
X,1553275664,583612,4008
X,1553275664,583832,5913
X,1553275665,583756,1533
X,1553275666,583896,5184
X,1553275666,583790,756
X,1553275667,583793,753
X,1553275667,583802,526
X,1553275668,583767,381
X,1553275668,583739,661
X,1553275669,583746,386
X,1553275670,583756,877
X,1553275670,583756,468
X,1553275671,583760,555
X,1553275671,583775,1278
X,1553275672,583714,519
X,1553275672,583704,589
X,1553275672,583712,886
X,1553275673,583700,669
X,1553275673,583701,667
A,1553275673,583674,369
T,1553275673,2891
U,1553275674,0
X,1553275675,583662,879
X,1553275676,583645,418
X,1553275676,583635,675
X,1553275677,583715,11150
X,1553275678,583585,774
X,1553275678,583715,514
X,1553275679,583693,786
X,1553275679,583627,3211
X,1553275680,583606,5420
X,1553275680,583576,2332
X,1553275681,583624,668
X,1553275682,583635,1061
X,1553275682,583706,2438
X,1553275683,583629,512
X,1553275683,583606,2567
X,1553275684,583312,3114
X,1553275684,583661,743
X,1553275685,583644,576
X,1553275686,583595,729
X,1553275686,583621,967
X,1553275687,583655,591
X,1553275687,583598,775
X,1553275688,583603,2051
X,1553275688,583638,815
X,1553275689,583627,941
X,1553275689,583611,1020
X,1553275690,583566,503
X,1553275691,583629,726
P,1553275691,5411
X,1553275691,583578,896
X,1553275692,583610,564
A,1553275692,583630,149
T,1553275692,2891
U,1553275692,0
X,1553275694,583747,2746
X,1553275694,583327,4065
X,1553275695,583625,1832
X,1553275696,583626,749
X,1553275696,583619,1063
X,1553275697,583604,1131
X,1553275697,583595,582
X,1553275698,583610,891
X,1553275698,583608,942
X,1553275699,583537,712
X,1553275700,583631,645
X,1553275700,583638,429
X,1553275701,583516,329
X,1553275701,583571,703
X,1553275702,583602,532
X,1553275702,583534,719
X,1553275703,583528,1357
X,1553275704,583441,4931
