H,1553385842,261985
P,1553385842,5341
X,1553385842,715128,830
X,1553385843,715259,490
X,1553385843,715214,654
X,1553385844,715051,677
X,1553385844,715115,778
X,1553385845,715165,1114
X,1553385845,715203,636
X,1553385846,715165,449
X,1553385847,715275,884
X,1553385847,715167,807
X,1553385848,715232,658
X,1553385848,715230,495
X,1553385849,715096,691
X,1553385849,715298,958
X,1553385850,715250,1017
X,1553385850,715247,407
X,1553385851,715264,251
X,1553385852,715170,1308
X,1553385852,715356,604
X,1553385853,715266,1217
X,1553385853,715345,556
X,1553385854,715286,449
A,1553385854,715213,305
T,1553385854,2777
R,1553385854,700D9DFB6
X,1553385856,715302,737
X,1553385856,715286,436
X,1553385857,715176,724
X,1553385858,715376,546
X,1553385858,715342,680
X,1553385859,715344,892
X,1553385859,715353,492
X,1553385860,715248,680
X,1553385860,715384,538
X,1553385861,715389,997
X,1553385862,715352,724
X,1553385862,715346,427
X,1553385863,715228,1048
X,1553385863,715341,517
X,1553385864,715331,2189
X,1553385864,715341,443
X,1553385865,715292,456
X,1553385866,715259,718
X,1553385866,715347,410
X,1553385867,715380,2150
X,1553385867,715425,547
X,1553385868,715383,467
X,1553385868,715473,768
A,1553385868,715337,297
T,1553385868,2777
R,1553385868,700D9DFB6
X,1553385869,715421,931
X,1553385870,715499,1295
X,1553385870,715506,424
P,1553385871,5340
X,1553385871,715516,690
X,1553385872,715542,498
X,1553385872,715390,626
X,1553385873,715590,545
X,1553385873,715580,2548
X,1553385874,715398,1939
X,1553385874,715474,1003
X,1553385875,715445,1311
X,1553385876,715489,509
X,1553385876,715524,944
X,1553385877,715504,589
X,1553385877,715308,531
X,1553385878,715505,1076
X,1553385878,715466,1103
X,1553385879,715465,478
X,1553385880,715469,554
X,1553385880,715343,1835
X,1553385881,715443,505
X,1553385881,715456,1208
X,1553385882,715437,523
X,1553385882,715349,1144
X,1553385883,715455,781
X,1553385884,715509,1577
X,1553385884,715462,500
X,1553385885,715488,477
X,1553385885,715358,726
X,1553385886,715504,772
X,1553385886,715474,1121
X,1553385887,715459,565
A,1553385887,715466,282
T,1553385887,2777
X,1553385889,715488,1487
X,1553385889,715479,719
X,1553385890,715254,854
X,1553385891,715543,876
X,1553385891,715498,1267
X,1553385892,715455,629
X,1553385892,715439,523
X,1553385893,715334,833
X,1553385893,715493,685
X,1553385894,715492,1213
X,1553385895,715498,720
X,1553385895,715423,425
X,1553385896,715349,889
X,1553385896,715449,653
X,1553385897,715474,683
X,1553385897,715469,580
X,1553385898,715385,404
X,1553385899,715469,557
X,1553385899,715432,938
X,1553385900,715441,694
X,1553385900,715428,367
X,1553385901,715340,606
P,1553385901,5338
X,1553385901,715454,872
A,1553385901,715430,289
T,1553385902,2777
R,1553385902,700D9DFB6
X,1553385903,715307,1111
X,1553385904,715356,750
X,1553385905,715390,1486
X,1553385905,715400,786
X,1553385906,715396,543
X,1553385906,715259,2527
X,1553385907,715393,772
X,1553385907,715354,1721
X,1553385908,715349,551
X,1553385908,715178,1189
X,1553385909,715343,724
X,1553385909,715383,1363
X,1553385909,715318,441
X,1553385910,715209,1267
X,1553385910,715435,1071
X,1553385911,715282,1252
X,1553385911,715280,396
X,1553385912,715074,1516
X,1553385913,715275,2230
X,1553385913,715262,975
X,1553385914,715260,381
X,1553385914,715181,1034
X,1553385915,715431,2099
X,1553385915,715289,2139
X,1553385916,715231,552
X,1553385917,715144,938
X,1553385917,715421,1698
X,1553385918,715250,1303
X,1553385918,715170,694
X,1553385919,715225,735
X,1553385919,715301,2872
X,1553385920,715216,1310
X,1553385921,715143,602
X,1553385921,715173,560
X,1553385922,715115,1645
X,1553385922,715178,638
X,1553385923,715215,1858
X,1553385923,715155,356
X,1553385924,715068,1902
X,1553385925,715153,888
X,1553385925,715145,1073
X,1553385926,715124,514
A,1553385926,715252,276
T,1553385926,2777
X,1553385928,715060,598
X,1553385928,715105,680
X,1553385929,715142,2532
X,1553385929,715063,1292
X,1553385930,715047,469
P,1553385930,5340
X,1553385930,715020,957
X,1553385931,715240,1749
X,1553385932,715064,2691
X,1553385932,715054,511
X,1553385933,715048,551
X,1553385933,715028,1634
X,1553385934,714983,1212
X,1553385934,715028,860
X,1553385935,715027,419
