H,1554049903,261985
X,1554049903,569292,10357
X,1554049904,568830,23464
X,1554049905,568990,2030
X,1554049905,569025,18247
X,1554049906,568890,24664
X,1554049906,567908,10905
X,1554049907,568398,3415
X,1554049907,568893,4384
X,1554049908,568873,1684
X,1554049909,569037,11412
X,1554049909,569875,14522
X,1554049910,569199,21095
X,1554049910,567999,3663
X,1554049911,568277,4715
X,1554049911,568375,7536
P,1554049912,5257
X,1554049912,568965,6982
X,1554049912,569624,2516
X,1554049913,568201,16440
X,1554049914,569683,14788
X,1554049914,569066,14536
X,1554049915,569026,17256
X,1554049915,569254,17581
X,1554049916,569364,10788
X,1554049916,569645,7964
X,1554049917,569565,6437
X,1554049918,570163,2879
X,1554049918,569359,4341
X,1554049919,570206,18186
X,1554049919,569299,3091
X,1554049920,569459,3510
X,1554049920,568272,10095
X,1554049921,570136,16872
X,1554049922,569230,32310
X,1554049922,569603,20244
X,1554049922,569858,1895
X,1554049922,570102,13704
X,1554049923,569907,18680
X,1554049923,571014,17444
X,1554049924,569959,21012
X,1554049925,570392,5083
X,1554049925,570440,4238
X,1554049926,570590,2776
X,1554049926,570399,4362
X,1554049927,570279,25147
X,1554049927,569938,4595
X,1554049928,571332,3230
X,1554049929,571452,6044
X,1554049929,571168,10011
X,1554049930,570485,11018
X,1554049930,571005,1065
X,1554049931,570526,13507
X,1554049931,570539,11528
X,1554049932,570516,14472
X,1554049933,570395,14662
X,1554049933,569119,8983
X,1554049934,568514,3342
X,1554049934,568876,4218
X,1554049935,569477,2977
X,1554049935,569714,5248
X,1554049936,570084,13394
X,1554049936,570239,1020
X,1554049937,571117,11161
X,1554049938,570098,2111
X,1554049938,568919,7884
X,1554049939,569314,11288
X,1554049939,568887,5136
X,1554049940,569504,5056
X,1554049940,569597,2436
P,1554049941,5266
X,1554049941,570180,1167
X,1554049942,570527,3316
X,1554049942,570676,6034
X,1554049943,570089,8964
X,1554049943,570090,13455
X,1554049944,570524,9061
X,1554049944,570662,9530
X,1554049945,569259,11976
X,1554049946,572097,15128
X,1554049946,569058,12217
X,1554049947,569773,12872
X,1554049947,569441,13643
X,1554049948,568300,10545
X,1554049948,570040,13938
X,1554049949,570082,1952
X,1554049950,570308,6039
X,1554049950,566714,17450
X,1554049951,567930,10869
X,1554049951,569986,18653
X,1554049952,569488,13024
X,1554049952,568613,7515
X,1554049953,570622,10892
X,1554049954,568317,8753
X,1554049954,570654,10626
X,1554049955,568439,14211
X,1554049955,570612,9529
X,1554049956,569499,21587
X,1554049956,566951,11406
X,1554049957,567584,10485
X,1554049958,568110,12650
X,1554049958,568852,16315
X,1554049959,567995,15314
X,1554049959,568266,12106
X,1554049960,568206,8842
X,1554049960,568389,12677
X,1554049961,569539,4624
X,1554049961,570053,2235
X,1554049962,569304,15428
X,1554049963,569663,5267
X,1554049963,569270,10681
X,1554049963,568077,3073
X,1554049963,566479,9305
X,1554049964,565108,29654
X,1554049964,569361,5026
X,1554049965,570218,9341
X,1554049966,570549,2926
X,1554049966,570683,2753
X,1554049967,571616,3727
X,1554049967,569259,4067
X,1554049968,569972,4975
X,1554049968,569733,10242
X,1554049969,569081,6288
X,1554049970,569290,12758
P,1554049970,5267
X,1554049970,570083,2946
X,1554049971,570309,2916
X,1554049971,570433,2787
X,1554049972,570517,1703
X,1554049972,570146,1601
X,1554049973,570040,1920
X,1554049974,568997,3325
X,1554049974,567988,3507
X,1554049975,568208,5512
X,1554049975,568864,4524
X,1554049976,569653,2454
X,1554049976,569423,2280
X,1554049977,569177,2423
X,1554049978,569593,2684
X,1554049978,569805,2512
X,1554049979,570248,7248
X,1554049979,569838,22091
X,1554049980,568483,9223
X,1554049980,569465,3320
X,1554049981,569035,5830
X,1554049981,570148,3341
X,1554049982,569892,2789
X,1554049983,568544,2080
X,1554049983,568372,4011
X,1554049984,567964,3720
X,1554049984,568539,3600
X,1554049985,567680,920
X,1554049985,568809,14618
X,1554049986,568157,28289
X,1554049987,570149,29764
X,1554049987,570848,43863
X,1554049988,568601,30056
X,1554049988,569485,27205
X,1554049989,569847,6144
X,1554049989,570218,2945
X,1554049990,568947,14647
X,1554049991,568861,25196
X,1554049991,568435,2825
X,1554049992,569194,7745
X,1554049992,569739,15434
X,1554049993,569664,24248
X,1554049993,568155,36071
X,1554049994,568772,35404
X,1554049995,569974,25700
X,1554049995,569624,31135
X,1554049996,569881,24333
X,1554049996,570014,6509
