H,1554075103,261985
P,1554075103,5253
P,1554075132,5254
P,1554075161,5255
P,1554075191,5254
P,1554075221,5253
P,1554075250,5255
P,1554075279,5256
P,1554075309,5254
P,1554075338,5253
P,1554075367,5254
P,1554075396,5253
P,1554075426,5255
P,1554075455,5254
P,1554075485,5255
P,1554075515,5255
P,1554075544,5254
P,1554075573,5255
P,1554075602,5253
P,1554075632,5253
P,1554075661,5253
P,1554075690,5254
P,1554075720,5257
P,1554075749,5255
P,1554075779,5256
P,1554075808,5255
P,1554075838,5254
P,1554075867,5254
P,1554075896,5255
P,1554075926,5256
P,1554075955,5253
P,1554075984,5255
P,1554076013,5254
P,1554076043,5254
P,1554076073,5254
P,1554076102,5255
P,1554076131,5247
P,1554076161,5255
P,1554076190,5255
P,1554076219,5254
P,1554076249,5255
P,1554076278,5254
P,1554076307,5255
P,1554076336,5255
P,1554076367,5253
P,1554076396,5254
P,1554076425,5254
P,1554076455,5255
P,1554076484,5254
P,1554076513,5255
P,1554076542,5254
P,1554076572,5255
P,1554076601,5253
P,1554076630,5255
P,1554076661,5254
P,1554076690,5254
P,1554076719,5255
P,1554076748,5256
P,1554076778,5254
P,1554076807,5255
P,1554076836,5253
P,1554076866,5254
P,1554076895,5255
P,1554076924,5255
P,1554076954,5254
P,1554076984,5254
P,1554077013,5255
O,1554077015,285000,1837
O,1554077016,285164,164
O,1554077016,285156,117
O,1554077017,285157,116
O,1554077017,285139,69
O,1554077018,285159,111
O,1554077018,285153,89
O,1554077019,285153,99
O,1554077020,285147,98
O,1554077020,285116,135
O,1554077021,285125,125
O,1554077021,285131,133
O,1554077022,285121,117
O,1554077022,285103,128
O,1554077023,285112,73
O,1554077024,285098,141
O,1554077024,285108,107
O,1554077025,285081,149
O,1554077025,285090,67
O,1554077026,285084,109
O,1554077026,285071,135
O,1554077027,285050,114
O,1554077028,285065,79
O,1554077028,285095,90
O,1554077029,285075,71
O,1554077029,285060,75
O,1554077030,285057,87
O,1554077030,285048,91
O,1554077031,285054,65
O,1554077032,285040,126
O,1554077032,285053,69
O,1554077033,285055,134
O,1554077033,285041,113
O,1554077033,285014,78
O,1554077033,285032,62
O,1554077034,285035,106
O,1554077034,285038,69
O,1554077035,285035,101
O,1554077036,285040,96
O,1554077036,285028,94
O,1554077037,285030,144
O,1554077037,285026,136
O,1554077038,284992,93
O,1554077038,285026,89
O,1554077039,285020,114
O,1554077040,285002,48
O,1554077040,285003,113
O,1554077041,285013,80
O,1554077041,285031,164
P,1554077042,5246
O,1554077042,284998,62
O,1554077042,284960,75
O,1554077043,284976,51
O,1554077044,284970,96
O,1554077044,284968,86
O,1554077045,284950,110
O,1554077045,284935,122
O,1554077046,284942,66
O,1554077046,284922,66
O,1554077047,284898,76
O,1554077048,284891,82
O,1554077048,284904,131
O,1554077049,284888,163
O,1554077049,284894,135
O,1554077050,284901,122
O,1554077050,284882,77
O,1554077051,284878,103
O,1554077052,284876,81
O,1554077052,284861,81
O,1554077053,284859,87
O,1554077053,284887,85
O,1554077054,284851,104
O,1554077054,284860,145
O,1554077055,284848,49
O,1554077055,284853,138
O,1554077056,284846,86
O,1554077057,284836,110
O,1554077057,284822,91
O,1554077058,284819,114
O,1554077058,284814,100
O,1554077059,284809,163
O,1554077059,284801,94
O,1554077060,284808,90
O,1554077061,284798,83
O,1554077061,284772,112
O,1554077062,284782,90
O,1554077062,284792,103
O,1554077063,284786,85
O,1554077063,284776,93
O,1554077064,284770,129
O,1554077065,284757,65
O,1554077065,284749,112
O,1554077066,284752,128
O,1554077066,284732,125
O,1554077067,284747,135
O,1554077067,284759,123
O,1554077068,284747,75
O,1554077069,284721,115
O,1554077069,284704,86
O,1554077070,284705,92
O,1554077070,284713,69
O,1554077071,284711,107
T,1554077071,2782
P,1554077072,5254
P,1554077101,5255
P,1554077130,5255
P,1554077159,5255
P,1554077189,5255
P,1554077218,5253
P,1554077248,5253
P,1554077278,5255
P,1554077307,5255
P,1554077336,5254
P,1554077365,5254
P,1554077395,5253
P,1554077425,5254
P,1554077454,5255
P,1554077484,5253
P,1554077513,5254
P,1554077543,5254
P,1554077572,5255
P,1554077602,5255
P,1554077631,5255
P,1554077660,5255
P,1554077690,5253
P,1554077719,5255
P,1554077748,5255
P,1554077777,5254
P,1554077807,5254
P,1554077837,5255
P,1554077866,5254
P,1554077895,5254
P,1554077925,5254
P,1554077954,5255
P,1554077983,5253
P,1554078013,5254
P,1554078042,5254
