H,1554573378,261985
D,1554573378,374016
R,1554573379,000000000
X,1554573380,548565,40759
X,1554573381,549216,32257
X,1554573381,548929,35074
X,1554573382,547015,7409
X,1554573383,547661,39634
X,1554573383,548551,43753
X,1554573384,548602,4058
X,1554573384,549315,50132
X,1554573385,549817,5316
X,1554573385,549532,5823
X,1554573386,548118,19322
X,1554573387,551487,20433
X,1554573387,550337,3995
X,1554573388,550424,5553
X,1554573388,550342,7411
X,1554573389,550296,2060
X,1554573389,550319,5878
X,1554573390,550215,2695
X,1554573390,550412,6999
X,1554573391,550205,6651
X,1554573392,549992,2481
X,1554573392,550487,3201
X,1554573393,550262,6976
X,1554573393,550190,3159
X,1554573394,550135,2128
X,1554573394,550191,5138
X,1554573395,550021,1639
X,1554573395,550188,3414
X,1554573395,550308,1770
P,1554573396,5218
X,1554573396,550183,2469
X,1554573396,550344,4864
X,1554573397,550197,2291
X,1554573397,550276,2284
X,1554573398,549990,2270
X,1554573399,550311,4826
X,1554573399,550381,4284
X,1554573400,550601,7674
X,1554573400,550484,8673
X,1554573401,550354,3720
X,1554573401,550580,8994
X,1554573402,550083,12117
X,1554573403,550603,12569
X,1554573403,550476,3286
X,1554573404,551214,2091
X,1554573404,551263,8238
X,1554573405,551099,11977
X,1554573405,551040,5967
X,1554573406,551176,6441
X,1554573407,551149,4200
X,1554573407,551233,4670
X,1554573408,551257,1134
X,1554573408,550757,5363
X,1554573409,552653,7275
X,1554573409,551894,17141
X,1554573410,551461,13045
X,1554573411,551729,14201
X,1554573411,551241,4153
X,1554573412,551403,3567
X,1554573412,551748,7351
X,1554573413,551386,2946
X,1554573413,552049,4637
X,1554573414,551150,8799
X,1554573414,551696,4797
X,1554573415,551564,2254
X,1554573416,551360,8397
X,1554573416,425791,32590
X,1554573417,283695,1907
X,1554573417,283339,649
X,1554573418,283244,191
X,1554573418,283192,119
X,1554573419,283104,92
X,1554573420,283092,105
X,1554573420,283007,146
X,1554573421,282953,117
X,1554573421,282894,152
X,1554573422,282837,94
X,1554573422,282807,79
O,1554573423,282810,146
O,1554573424,282775,118
O,1554573424,282802,95
O,1554573425,282793,100
O,1554573425,282777,166
P,1554573426,5217
O,1554573426,282779,109
O,1554573426,282780,130
O,1554573427,282731,81
O,1554573428,282731,152
O,1554573428,282724,125
O,1554573429,282772,127
O,1554573429,282792,78
O,1554573430,282771,77
O,1554573430,282744,106
O,1554573431,282789,80
O,1554573432,282745,161
O,1554573432,282698,143
O,1554573433,282756,102
O,1554573433,282721,127
O,1554573434,282737,166
O,1554573434,282732,138
O,1554573435,282714,122
O,1554573436,282672,134
O,1554573436,282693,83
O,1554573436,282708,71
O,1554573436,282673,67
O,1554573437,282715,117
O,1554573437,282683,94
O,1554573438,282706,110
O,1554573438,282689,154
O,1554573439,282710,117
O,1554573440,282709,116
O,1554573440,282725,234
O,1554573441,282714,65
O,1554573441,282719,69
O,1554573442,282735,74
O,1554573442,282728,93
O,1554573443,282701,55
O,1554573444,282693,134
O,1554573444,282727,86
O,1554573445,282727,91
O,1554573445,282751,94
O,1554573446,282700,110
O,1554573446,282716,102
O,1554573447,282726,159
O,1554573448,282732,160
O,1554573448,282753,77
O,1554573449,282786,103
O,1554573449,282746,174
O,1554573450,282750,79
O,1554573450,282754,77
O,1554573451,282722,118
O,1554573452,282736,97
O,1554573452,282720,105
O,1554573453,282734,66
O,1554573453,282753,81
O,1554573454,282699,91
O,1554573454,474033,55076
T,1554573455,2850
P,1554573455,5225
D,1554573456,372224
D,1554573458,379392
D,1554573460,382208
D,1554573462,363520
D,1554573465,361216
D,1554573467,362496
D,1554573469,362496
D,1554573471,363776
D,1554573473,362496
D,1554573476,362496
D,1554573477,363520
D,1554573479,363520
D,1554573481,360448
D,1554573483,363776
P,1554573484,5225
D,1554573486,363776
D,1554573488,358400
P,1554573514,5226
P,1554573543,5224
P,1554573572,5226
P,1554573601,5225
P,1554573631,5226
P,1554573661,5224
P,1554573690,5225
P,1554573720,5226
P,1554573749,5226
P,1554573778,5226
P,1554573807,5226
P,1554573837,5225
P,1554573866,5226
P,1554573895,5225
P,1554573925,5225
P,1554573955,5225
P,1554573984,5226
P,1554574013,5227
P,1554574043,5226
P,1554574072,5226
P,1554574101,5226
P,1554574131,5226
P,1554574160,5226
P,1554574189,5225
P,1554574218,5225
P,1554574249,5226
P,1554574278,5225
P,1554574307,5226
P,1554574337,5224
