H,1554791552,261985
P,1554791552,5196
P,1554791581,5197
P,1554791611,5197
P,1554791640,5197
P,1554791669,5196
P,1554791699,5196
P,1554791729,5197
P,1554791758,5197
P,1554791787,5197
P,1554791817,5197
P,1554791846,5197
P,1554791875,5195
P,1554791904,5196
P,1554791934,5197
P,1554791963,5197
P,1554791993,5197
P,1554792023,5196
P,1554792052,5196
P,1554792081,5197
P,1554792110,5198
P,1554792140,5197
P,1554792169,5196
P,1554792198,5196
P,1554792228,5197
P,1554792257,5196
P,1554792287,5198
P,1554792316,5197
P,1554792346,5197
P,1554792375,5197
P,1554792404,5197
P,1554792433,5197
P,1554792463,5197
P,1554792492,5198
P,1554792521,5196
P,1554792551,5197
P,1554792581,5197
P,1554792610,5197
P,1554792639,5198
P,1554792669,5197
P,1554792698,5198
P,1554792727,5197
O,1554792735,281548,48260
O,1554792735,286359,336
O,1554792736,285846,897
O,1554792736,285765,412
O,1554792737,286058,166
O,1554792738,286030,294
O,1554792738,285825,346
O,1554792739,285666,321
O,1554792739,285353,332
O,1554792740,285328,773
O,1554792740,285796,625
O,1554792741,285388,545
O,1554792742,285658,318
O,1554792742,286068,281
O,1554792743,286124,285
O,1554792743,285968,314
O,1554792744,285808,323
O,1554792744,285639,343
O,1554792745,285614,278
O,1554792746,285366,227
O,1554792746,285250,384
O,1554792747,285575,176
O,1554792747,285742,432
O,1554792748,285930,431
O,1554792748,285781,379
O,1554792749,285811,268
O,1554792750,285638,354
O,1554792750,285883,272
O,1554792751,285968,230
O,1554792751,286014,253
O,1554792752,286071,308
O,1554792752,286059,145
O,1554792753,285826,395
O,1554792753,285817,591
O,1554792754,285485,211
O,1554792755,285471,252
O,1554792755,285421,279
O,1554792756,285407,373
O,1554792756,285113,335
O,1554792757,285116,270
P,1554792757,5191
O,1554792757,285174,601
O,1554792758,284853,215
O,1554792759,284841,207
O,1554792759,284995,284
O,1554792760,285037,386
O,1554792760,285047,304
O,1554792761,285077,437
O,1554792761,285211,143
O,1554792761,285369,281
O,1554792762,285353,359
O,1554792762,285168,645
O,1554792763,284671,247
O,1554792763,284658,152
O,1554792764,284509,265
O,1554792764,284341,269
O,1554792765,284430,247
O,1554792766,284386,275
O,1554792766,284714,323
O,1554792767,284990,436
O,1554792767,285026,408
O,1554792768,284791,162
O,1554792768,284698,403
O,1554792769,284597,368
O,1554792770,284695,234
O,1554792770,284773,313
O,1554792771,284828,313
O,1554792771,284801,197
O,1554792772,284535,280
O,1554792772,284426,269
O,1554792773,284628,243
O,1554792774,284573,199
O,1554792774,284662,332
O,1554792775,284681,416
O,1554792775,284847,279
O,1554792776,284780,362
O,1554792776,284866,194
O,1554792777,284953,323
O,1554792777,285115,582
O,1554792778,285515,736
O,1554792779,285772,352
O,1554792779,285520,384
O,1554792780,285681,312
O,1554792780,285827,237
O,1554792781,285739,239
O,1554792781,285524,518
O,1554792782,285462,373
O,1554792783,285308,376
O,1554792783,285253,311
O,1554792784,285385,364
O,1554792784,285412,239
O,1554792785,285556,373
O,1554792785,285256,689
O,1554792786,284894,427
P,1554792786,5189
O,1554792787,284802,368
O,1554792787,284738,301
O,1554792788,284925,146
O,1554792788,284815,250
O,1554792789,284823,228
O,1554792789,284831,296
O,1554792790,284728,281
O,1554792791,284726,272
T,1554792791,2792
P,1554792815,5197
P,1554792844,5198
P,1554792875,5197
P,1554792904,5197
P,1554792933,5199
P,1554792963,5197
P,1554792992,5198
P,1554793021,5197
P,1554793050,5197
P,1554793080,5197
P,1554793109,5198
P,1554793138,5197
P,1554793169,5198
P,1554793198,5198
P,1554793227,5198
P,1554793257,5197
P,1554793287,5196
P,1554793316,5198
P,1554793345,5198
P,1554793375,5198
P,1554793404,5197
P,1554793433,5198
P,1554793463,5197
P,1554793493,5197
P,1554793522,5198
P,1554793551,5197
P,1554793581,5198
P,1554793610,5199
P,1554793639,5198
P,1554793668,5198
P,1554793698,5198
P,1554793727,5198
P,1554793757,5198
P,1554793787,5198
P,1554793816,5198
P,1554793845,5198
P,1554793874,5198
P,1554793904,5198
P,1554793933,5199
P,1554793962,5198
P,1554793992,5198
P,1554794021,5198
P,1554794051,5200
P,1554794080,5198
P,1554794110,5198
P,1554794139,5200
P,1554794168,5199
P,1554794197,5199
P,1554794227,5199
P,1554794256,5198
P,1554794285,5199
P,1554794315,5197
P,1554794345,5199
P,1554794374,5199
P,1554794403,5199
P,1554794433,5198
P,1554794462,5198
P,1554794491,5198
