H,1551983113,337272
A,1551983113,714306,262
T,1551983114,2819
R,1551983114,700D98F55
X,1551983115,714434,2075
X,1551983116,712691,26433
X,1551983116,714581,21853
X,1551983117,714400,2670
X,1551983117,714575,2716
X,1551983117,714464,903
X,1551983118,714492,532
X,1551983118,714338,2120
X,1551983119,714534,1646
X,1551983119,714329,1188
X,1551983120,714353,1503
X,1551983121,714360,724
X,1551983121,714471,1716
X,1551983122,714390,1955
X,1551983122,714532,684
X,1551983123,714382,3418
X,1551983123,714532,2605
X,1551983124,714439,917
X,1551983125,714473,2499
X,1551983125,714499,1745
X,1551983126,714642,1721
X,1551983126,714460,1050
X,1551983127,714432,1294
X,1551983127,714391,1169
X,1551983128,714398,775
X,1551983129,714362,684
X,1551983129,714493,2250
X,1551983130,714403,871
P,1551983130,5207
X,1551983130,714387,1152
X,1551983131,714392,1469
X,1551983131,714339,945
X,1551983132,714452,700
X,1551983132,714412,3076
X,1551983133,714342,5917
X,1551983134,714434,1631
X,1551983134,713511,31413
X,1551983135,713067,12731
X,1551983135,714826,13286
X,1551983136,714533,3654
X,1551983136,714501,1306
X,1551983137,714628,2804
X,1551983138,714411,766
X,1551983138,714345,1136
X,1551983139,714497,2625
X,1551983139,714516,3005
X,1551983140,714223,2038
X,1551983140,713104,32215
X,1551983141,714542,27114
X,1551983142,714491,4395
X,1551983142,714930,5556
X,1551983143,714039,9034
X,1551983143,712444,11824
X,1551983144,714659,6519
X,1551983144,715011,23402
X,1551983145,713394,20002
X,1551983146,714574,4059
X,1551983146,715146,6196
X,1551983147,714732,3356
X,1551983147,714345,1718
X,1551983148,714332,2856
X,1551983148,714341,2686
X,1551983149,714466,1651
X,1551983150,713772,6583
X,1551983150,714432,2454
X,1551983151,714331,3777
X,1551983151,714560,2771
X,1551983152,714319,1431
X,1551983152,714429,1277
X,1551983153,714471,911
X,1551983153,714470,1287
X,1551983154,714351,2774
X,1551983155,714422,987
X,1551983155,714586,33188
X,1551983156,714993,20498
X,1551983156,714291,22191
X,1551983157,714410,2868
X,1551983157,714381,567
X,1551983158,714277,1286
X,1551983158,714345,930
X,1551983158,714016,3327
X,1551983159,714326,1548
P,1551983159,5207
X,1551983159,714303,1227
X,1551983160,714596,2986
X,1551983160,714218,27028
X,1551983161,714515,18785
X,1551983162,714469,4969
X,1551983162,714172,3004
X,1551983163,714356,1300
X,1551983163,714369,1099
X,1551983164,714271,2834
X,1551983164,714477,2224
X,1551983165,714479,2552
X,1551983166,714389,1178
X,1551983166,714381,728
X,1551983167,714382,1056
X,1551983167,714258,1441
X,1551983168,714389,4416
X,1551983168,714409,981
X,1551983169,714390,1051
X,1551983169,714415,1094
X,1551983170,714358,837
X,1551983171,714304,2109
X,1551983171,714492,1405
X,1551983172,712894,34836
X,1551983172,714728,22985
X,1551983173,714542,14976
X,1551983173,714263,16130
X,1551983174,714161,3997
X,1551983175,713881,21634
X,1551983175,714381,32405
X,1551983176,714616,26300
X,1551983176,714787,4903
X,1551983177,714381,2747
X,1551983177,714403,1792
X,1551983178,714412,930
X,1551983179,714312,1004
X,1551983179,714460,4074
X,1551983180,714401,899
A,1551983180,714411,193
T,1551983180,2819
R,1551983180,700D98F55
X,1551983182,714271,876
X,1551983182,714203,1054
X,1551983183,714507,3558
X,1551983183,714324,613
X,1551983184,714725,36239
X,1551983184,714040,8355
X,1551983185,715863,19479
X,1551983186,714405,4726
X,1551983186,714463,1256
X,1551983187,714507,578
X,1551983187,714417,1301
X,1551983188,714381,4121
X,1551983188,714405,974
X,1551983189,714327,1833
P,1551983189,5209
X,1551983190,714438,813
X,1551983190,714462,647
X,1551983191,714477,901
X,1551983191,714258,5562
X,1551983192,714453,1056
X,1551983192,714177,31158
X,1551983193,714482,23487
X,1551983194,714523,4804
X,1551983194,714722,4509
X,1551983195,714175,3780
X,1551983195,714557,2031
X,1551983196,714647,5778
X,1551983196,714759,1897
X,1551983197,714548,7489
X,1551983198,714246,2026
X,1551983198,714364,1415
X,1551983199,714404,1169
X,1551983199,714493,5290
X,1551983199,714314,2808
X,1551983199,714295,2114
X,1551983200,714286,855
X,1551983200,714291,711
X,1551983201,714150,1280
X,1551983202,714464,3488
X,1551983202,714111,44850
X,1551983203,714376,30086
X,1551983203,714775,3899
X,1551983204,714630,2662
X,1551983204,714398,824
X,1551983205,714399,2814
X,1551983206,714129,4663
