H,1551993800,337272
P,1551993800,5189
X,1551993800,672942,2588
X,1551993801,673168,1408
X,1551993802,672953,1205
X,1551993802,673086,3133
X,1551993803,673061,667
X,1551993803,672981,593
X,1551993804,673018,999
X,1551993804,673082,655
X,1551993805,672747,2363
X,1551993806,672934,1224
X,1551993806,672818,677
X,1551993807,672957,706
X,1551993807,672848,840
X,1551993808,672853,832
X,1551993808,672877,1090
X,1551993809,672840,852
X,1551993809,672859,1685
X,1551993810,672726,508
X,1551993811,672841,613
X,1551993811,672816,627
X,1551993812,672798,640
X,1551993812,672929,25351
X,1551993813,672787,1590
X,1551993813,672731,1051
X,1551993814,672717,660
X,1551993815,672596,794
X,1551993815,672764,672
X,1551993816,672565,986
A,1551993816,672881,620
T,1551993816,2805
U,1551993816,36693
X,1551993818,672793,828
X,1551993818,672737,754
X,1551993819,672683,958
X,1551993820,672648,596
X,1551993820,672707,536
X,1551993821,672708,754
X,1551993821,672649,2966
X,1551993822,673422,6405
X,1551993822,673164,1887
X,1551993822,672775,1226
X,1551993823,672744,613
X,1551993823,672847,474
X,1551993824,672821,1414
X,1551993824,672825,1120
X,1551993825,672656,720
X,1551993825,672742,854
X,1551993826,672714,502
X,1551993827,672701,593
X,1551993827,672621,1139
X,1551993828,672655,651
X,1551993828,672721,400
X,1551993829,672701,591
X,1551993829,672707,767
P,1551993829,5188
X,1551993830,672691,1005
X,1551993831,672726,879
X,1551993831,673327,3833
X,1551993832,672861,5325
X,1551993832,672703,2243
X,1551993833,673166,7518
X,1551993833,672879,1352
X,1551993834,672805,571
X,1551993834,672876,878
X,1551993835,672803,715
A,1551993835,672733,228
T,1551993835,2805
U,1551993836,36693
X,1551993837,672641,810
X,1551993838,672351,663
X,1551993838,672391,960
X,1551993839,672289,1410
X,1551993839,672070,706
X,1551993840,672187,789
X,1551993841,672219,851
X,1551993841,672290,643
X,1551993842,672203,693
X,1551993842,672340,781
X,1551993843,672413,649
X,1551993843,672373,740
X,1551993844,672557,689
X,1551993845,672650,673
X,1551993845,672335,1058
X,1551993846,672134,917
X,1551993846,671898,1010
X,1551993847,672011,40465
X,1551993847,672182,2207
X,1551993848,672344,2531
X,1551993849,672393,1087
X,1551993849,672475,1171
X,1551993850,672270,692
X,1551993850,672435,997
X,1551993851,672621,807
X,1551993851,672705,1332
X,1551993852,672840,637
X,1551993853,672546,736
X,1551993853,672169,910
A,1551993853,672385,770
T,1551993853,2806
U,1551993854,36693
X,1551993855,672248,1139
X,1551993856,672412,695
X,1551993856,672432,1499
X,1551993857,672273,1549
X,1551993857,672407,3200
X,1551993858,672568,2551
X,1551993858,672395,4541
X,1551993859,672510,4830
P,1551993860,5187
X,1551993860,672687,1739
X,1551993860,672720,1150
X,1551993861,672564,1904
X,1551993861,672591,1868
X,1551993862,672594,1244
X,1551993862,672367,3237
X,1551993863,672503,7439
X,1551993863,672573,4940
X,1551993863,672176,3528
X,1551993864,672310,2358
X,1551993864,672193,1401
X,1551993865,672383,1900
X,1551993865,672020,6957
X,1551993866,672096,40582
X,1551993867,672384,3083
X,1551993867,672319,1264
X,1551993868,672393,1267
X,1551993868,672451,1191
X,1551993869,672483,986
X,1551993869,672527,1150
X,1551993870,672503,1034
X,1551993871,672545,1578
X,1551993871,672675,7480
X,1551993872,672874,7390
X,1551993872,671619,49253
X,1551993873,675725,8464
X,1551993873,676028,14638
X,1551993874,668558,26840
X,1551993874,673542,42392
X,1551993875,674846,16510
X,1551993876,673191,10192
X,1551993876,672571,23662
X,1551993877,672162,13540
X,1551993877,673130,21299
X,1551993878,672710,12183
X,1551993878,671904,51165
X,1551993879,672379,9452
X,1551993880,671421,20701
X,1551993880,672224,19946
X,1551993881,672547,1663
X,1551993881,672591,1209
X,1551993882,672426,1322
X,1551993882,672239,943
X,1551993883,672079,1271
X,1551993884,672101,1085
X,1551993884,672240,753
X,1551993885,672169,945
X,1551993885,672107,937
X,1551993886,671385,16036
X,1551993886,671699,11272
X,1551993887,671487,4365
X,1551993888,671521,1167
X,1551993888,671409,1442
X,1551993889,671548,757
P,1551993889,5189
X,1551993889,671785,1165
X,1551993890,671733,1165
X,1551993890,671709,1562
X,1551993891,671369,1706
X,1551993891,671449,1039
X,1551993892,671739,1102
X,1551993893,671777,1316
X,1551993893,671494,1591
X,1551993894,671592,1201
