H,1552618433,337272
R,1552618433,700D98F55
X,1552618435,690078,1713
X,1552618435,689751,1395
X,1552618436,689907,799
X,1552618436,690105,1450
X,1552618437,689042,22322
X,1552618438,689802,2457
X,1552618438,690201,897
X,1552618439,689746,1464
X,1552618439,689333,1650
X,1552618440,689507,2430
X,1552618440,689712,1181
X,1552618441,689531,964
P,1552618442,5135
X,1552618442,689807,776
X,1552618442,689629,745
X,1552618443,689884,29077
X,1552618443,690255,4413
X,1552618444,689790,830
X,1552618444,689705,23350
X,1552618445,689785,16487
X,1552618446,689996,1614
X,1552618446,689964,809
X,1552618447,689936,721
X,1552618447,690039,906
X,1552618448,690096,569
X,1552618448,690070,1833
X,1552618449,690114,771
X,1552618450,690064,787
X,1552618450,690101,660
X,1552618451,690069,1633
X,1552618451,690269,2642
X,1552618452,690018,713
X,1552618452,690134,1460
X,1552618453,690295,1010
X,1552618453,690384,697
X,1552618454,690438,479
X,1552618455,690568,724
X,1552618455,690433,949
X,1552618456,690219,1372
X,1552618456,690002,605
X,1552618457,690226,643
A,1552618457,690062,1037
T,1552618457,2804
R,1552618457,700D98F55
X,1552618459,690392,1006
X,1552618459,690384,755
X,1552618460,690242,669
X,1552618461,690182,949
X,1552618461,689466,34880
X,1552618462,689575,10643
X,1552618462,690402,980
X,1552618463,690670,788
X,1552618463,690548,879
X,1552618464,690314,1828
X,1552618465,689989,883
X,1552618465,689704,1271
X,1552618466,689878,830
X,1552618466,689837,1081
X,1552618467,689973,926
X,1552618467,689821,1301
X,1552618468,689759,955
X,1552618468,689872,999
X,1552618469,689922,922
X,1552618470,689912,869
X,1552618470,689633,2705
X,1552618471,689832,8747
X,1552618471,689834,27092
P,1552618472,5138
X,1552618472,689506,22776
X,1552618472,689658,2688
X,1552618473,689782,1073
X,1552618473,689764,962
X,1552618473,690127,652
X,1552618474,690074,1173
X,1552618474,690051,977
X,1552618475,690200,1003
X,1552618475,690156,942
X,1552618476,689331,626
X,1552618477,689358,851
X,1552618477,688873,1197
X,1552618478,689257,782
A,1552618478,689988,1413
T,1552618478,2805
R,1552618478,700D98F55
X,1552618480,690032,1082
X,1552618480,690016,1559
X,1552618481,689979,857
X,1552618481,690109,1362
X,1552618482,690161,881
X,1552618483,690311,657
X,1552618483,690225,678
X,1552618484,690157,1211
X,1552618484,690206,702
X,1552618485,690114,1114
X,1552618485,689978,695
X,1552618486,690085,427
X,1552618486,689941,628
X,1552618487,689862,1098
X,1552618488,689687,537
X,1552618488,689834,1312
X,1552618489,689760,778
X,1552618489,689772,668
X,1552618490,689965,825
X,1552618490,689842,720
X,1552618491,689557,1091
X,1552618492,689309,1760
X,1552618492,688993,2783
X,1552618493,688762,2119
X,1552618493,690126,1088
X,1552618494,690611,1932
X,1552618494,690104,1277
X,1552618495,688829,23647
X,1552618496,688540,17799
X,1552618496,689138,1659
X,1552618497,690265,9843
X,1552618497,687282,17896
X,1552618498,689508,12684
X,1552618498,689603,995
X,1552618499,689605,841
X,1552618500,689599,988
X,1552618500,690122,652
X,1552618501,689920,942
P,1552618501,5136
X,1552618501,690192,1703
X,1552618502,690367,874
X,1552618502,690583,892
A,1552618502,689985,984
T,1552618503,2805
R,1552618503,700D98F55
X,1552618504,690200,1758
X,1552618505,690121,2261
X,1552618505,689523,18114
X,1552618506,689722,17974
X,1552618507,690381,3209
X,1552618507,690386,1176
X,1552618508,690399,715
X,1552618508,690347,584
X,1552618509,690297,1331
X,1552618509,690175,564
X,1552618510,689915,947
X,1552618511,689949,544
X,1552618511,690009,953
X,1552618512,690177,310
X,1552618512,690300,884
X,1552618513,690370,579
X,1552618513,690106,684
X,1552618514,690027,485
X,1552618514,690112,783
X,1552618514,690042,770
X,1552618515,689332,2663
X,1552618515,689218,2438
X,1552618516,688957,2918
X,1552618516,689189,24651
X,1552618517,690122,19503
X,1552618518,689968,2303
X,1552618518,690181,1188
X,1552618519,690527,1094
X,1552618519,690708,522
X,1552618520,690416,1111
X,1552618520,690207,720
X,1552618521,690345,936
X,1552618521,690429,968
X,1552618522,690484,530
X,1552618523,690441,671
X,1552618523,690318,946
A,1552618523,690243,793
T,1552618523,2805
R,1552618524,700D98F55
X,1552618525,690252,555
X,1552618526,690226,671
X,1552618526,689482,12786
