H,1554050969,337272
P,1554050969,5137
P,1554050998,5138
P,1554051027,5138
P,1554051058,5137
P,1554051087,5136
P,1554051116,5137
P,1554051146,5137
P,1554051175,5138
P,1554051204,5137
P,1554051233,5137
P,1554051263,5138
P,1554051292,5138
P,1554051321,5137
P,1554051352,5137
P,1554051381,5137
P,1554051410,5137
P,1554051439,5137
P,1554051469,5138
P,1554051498,5137
P,1554051527,5138
P,1554051557,5138
P,1554051586,5136
P,1554051615,5137
P,1554051645,5137
P,1554051675,5138
P,1554051704,5137
P,1554051733,5137
P,1554051763,5137
P,1554051792,5137
P,1554051821,5136
P,1554051850,5137
P,1554051880,5138
P,1554051909,5137
P,1554051939,5137
P,1554051969,5137
P,1554051998,5138
P,1554052027,5138
P,1554052056,5137
P,1554052086,5137
P,1554052115,5137
P,1554052144,5137
P,1554052174,5136
P,1554052203,5138
O,1554052220,334940,3726
O,1554052221,336651,4161
O,1554052221,336553,2826
O,1554052222,335491,2295
O,1554052222,334958,1290
O,1554052223,335117,1020
O,1554052223,334581,1479
O,1554052224,335722,1478
O,1554052225,336052,883
O,1554052225,335800,772
O,1554052226,336218,1047
O,1554052226,335811,1804
O,1554052227,334688,3552
O,1554052227,334138,1136
O,1554052228,333958,1801
O,1554052229,334489,2790
O,1554052229,334341,2130
O,1554052230,335049,2535
O,1554052230,335038,1245
O,1554052231,335496,1269
O,1554052231,335435,1175
O,1554052232,335688,1192
O,1554052233,336198,947
P,1554052233,5131
O,1554052233,335573,1410
O,1554052234,335538,1104
O,1554052234,335594,1420
O,1554052235,335848,1152
O,1554052235,336879,652
O,1554052236,335968,500
O,1554052237,336624,615
O,1554052237,337064,324
O,1554052238,337280,521
O,1554052238,337209,1037
O,1554052239,336391,1010
O,1554052239,335901,1243
O,1554052240,336177,1097
O,1554052241,335649,775
O,1554052241,335262,1271
O,1554052242,335781,549
O,1554052242,336236,467
O,1554052243,336146,817
O,1554052243,336463,1216
O,1554052244,336480,771
O,1554052244,336469,1094
O,1554052245,335716,3023
O,1554052246,336479,2096
O,1554052246,337361,1560
O,1554052247,336922,1206
O,1554052247,336600,853
O,1554052248,336852,748
O,1554052248,336677,395
O,1554052249,336568,409
O,1554052250,336536,312
O,1554052250,336458,304
O,1554052251,336481,318
O,1554052251,336491,347
O,1554052252,336396,228
O,1554052252,336502,169
O,1554052253,336559,211
O,1554052254,336628,253
O,1554052254,337211,889
O,1554052255,337613,602
O,1554052255,336827,1872
O,1554052256,336829,1347
O,1554052256,336246,1312
O,1554052257,336579,1424
O,1554052257,336512,1146
O,1554052257,336543,959
O,1554052258,336721,757
O,1554052258,335811,922
O,1554052259,335309,1762
O,1554052259,334689,1886
O,1554052260,335245,1220
O,1554052260,334814,1674
O,1554052261,335873,1306
O,1554052262,336087,1213
P,1554052262,5132
O,1554052262,336009,877
O,1554052263,336069,655
O,1554052263,336472,734
O,1554052264,336653,442
O,1554052264,336737,379
O,1554052265,336767,617
O,1554052266,336506,264
O,1554052266,336717,519
O,1554052267,336451,952
O,1554052267,337544,1138
O,1554052268,337777,543
O,1554052268,337677,367
O,1554052269,337762,337
O,1554052270,337426,780
O,1554052270,336805,248
O,1554052271,336731,156
O,1554052271,336675,211
O,1554052272,336548,181
O,1554052272,336520,116
O,1554052273,336466,122
O,1554052274,336492,133
O,1554052274,336462,177
O,1554052275,336053,669
O,1554052275,334721,2139
O,1554052276,334484,779
T,1554052276,2909
P,1554052292,5138
P,1554052321,5138
P,1554052350,5137
P,1554052380,5137
P,1554052409,5138
P,1554052438,5138
P,1554052467,5137
P,1554052497,5137
P,1554052527,5137
P,1554052556,5138
P,1554052585,5138
P,1554052615,5138
P,1554052645,5137
P,1554052674,5136
P,1554052704,5138
P,1554052733,5138
P,1554052762,5137
P,1554052791,5138
P,1554052822,5137
P,1554052851,5138
P,1554052880,5137
P,1554052910,5138
P,1554052939,5137
P,1554052968,5137
P,1554052997,5137
P,1554053027,5138
P,1554053056,5137
P,1554053085,5138
P,1554053116,5138
P,1554053145,5138
P,1554053174,5137
P,1554053203,5137
P,1554053233,5138
P,1554053262,5137
P,1554053291,5137
P,1554053321,5138
P,1554053350,5137
P,1554053379,5137
P,1554053409,5137
P,1554053439,5138
P,1554053468,5137
P,1554053497,5137
P,1554053527,5136
P,1554053556,5138
P,1554053585,5137
P,1554053614,5137
P,1554053644,5137
P,1554053673,5136
P,1554053703,5137
P,1554053733,5137
P,1554053762,5138
P,1554053791,5138
P,1554053820,5137
P,1554053850,5137
P,1554053879,5138
P,1554053908,5137
