H,1554674613,337272
P,1554674613,5086
P,1554674642,5084
P,1554674671,5087
P,1554674700,5086
P,1554674730,5086
P,1554674759,5087
P,1554674788,5086
P,1554674818,5087
P,1554674847,5087
P,1554674877,5086
P,1554674906,5086
P,1554674936,5087
P,1554674965,5086
P,1554674994,5086
P,1554675024,5086
P,1554675053,5087
P,1554675082,5087
P,1554675111,5087
P,1554675141,5086
P,1554675171,5087
P,1554675200,5086
D,1554675229,416512
P,1554675230,5087
D,1554675231,419072
D,1554675233,423424
D,1554675234,420864
P,1554675259,5087
D,1554675274,420608
D,1554675276,417792
D,1554675278,419072
D,1554675280,427264
D,1554675282,420352
D,1554675285,418816
D,1554675287,419584
P,1554675288,5086
D,1554675289,419584
D,1554675291,419072
D,1554675293,419072
D,1554675296,416256
D,1554675298,419840
D,1554675300,419328
D,1554675302,418560
D,1554675304,419328
D,1554675307,419584
D,1554675309,419328
D,1554675311,419840
D,1554675313,419584
P,1554675317,5086
P,1554675347,5086
P,1554675376,5087
P,1554675405,5087
P,1554675435,5087
P,1554675465,5086
P,1554675494,5086
P,1554675523,5086
P,1554675553,5086
P,1554675582,5087
P,1554675611,5087
P,1554675641,5086
P,1554675670,5085
P,1554675699,5087
P,1554675728,5087
D,1554675729,485632
R,1554675729,700D98F55
R,1554675729,700D98F55
R,1554675729,700D98F55
X,1554675731,767311,14054
X,1554675732,766541,24452
X,1554675732,778090,28654
X,1554675733,762144,5341
X,1554675733,760949,55377
X,1554675734,767757,15442
X,1554675734,771667,40175
X,1554675735,771959,18352
X,1554675736,786627,61964
X,1554675736,342747,46372
X,1554675737,340047,2705
X,1554675737,339832,38084
X,1554675738,340270,25070
X,1554675738,340455,15206
X,1554675739,340455,10530
X,1554675740,340378,7931
X,1554675740,340263,5847
X,1554675741,340138,4568
X,1554675741,340071,3633
X,1554675742,339952,2768
O,1554675742,339919,2018
O,1554675743,339873,1567
O,1554675744,339875,1194
O,1554675744,339849,1029
O,1554675745,339861,827
O,1554675745,339790,712
O,1554675746,339797,553
O,1554675746,339796,443
O,1554675747,339778,382
O,1554675748,339765,377
O,1554675748,339745,244
O,1554675749,339752,189
O,1554675749,339726,182
O,1554675750,339730,177
O,1554675750,339765,217
O,1554675751,339726,159
O,1554675752,339700,106
O,1554675752,339717,142
O,1554675753,339720,130
O,1554675753,339711,76
O,1554675754,339689,67
O,1554675754,339678,98
O,1554675755,339664,188
O,1554675755,339676,87
O,1554675756,339636,140
O,1554675757,339664,100
O,1554675757,339631,105
O,1554675758,339642,109
O,1554675758,339641,122
P,1554675759,5077
O,1554675759,339622,106
O,1554675759,339620,151
O,1554675760,339622,74
O,1554675761,339616,101
O,1554675761,339587,84
O,1554675762,339603,120
O,1554675762,339590,128
O,1554675763,339584,105
O,1554675763,339585,100
O,1554675764,339587,116
O,1554675765,339563,93
O,1554675765,339571,102
O,1554675766,339585,117
O,1554675766,339564,86
O,1554675766,339567,95
O,1554675766,339560,93
O,1554675767,339568,104
O,1554675768,339581,52
O,1554675768,339571,99
O,1554675769,339575,139
O,1554675769,339556,67
O,1554675770,339544,94
O,1554675770,339542,113
O,1554675771,339553,89
O,1554675771,339521,77
O,1554675772,339507,190
O,1554675773,339521,72
O,1554675773,339515,78
O,1554675774,339547,101
O,1554675774,339544,138
O,1554675775,339525,100
O,1554675775,339525,112
O,1554675776,339539,90
O,1554675777,339512,95
O,1554675777,339542,59
O,1554675778,339543,145
O,1554675778,339531,89
O,1554675779,339497,90
O,1554675779,339519,74
O,1554675780,339522,67
O,1554675781,339566,147
O,1554675781,339519,109
O,1554675782,339512,104
O,1554675782,339531,71
O,1554675783,339517,92
O,1554675783,339499,151
O,1554675784,339491,99
O,1554675785,339456,64
O,1554675785,339533,113
O,1554675786,339532,76
O,1554675786,339527,117
O,1554675787,339532,119
O,1554675787,339528,104
P,1554675788,5080
O,1554675788,339500,60
O,1554675789,339499,76
O,1554675789,339445,155
O,1554675790,339442,126
O,1554675790,339429,73
O,1554675791,339436,128
O,1554675791,339385,122
O,1554675792,339364,195
T,1554675792,2813
P,1554675817,5087
P,1554675847,5086
P,1554675876,5087
P,1554675905,5086
P,1554675934,5087
P,1554675964,5086
P,1554675993,5085
P,1554676022,5085
P,1554676053,5086
P,1554676082,5086
P,1554676111,5086
P,1554676140,5086
P,1554676170,5086
P,1554676199,5087
P,1554676228,5086
P,1554676258,5087
P,1554676287,5087
P,1554676316,5086
