H,1555862400,337564
U,1555862400,0
E,1555862400,1
P,1555862400,5413
P,1555862429,5414
P,1555862459,5413
P,1555862488,5414
P,1555862517,5413
P,1555862547,5413
P,1555862577,5414
P,1555862606,5413
P,1555862635,5414
P,1555862665,5413
P,1555862694,5413
P,1555862723,5414
P,1555862752,5413
P,1555862782,5414
P,1555862811,5414
P,1555862841,5413
P,1555862870,5413
P,1555862900,5414
P,1555862929,5414
P,1555862958,5412
P,1555862988,5415
P,1555863017,5413
P,1555863046,5413
P,1555863075,5414
P,1555863105,5414
P,1555863135,5414
P,1555863164,5414
P,1555863194,5413
P,1555863223,5413
P,1555863252,5414
P,1555863281,5413
P,1555863311,5414
P,1555863340,5413
P,1555863369,5413
P,1555863399,5414
P,1555863429,5414
P,1555863458,5414
P,1555863487,5414
O,1555863488,332232,2219
O,1555863489,332403,121
O,1555863489,332411,124
O,1555863490,332362,139
O,1555863490,332367,145
O,1555863491,332281,97
O,1555863491,332357,124
O,1555863492,332452,99
O,1555863493,332419,70
O,1555863493,332484,162
O,1555863494,332493,103
O,1555863494,332470,122
O,1555863495,332525,64
O,1555863495,332532,112
O,1555863496,332538,82
O,1555863497,332490,131
O,1555863497,332473,71
O,1555863498,332483,101
O,1555863498,332503,113
O,1555863499,332509,141
O,1555863499,332507,96
O,1555863500,332515,93
O,1555863501,332552,113
O,1555863501,332522,112
O,1555863502,332576,83
O,1555863502,332528,115
O,1555863503,332520,60
O,1555863503,332515,94
O,1555863504,332518,124
O,1555863504,332519,98
O,1555863505,332528,86
O,1555863506,332502,106
O,1555863506,332492,93
O,1555863507,332521,84
O,1555863507,332479,137
O,1555863508,332428,134
O,1555863508,332418,151
O,1555863509,332444,98
O,1555863510,332397,129
O,1555863510,332414,118
O,1555863511,332437,107
O,1555863511,332459,94
O,1555863512,332460,125
O,1555863512,332439,124
O,1555863513,332389,76
O,1555863514,332331,119
O,1555863514,332340,151
O,1555863515,332319,180
O,1555863515,332359,128
O,1555863516,332371,115
O,1555863516,332355,172
P,1555863517,5403
O,1555863517,332395,112
O,1555863518,332407,90
O,1555863518,332409,110
O,1555863519,332459,112
O,1555863519,332381,129
O,1555863520,332436,87
O,1555863520,332433,118
O,1555863521,332428,125
O,1555863522,332398,90
O,1555863522,332360,101
O,1555863523,332324,93
O,1555863523,332314,190
O,1555863524,332377,220
O,1555863524,332417,130
O,1555863525,332420,124
O,1555863525,332400,95
O,1555863526,332411,138
O,1555863526,332458,152
O,1555863526,332424,79
O,1555863527,332454,97
O,1555863527,332466,92
O,1555863528,332439,183
O,1555863528,332443,58
O,1555863529,332443,171
O,1555863530,332387,107
O,1555863530,332374,116
O,1555863531,332334,142
O,1555863531,332353,138
O,1555863532,332372,150
O,1555863532,332366,197
O,1555863533,332341,114
O,1555863534,332368,97
O,1555863534,332404,115
O,1555863535,332383,100
O,1555863535,332420,118
O,1555863536,332397,76
O,1555863536,332415,79
O,1555863537,332407,136
O,1555863538,332422,92
O,1555863538,332439,78
O,1555863539,332417,76
O,1555863539,332412,152
O,1555863540,332407,90
O,1555863540,332395,87
O,1555863541,332275,127
O,1555863542,332203,127
O,1555863542,332306,132
O,1555863543,332320,126
O,1555863543,332320,101
O,1555863544,332328,116
T,1555863544,2997
P,1555863546,5414
P,1555863575,5413
P,1555863605,5413
P,1555863634,5413
P,1555863663,5413
P,1555863692,5413
P,1555863723,5414
P,1555863752,5413
P,1555863781,5414
P,1555863811,5413
P,1555863840,5414
P,1555863869,5412
P,1555863898,5411
P,1555863928,5412
P,1555863957,5413
P,1555863986,5413
P,1555864017,5412
P,1555864046,5414
P,1555864075,5412
P,1555864104,5414
P,1555864134,5412
P,1555864163,5413
P,1555864192,5414
P,1555864222,5412
P,1555864251,5413
P,1555864280,5414
P,1555864310,5414
P,1555864340,5413
P,1555864369,5414
P,1555864398,5414
P,1555864428,5414
P,1555864457,5412
P,1555864486,5413
P,1555864515,5414
P,1555864545,5412
P,1555864574,5411
P,1555864604,5414
P,1555864633,5413
P,1555864663,5413
P,1555864692,5413
P,1555864721,5413
P,1555864751,5411
P,1555864781,5412
P,1555864810,5413
P,1555864839,5413
P,1555864869,5412
P,1555864899,5413
P,1555864928,5414
P,1555864958,5413
P,1555864987,5413
P,1555865016,5413
P,1555865045,5413
P,1555865075,5413
P,1555865104,5414
P,1555865133,5413
P,1555865163,5412
P,1555865193,5413
P,1555865222,5413
P,1555865251,5413
P,1555865281,5413
P,1555865310,5414
P,1555865339,5413
