H,1549558169,419369
P,1549558169,5107
P,1549558199,5107
P,1549558228,5107
P,1549558257,5106
P,1549558287,5107
P,1549558316,5107
P,1549558345,5108
P,1549558375,5106
P,1549558404,5107
P,1549558433,5107
P,1549558462,5107
P,1549558493,5107
P,1549558522,5106
P,1549558551,5108
P,1549558581,5107
P,1549558610,5105
P,1549558639,5107
P,1549558668,5107
P,1549558698,5107
P,1549558727,5107
P,1549558757,5106
P,1549558787,5106
P,1549558817,5108
P,1549558846,5107
P,1549558875,5107
P,1549558905,5107
P,1549558934,5107
P,1549558963,5107
P,1549558992,5107
P,1549559022,5107
P,1549559051,5107
P,1549559081,5107
P,1549559111,5107
P,1549559140,5106
P,1549559169,5105
P,1549559198,5106
P,1549559228,5106
P,1549559257,5107
P,1549559286,5107
P,1549559316,5107
P,1549559345,5107
P,1549559375,5107
P,1549559404,5107
P,1549559434,5107
P,1549559463,5107
P,1549559492,5107
P,1549559522,5107
P,1549559551,5106
P,1549559580,5107
O,1549559603,343112,2365
O,1549559604,343373,144
O,1549559604,343466,83
O,1549559605,343484,81
O,1549559605,343449,133
O,1549559606,343413,123
O,1549559606,343380,177
O,1549559607,343317,129
O,1549559607,343235,128
O,1549559607,343169,238
O,1549559608,342797,357
O,1549559608,342868,203
O,1549559609,342863,285
P,1549559609,5100
O,1549559609,342951,236
O,1549559610,343058,133
O,1549559611,343077,108
O,1549559611,343085,159
O,1549559612,343047,194
O,1549559612,343051,117
O,1549559613,343071,117
O,1549559613,343067,105
O,1549559614,343072,159
O,1549559615,343123,104
O,1549559615,343125,99
O,1549559616,343144,107
O,1549559616,343138,100
O,1549559617,343135,52
O,1549559617,343165,77
O,1549559618,343177,83
O,1549559618,343201,104
O,1549559619,343169,119
O,1549559620,343124,107
O,1549559620,343125,239
O,1549559621,343276,166
O,1549559621,343223,135
O,1549559622,343189,145
O,1549559622,343162,139
O,1549559623,343153,256
O,1549559624,343135,171
O,1549559624,343060,111
O,1549559625,343046,141
O,1549559625,343096,142
O,1549559626,343132,145
O,1549559626,343187,143
O,1549559627,343160,113
O,1549559628,343162,102
O,1549559628,343175,158
O,1549559629,343130,95
O,1549559629,343069,79
O,1549559630,343151,157
O,1549559630,343210,132
O,1549559631,343114,107
O,1549559632,343080,118
O,1549559632,343081,107
O,1549559633,343048,203
O,1549559633,342926,82
O,1549559634,342860,104
O,1549559634,342852,229
O,1549559635,342914,111
O,1549559635,342961,139
O,1549559636,342958,144
O,1549559637,343032,120
O,1549559637,343079,228
O,1549559638,343201,178
O,1549559638,343301,149
O,1549559639,343260,201
P,1549559639,5097
O,1549559639,343238,97
O,1549559640,343227,90
O,1549559641,343278,48
O,1549559641,343276,77
O,1549559642,343277,139
O,1549559642,343294,135
O,1549559643,343318,110
O,1549559643,343209,165
O,1549559644,343168,114
O,1549559645,343209,138
O,1549559645,343253,127
O,1549559646,343254,74
O,1549559646,343239,97
O,1549559647,343302,103
O,1549559647,343290,161
O,1549559648,343250,110
O,1549559648,343207,139
O,1549559648,343131,61
O,1549559649,343129,163
O,1549559649,343232,75
O,1549559650,343228,105
O,1549559650,343164,165
O,1549559651,343110,89
O,1549559651,343006,210
O,1549559652,343043,127
O,1549559653,342998,137
O,1549559653,343030,138
O,1549559654,343112,110
O,1549559654,343102,207
O,1549559655,343023,70
O,1549559655,343054,121
O,1549559656,343109,118
O,1549559657,343118,163
O,1549559657,343130,143
O,1549559658,343127,179
T,1549559658,2766
P,1549559669,5106
P,1549559698,5105
P,1549559728,5106
P,1549559757,5107
P,1549559786,5107
P,1549559815,5108
P,1549559845,5106
P,1549559874,5107
P,1549559903,5106
P,1549559933,5107
P,1549559963,5106
P,1549559992,5106
P,1549560021,5107
P,1549560051,5106
P,1549560080,5107
P,1549560109,5107
P,1549560139,5106
P,1549560168,5107
P,1549560197,5106
P,1549560226,5107
P,1549560257,5107
P,1549560286,5106
P,1549560315,5106
P,1549560345,5106
P,1549560374,5106
P,1549560403,5107
P,1549560432,5107
P,1549560462,5107
P,1549560491,5105
P,1549560520,5108
P,1549560550,5106
P,1549560580,5107
P,1549560609,5106
P,1549560638,5107
P,1549560668,5105
P,1549560697,5107
P,1549560726,5107
P,1549560755,5107
P,1549560785,5106
P,1549560814,5107
P,1549560844,5107
P,1549560874,5107
P,1549560903,5106
P,1549560932,5107
P,1549560961,5107
P,1549560991,5106
P,1549561020,5107
P,1549561049,5107
P,1549561079,5107
P,1549561108,5106
