H,1552322968,337272
P,1552322968,5159
P,1552322997,5158
P,1552323027,5158
P,1552323056,5158
P,1552323085,5156
P,1552323115,5159
P,1552323145,5157
P,1552323174,5158
P,1552323203,5158
P,1552323233,5157
P,1552323262,5158
P,1552323291,5157
P,1552323321,5157
P,1552323350,5158
P,1552323379,5157
P,1552323408,5157
P,1552323439,5158
P,1552323468,5156
P,1552323497,5157
P,1552323527,5158
P,1552323556,5157
P,1552323585,5157
P,1552323614,5158
P,1552323644,5158
P,1552323673,5158
P,1552323702,5157
P,1552323733,5158
P,1552323762,5158
P,1552323791,5158
P,1552323820,5158
P,1552323850,5158
P,1552323879,5159
P,1552323908,5157
P,1552323938,5156
P,1552323967,5158
P,1552323996,5157
P,1552324026,5158
P,1552324056,5156
P,1552324085,5158
P,1552324114,5158
P,1552324144,5158
P,1552324173,5158
O,1552324184,321350,5227
O,1552324185,322666,543
O,1552324185,322970,103
O,1552324185,323137,191
O,1552324186,323171,170
O,1552324186,323148,154
O,1552324187,323010,93
O,1552324187,323232,160
O,1552324188,323378,123
O,1552324189,323433,134
O,1552324189,323506,112
O,1552324190,323487,105
O,1552324190,323486,189
O,1552324191,323497,161
O,1552324191,323601,201
O,1552324192,323721,175
O,1552324192,323823,105
O,1552324193,323735,155
O,1552324194,323706,176
O,1552324194,323944,260
O,1552324195,324045,149
O,1552324195,324136,147
O,1552324196,324228,108
O,1552324196,324301,130
O,1552324197,324327,116
O,1552324198,324332,108
O,1552324198,324306,104
O,1552324199,324383,137
O,1552324199,324434,77
O,1552324200,324464,103
O,1552324200,324472,153
O,1552324201,324501,39
O,1552324202,324466,93
P,1552324202,5149
O,1552324202,324439,156
O,1552324203,324442,185
O,1552324203,324362,216
O,1552324204,324293,164
O,1552324204,324347,239
O,1552324205,324493,144
O,1552324206,324520,89
O,1552324206,324371,221
O,1552324207,324407,272
O,1552324207,324383,156
O,1552324208,324310,219
O,1552324208,324391,199
O,1552324209,324424,225
O,1552324209,324336,184
O,1552324210,324261,232
O,1552324211,324224,224
O,1552324211,324265,203
O,1552324212,324255,501
O,1552324212,324321,280
O,1552324213,324301,280
O,1552324213,324394,248
O,1552324214,324454,201
O,1552324215,324394,180
O,1552324215,324572,151
O,1552324216,324700,224
O,1552324216,324805,146
O,1552324217,324818,130
O,1552324217,324853,132
O,1552324218,324834,137
O,1552324219,324838,147
O,1552324219,324872,108
O,1552324220,324894,147
O,1552324220,324861,97
O,1552324221,324763,120
O,1552324221,324816,143
O,1552324222,324746,135
O,1552324223,324756,114
O,1552324223,324860,153
O,1552324224,324825,102
O,1552324224,324797,118
O,1552324225,324837,43
O,1552324225,324940,127
O,1552324226,324917,136
O,1552324226,324942,77
O,1552324226,324994,112
O,1552324227,324997,128
O,1552324227,324978,124
O,1552324228,324925,84
O,1552324228,324956,98
O,1552324229,325004,141
O,1552324229,325036,143
O,1552324230,325156,112
O,1552324231,325154,131
O,1552324231,325182,109
P,1552324231,5149
O,1552324232,325150,138
O,1552324232,325041,137
O,1552324233,325122,144
O,1552324233,325106,138
O,1552324234,325153,100
O,1552324235,325147,162
O,1552324235,325248,157
O,1552324236,325268,254
O,1552324236,325252,122
O,1552324237,325296,159
O,1552324237,325297,264
O,1552324238,325263,200
O,1552324239,325154,363
O,1552324239,325047,271
T,1552324239,2774
P,1552324261,5157
P,1552324290,5157
P,1552324320,5156
P,1552324349,5158
P,1552324379,5157
P,1552324408,5158
P,1552324437,5157
P,1552324467,5157
P,1552324496,5157
P,1552324525,5157
P,1552324554,5157
P,1552324584,5157
P,1552324614,5158
P,1552324643,5157
P,1552324673,5157
P,1552324703,5158
P,1552324732,5158
P,1552324761,5157
P,1552324791,5158
P,1552324820,5156
P,1552324849,5158
P,1552324879,5157
P,1552324909,5157
P,1552324938,5157
P,1552324967,5158
P,1552324997,5157
P,1552325026,5158
P,1552325055,5157
P,1552325085,5157
P,1552325114,5156
P,1552325143,5158
P,1552325172,5157
P,1552325203,5158
P,1552325232,5157
P,1552325261,5156
P,1552325291,5158
P,1552325320,5158
P,1552325349,5158
P,1552325378,5157
P,1552325408,5158
P,1552325437,5159
P,1552325466,5159
P,1552325497,5159
P,1552325526,5158
P,1552325555,5158
P,1552325584,5157
P,1552325614,5157
P,1552325643,5158
P,1552325672,5157
P,1552325702,5157
P,1552325731,5157
P,1552325760,5159
P,1552325790,5158
P,1552325820,5158
P,1552325849,5158
P,1552325878,5159
P,1552325908,5157
