H,1553022224,337272
P,1553022224,5146
P,1553022253,5146
P,1553022283,5146
P,1553022312,5147
P,1553022341,5145
P,1553022370,5146
P,1553022400,5146
P,1553022429,5147
P,1553022458,5147
P,1553022488,5146
P,1553022518,5147
D,1553022524,468480
R,1553022525,700D98F55
R,1553022525,700D98F55
R,1553022525,700D98F55
X,1553022526,711213,36840
X,1553022527,717946,18420
X,1553022527,716406,5950
X,1553022528,714803,12093
X,1553022529,717410,2029
X,1553022529,717816,1410
X,1553022530,717249,891
X,1553022530,716957,720
X,1553022531,717036,608
X,1553022531,717388,665
X,1553022532,717368,907
X,1553022532,717079,502
X,1553022533,717145,845
X,1553022533,716984,715
X,1553022533,717116,1184
X,1553022534,717225,981
X,1553022534,717206,713
X,1553022535,716985,846
X,1553022535,716635,1276
X,1553022536,717185,21659
X,1553022537,717172,4638
X,1553022537,717381,1667
X,1553022538,717105,6336
X,1553022538,717249,1975
X,1553022539,717670,825
X,1553022539,717741,1675
X,1553022540,717154,975
X,1553022541,717886,1591
X,1553022541,717839,1013
X,1553022542,718303,639
X,1553022542,717852,1117
X,1553022543,717635,972
X,1553022543,716932,1499
X,1553022544,716850,1219
X,1553022545,715720,3362
X,1553022545,715193,2247
X,1553022546,716524,2195
X,1553022546,717437,2234
P,1553022547,5141
X,1553022547,716345,3577
X,1553022547,717397,997
X,1553022548,718478,1943
X,1553022549,719523,1454
X,1553022549,719367,878
X,1553022550,719386,685
X,1553022550,719065,662
X,1553022551,718185,9886
X,1553022551,718611,1409
X,1553022552,718252,1092
X,1553022552,718167,659
A,1553022552,717638,2429
T,1553022553,2796
R,1553022553,700D98F55
R,1553022553,700D98F55
R,1553022553,700D98F55
X,1553022554,717306,1077
X,1553022555,716662,1239
X,1553022556,716751,1440
X,1553022556,716056,1298
X,1553022557,716543,1963
X,1553022557,717314,775
X,1553022558,716044,1638
X,1553022558,716002,1983
X,1553022559,716571,3569
X,1553022560,717370,1733
X,1553022560,715004,5482
X,1553022561,715824,4039
X,1553022561,714027,4435
X,1553022562,715264,2352
X,1553022562,715703,2168
X,1553022563,715281,2739
X,1553022564,716442,2284
X,1553022564,716637,1787
X,1553022565,715993,1664
X,1553022565,715268,1487
X,1553022566,715377,27933
X,1553022566,716152,29156
X,1553022567,715457,2064
X,1553022567,716099,1857
X,1553022568,717109,2481
X,1553022569,716582,3694
X,1553022569,717531,763
X,1553022570,717465,1437
X,1553022570,717312,1012
X,1553022571,717387,1323
X,1553022571,717803,733
X,1553022572,717611,981
X,1553022573,717790,1024
X,1553022573,717702,621
X,1553022574,717766,1362
X,1553022574,717677,925
X,1553022574,717068,17853
X,1553022574,717036,1101
X,1553022575,717109,550
X,1553022576,716194,12775
P,1553022576,5138
X,1553022576,717411,566
X,1553022577,717587,1056
X,1553022577,717724,926
X,1553022578,717897,1266
X,1553022578,717273,1321
X,1553022579,716938,1049
X,1553022580,716976,1038
X,1553022580,716699,1867
X,1553022581,717274,1006
X,1553022581,717848,914
X,1553022582,717901,765
X,1553022582,718099,1684
X,1553022583,717902,1119
X,1553022583,717772,812
X,1553022584,717818,660
X,1553022585,717841,607
X,1553022585,717611,1176
X,1553022586,717619,772
X,1553022586,717266,2617
X,1553022587,716989,1387
X,1553022587,716506,4072
X,1553022588,717029,4109
X,1553022589,717542,2073
X,1553022589,717608,2302
X,1553022590,717682,4131
X,1553022590,717925,1594
X,1553022591,717868,1115
X,1553022591,717766,1697
X,1553022592,717868,886
X,1553022593,717683,1218
X,1553022593,717923,1148
X,1553022594,716997,1813
X,1553022594,717603,1047
X,1553022595,717420,4793
X,1553022595,718136,1682
X,1553022596,718428,852
X,1553022597,718572,1012
X,1553022597,718685,1016
X,1553022598,719008,586
X,1553022598,718915,847
X,1553022599,718775,871
A,1553022599,717883,1899
T,1553022599,2797
R,1553022599,700D98F55
X,1553022601,718465,1200
X,1553022601,717993,1162
X,1553022602,718718,1574
X,1553022602,719754,2923
X,1553022603,722193,2034
X,1553022604,720616,1377
X,1553022604,719959,885
X,1553022605,719876,570
X,1553022605,719701,709
P,1553022606,5138
X,1553022606,719843,581
X,1553022606,719735,1327
X,1553022607,719803,813
X,1553022608,719640,863
X,1553022608,719314,416
X,1553022609,718919,504
X,1553022609,718641,1408
X,1553022610,718853,696
X,1553022610,718735,1466
X,1553022611,719112,2777
X,1553022612,719724,2096
