H,1553036696,337272
T,1553036696,2774
P,1553036715,5140
P,1553036744,5139
P,1553036773,5138
P,1553036803,5140
P,1553036832,5139
P,1553036861,5138
P,1553036890,5139
P,1553036921,5139
P,1553036950,5140
P,1553036979,5139
P,1553037009,5139
P,1553037038,5139
P,1553037067,5140
P,1553037096,5139
P,1553037126,5140
P,1553037155,5140
P,1553037184,5138
P,1553037215,5139
P,1553037244,5138
P,1553037273,5138
P,1553037302,5139
P,1553037332,5139
P,1553037361,5140
P,1553037390,5139
P,1553037420,5140
P,1553037449,5139
P,1553037478,5138
P,1553037508,5139
P,1553037538,5140
P,1553037567,5140
P,1553037596,5138
P,1553037626,5140
P,1553037655,5139
P,1553037684,5141
P,1553037713,5140
P,1553037743,5138
P,1553037772,5137
D,1553037786,453376
D,1553037788,404224
R,1553037788,700D98F55
R,1553037788,700D98F55
R,1553037788,700D98F55
X,1553037790,710900,34457
X,1553037790,713828,40796
X,1553037790,712673,48909
X,1553037791,715197,24621
X,1553037791,721043,6325
X,1553037792,716461,7809
X,1553037793,717501,32515
X,1553037793,715840,60898
X,1553037794,716295,17049
X,1553037794,720318,13562
X,1553037795,717504,25474
X,1553037795,715181,29776
X,1553037796,715684,20276
X,1553037796,717413,10292
X,1553037797,717626,2511
X,1553037798,718052,4047
X,1553037798,717636,4113
X,1553037799,717880,2199
X,1553037799,717916,2202
X,1553037800,717773,4432
X,1553037800,717243,23626
X,1553037801,717984,3382
P,1553037802,5132
X,1553037802,717637,11071
X,1553037802,720293,10485
X,1553037803,717754,4998
X,1553037803,717535,6325
X,1553037804,719728,8649
X,1553037804,718361,7083
X,1553037805,718957,1694
X,1553037806,719184,1155
X,1553037806,718980,999
X,1553037807,719270,1785
X,1553037807,719587,4251
X,1553037808,718722,11666
X,1553037808,716514,18297
X,1553037809,721785,7958
X,1553037810,719466,5897
X,1553037810,719857,4238
X,1553037811,718944,1997
X,1553037811,717633,17573
X,1553037812,717945,2425
X,1553037812,717392,2632
X,1553037813,717631,2604
X,1553037814,717928,7480
X,1553037814,718843,5726
X,1553037815,718777,857
X,1553037815,718365,4342
X,1553037816,718250,2418
X,1553037816,718590,1812
X,1553037817,718078,1937
X,1553037817,718197,1383
X,1553037818,718229,3242
X,1553037819,719072,4208
X,1553037819,719028,2099
X,1553037820,718842,1556
X,1553037820,719035,1118
X,1553037821,718665,5010
X,1553037821,718627,2977
X,1553037822,718941,2114
X,1553037823,718831,977
X,1553037823,718684,2212
X,1553037824,718506,1253
X,1553037824,718425,1180
X,1553037825,718455,798
X,1553037825,718711,2545
X,1553037826,718628,1801
X,1553037827,718671,1040
X,1553037827,718706,1587
X,1553037828,719045,1232
X,1553037828,718853,1066
X,1553037829,718894,939
X,1553037829,718811,2561
X,1553037830,719020,881
X,1553037831,718904,1627
X,1553037831,718972,1110
P,1553037831,5133
X,1553037831,718950,2428
X,1553037831,718996,1177
X,1553037832,718361,1124
X,1553037832,718351,1049
X,1553037833,718778,2744
X,1553037833,719037,1089
X,1553037834,719035,804
X,1553037835,719009,2083
X,1553037835,719154,576
X,1553037836,719116,1636
X,1553037836,719060,904
X,1553037837,719118,1367
X,1553037837,719344,941
X,1553037838,719138,1196
X,1553037839,719290,914
X,1553037839,719208,2037
X,1553037840,719325,1124
X,1553037840,719188,1227
X,1553037841,719279,890
X,1553037841,719454,1418
X,1553037842,719851,1234
X,1553037843,719480,1713
X,1553037843,719477,1277
X,1553037844,719501,1051
X,1553037844,719662,1426
X,1553037845,719584,953
X,1553037845,719794,1064
X,1553037846,719462,1968
X,1553037847,719413,1334
X,1553037847,719234,1164
X,1553037848,719057,1164
X,1553037848,719085,1403
X,1553037849,719336,1157
X,1553037849,719168,1668
X,1553037850,719232,790
X,1553037850,719438,853
X,1553037851,719511,2473
X,1553037852,719290,913
X,1553037852,719391,933
X,1553037853,719465,898
X,1553037853,719484,2698
X,1553037854,719480,948
X,1553037854,719444,467
A,1553037854,719172,1129
T,1553037855,2771
R,1553037855,700D98F55
R,1553037855,700D98F55
R,1553037855,700D98F55
X,1553037856,719245,1122
X,1553037857,719146,1371
X,1553037858,719198,1077
X,1553037858,718996,2510
X,1553037859,719482,1111
X,1553037859,719483,1057
X,1553037860,719145,1002
X,1553037860,719061,2308
P,1553037861,5132
X,1553037861,719346,1018
X,1553037861,719169,402
X,1553037862,719155,903
X,1553037863,719003,937
X,1553037863,719130,1645
X,1553037864,719086,1433
X,1553037864,719011,
