H,1554515046,337272
D,1554515046,457728
D,1554515048,457728
D,1554515050,457728
D,1554515053,458240
D,1554515054,458752
D,1554515056,457728
D,1554515058,458496
D,1554515060,458240
D,1554515063,457984
D,1554515065,446208
D,1554515067,546048
P,1554515069,5071
D,1554515069,477952
D,1554515071,455424
D,1554515074,457728
D,1554515076,458240
D,1554515078,458496
D,1554515080,457728
D,1554515082,457984
D,1554515085,457728
D,1554515087,457728
D,1554515089,457728
D,1554515091,458496
D,1554515093,454912
D,1554515095,456960
D,1554515097,457472
P,1554515098,5073
D,1554515099,458240
D,1554515101,459008
D,1554515103,457984
D,1554515106,457984
D,1554515108,457472
D,1554515110,457472
D,1554515112,457728
D,1554515114,456448
D,1554515117,456960
P,1554515128,5072
P,1554515157,5073
P,1554515186,5074
P,1554515216,5074
D,1554515230,455936
D,1554515232,459008
D,1554515235,460288
D,1554515237,460544
P,1554515245,5074
P,1554515274,5074
P,1554515303,5075
P,1554515334,5075
P,1554515363,5073
P,1554515392,5075
P,1554515422,5074
P,1554515451,5075
P,1554515480,5074
P,1554515509,5075
P,1554515539,5074
P,1554515568,5074
O,1554515580,342264,2445
O,1554515581,342542,132
O,1554515581,342631,108
O,1554515582,342558,152
O,1554515582,342535,150
O,1554515583,342555,202
O,1554515584,342601,71
O,1554515584,342518,128
O,1554515585,342488,112
O,1554515585,342427,182
O,1554515586,342394,74
O,1554515586,342416,115
O,1554515587,342418,119
O,1554515587,342536,101
O,1554515587,342502,119
O,1554515588,342464,98
O,1554515588,342406,91
O,1554515589,342425,107
O,1554515589,342329,180
O,1554515590,342227,129
O,1554515591,342264,169
O,1554515591,342309,135
O,1554515592,342235,197
O,1554515592,342179,205
O,1554515593,342177,235
O,1554515593,342230,225
O,1554515594,342411,94
O,1554515595,342401,110
O,1554515595,342444,105
O,1554515596,342448,134
O,1554515596,342445,88
O,1554515597,342433,129
O,1554515597,342484,123
P,1554515597,5068
O,1554515598,342488,136
O,1554515599,342478,104
O,1554515599,342469,139
O,1554515600,342522,74
O,1554515600,342481,85
O,1554515601,342518,126
O,1554515601,342577,139
O,1554515602,342632,98
O,1554515602,342728,185
O,1554515603,342866,138
O,1554515604,342886,95
O,1554515604,342726,208
O,1554515605,342717,195
O,1554515605,342810,39
O,1554515606,342507,567
O,1554515606,342304,116
O,1554515607,342329,109
O,1554515608,342314,78
O,1554515608,342394,219
O,1554515609,342394,97
O,1554515609,342375,109
O,1554515610,342371,118
O,1554515610,342408,103
O,1554515611,342426,70
O,1554515612,342420,130
O,1554515612,342409,127
O,1554515613,342442,141
O,1554515613,342485,70
O,1554515614,342499,174
O,1554515614,342466,129
O,1554515615,342459,59
O,1554515616,342429,53
O,1554515616,342477,90
O,1554515617,342450,157
O,1554515617,342411,92
O,1554515618,342398,101
O,1554515618,342445,67
O,1554515619,342462,142
O,1554515619,342503,148
O,1554515620,342545,157
O,1554515621,342578,88
O,1554515621,342612,108
O,1554515622,342644,98
O,1554515622,342654,79
O,1554515623,342699,134
O,1554515623,342669,172
O,1554515624,342648,156
O,1554515625,342612,78
O,1554515625,342593,92
O,1554515626,342563,69
O,1554515626,342607,332
O,1554515627,342736,126
O,1554515627,342954,145
P,1554515628,5068
O,1554515628,342977,199
O,1554515628,342951,114
O,1554515628,342785,188
O,1554515629,342775,153
O,1554515629,342629,242
O,1554515630,342606,147
O,1554515630,342620,85
O,1554515631,342649,102
O,1554515632,342694,74
O,1554515632,342688,118
O,1554515633,342669,147
O,1554515633,342617,181
O,1554515634,342540,194
O,1554515634,342471,181
O,1554515635,342512,75
T,1554515635,2739
P,1554515657,5074
P,1554515686,5074
P,1554515715,5072
P,1554515745,5073
P,1554515774,5076
P,1554515803,5074
P,1554515833,5073
P,1554515862,5074
P,1554515891,5074
P,1554515921,5073
P,1554515951,5074
P,1554515980,5074
P,1554516009,5074
P,1554516038,5075
P,1554516068,5074
P,1554516097,5075
P,1554516126,5073
P,1554516156,5074
P,1554516185,5074
P,1554516215,5075
P,1554516244,5074
P,1554516274,5074
P,1554516303,5074
P,1554516332,5074
P,1554516362,5074
P,1554516391,5075
P,1554516420,5075
P,1554516449,5075
P,1554516479,5074
P,1554516509,5074
P,1554516538,5074
P,1554516568,5075
P,1554516597,5074
P,1554516626,5074
P,1554516655,5074
P,1554516685,5074
P,1554516714,5074
P,1554516743,5074
P,1554516773,5075
P,1554516804,5075
P,1554516833,5074
P,1554516862,5075
P,1554516892,5075
P,1554516921,5074
