H,1554520242,337272
P,1554520242,5072
P,1554520271,5073
P,1554520301,5072
P,1554520331,5074
P,1554520360,5072
P,1554520389,5071
P,1554520419,5071
D,1554520442,591360
R,1554520442,700D98F55
R,1554520442,700D98F55
R,1554520442,700D98F55
X,1554520444,773197,26676
X,1554520444,771272,5657
X,1554520445,771148,25482
X,1554520446,771457,6766
X,1554520446,771821,9150
X,1554520447,772937,11018
X,1554520447,773445,3814
X,1554520448,773331,1842
P,1554520448,5065
X,1554520448,774013,3072
X,1554520449,773450,4852
X,1554520450,774179,6509
X,1554520450,772454,6084
X,1554520451,771970,2455
X,1554520451,772759,14810
X,1554520452,772516,5480
X,1554520452,772376,5125
X,1554520453,771250,5996
X,1554520453,772356,3224
X,1554520454,772332,1634
X,1554520455,772494,4002
X,1554520455,771725,14614
X,1554520456,770270,6501
X,1554520456,770218,11188
X,1554520457,769998,16018
X,1554520457,766297,63992
X,1554520458,778887,26411
X,1554520459,775712,17958
X,1554520459,776829,10118
X,1554520460,774875,14965
X,1554520460,776042,11298
X,1554520461,775623,16450
X,1554520461,775351,6678
X,1554520462,776079,4952
X,1554520463,775511,11463
X,1554520463,777081,1697
X,1554520464,776555,5617
X,1554520464,777141,5286
X,1554520465,775985,3590
X,1554520465,775377,2663
X,1554520466,774946,2916
X,1554520467,775130,4191
X,1554520467,775356,4218
X,1554520468,775676,6071
X,1554520468,775283,8133
X,1554520468,775941,6848
X,1554520468,774927,2857
X,1554520469,776757,17227
X,1554520469,776219,7190
X,1554520470,778343,10285
X,1554520471,777250,6953
X,1554520471,777279,5022
X,1554520472,776862,4014
X,1554520472,777502,1950
X,1554520473,777637,3207
X,1554520473,777538,4220
X,1554520474,778119,8102
X,1554520475,778409,2583
X,1554520475,777905,3423
X,1554520476,777563,3020
X,1554520476,778547,3458
X,1554520477,778051,5410
P,1554520477,5063
X,1554520477,778292,2969
X,1554520478,778020,3290
X,1554520479,778171,7782
X,1554520479,775696,5653
X,1554520480,775490,5966
X,1554520480,775785,6134
X,1554520481,775241,3614
X,1554520481,774820,17871
X,1554520482,775192,4831
X,1554520483,774834,6800
X,1554520483,775498,13056
X,1554520484,777950,6335
X,1554520484,776559,4832
X,1554520485,776503,5538
X,1554520485,776542,4881
X,1554520486,776391,5886
X,1554520487,776767,4707
X,1554520487,776829,3633
X,1554520488,776407,4718
X,1554520488,776627,5345
X,1554520489,776827,2705
X,1554520489,776882,2999
X,1554520490,776308,9723
X,1554520490,777108,16038
X,1554520491,773574,17925
X,1554520492,775108,19534
X,1554520492,775800,16433
X,1554520493,776743,11199
X,1554520493,775057,13772
X,1554520494,775176,6686
X,1554520494,775675,5762
X,1554520495,775304,7645
X,1554520496,775944,8239
X,1554520496,775857,5104
X,1554520497,776056,7495
X,1554520497,775107,6786
X,1554520498,775940,13795
X,1554520498,774399,15504
X,1554520499,775440,14205
X,1554520500,774601,28213
X,1554520500,773362,50477
X,1554520501,775168,4208
X,1554520501,773931,9819
X,1554520502,775474,21907
X,1554520502,775858,10154
X,1554520503,775526,7235
X,1554520504,775284,3986
X,1554520504,775608,3828
X,1554520505,775868,6350
X,1554520505,776173,4128
X,1554520506,775569,5394
X,1554520506,775312,10196
X,1554520507,775921,14911
P,1554520507,5064
X,1554520507,775644,11721
X,1554520508,775654,6324
X,1554520509,775464,26221
X,1554520509,775221,9198
X,1554520509,774698,3215
X,1554520509,774453,1419
X,1554520510,774524,4728
X,1554520510,774534,3498
X,1554520511,774462,2404
X,1554520512,774453,3189
X,1554520512,774362,2493
X,1554520513,774644,3602
X,1554520513,774403,16280
X,1554520514,774380,5010
X,1554520514,774589,8143
X,1554520515,774521,1811
X,1554520516,774581,3539
X,1554520516,774531,8045
X,1554520517,774263,3646
X,1554520517,774303,2786
X,1554520518,774607,4489
X,1554520518,774391,2652
X,1554520519,774303,2828
X,1554520520,774199,3130
X,1554520520,774514,4055
X,1554520521,774462,4158
X,1554520521,774351,3293
X,1554520522,774608,4302
X,1554520522,774550,5081
X,1554520523,774707,3144
X,1554520523,774623,2343
X,1554520524,774595,1956
X,1554520525,774431,2773
X,1554520525,774570,3327
X,1554520526,774555,3723
X,1554520526,774501,3673
X,1554520527,774840,4875
X,1554520527,774618,2810
X,1554520528,774384,3127
X,1554520529,774401,3442
X,1554520529,774532,3106
X,1554520530,774333,3854
X,1554520530,774830,5873
X,1554520531,774488,5563
X,1554520531,775001,5171
X,1554520532,774035,13255
