H,1554607101,337272
X,1554607101,797888,1195
X,1554607101,798170,1253
X,1554607102,797953,1286
X,1554607103,797949,5116
X,1554607103,798379,2990
X,1554607104,797871,15506
X,1554607104,797848,9413
X,1554607105,798129,8218
X,1554607105,798290,3276
X,1554607106,798252,2257
X,1554607106,798398,1102
X,1554607107,798355,1264
X,1554607108,798190,595
A,1554607108,798158,723
T,1554607108,2815
U,1554607108,36693
X,1554607110,798205,756
X,1554607110,798226,848
X,1554607111,798103,1924
X,1554607111,798206,1226
X,1554607112,798113,1562
P,1554607112,5049
X,1554607112,798176,969
X,1554607113,798279,885
X,1554607114,798293,1630
X,1554607114,798328,506
X,1554607115,798119,547
X,1554607115,798194,793
X,1554607116,798202,839
X,1554607116,798412,1184
X,1554607117,798077,2100
X,1554607118,798144,1603
X,1554607118,798007,857
X,1554607119,798130,1578
X,1554607119,798303,794
X,1554607119,798115,1587
X,1554607119,798140,1315
X,1554607120,798193,1747
X,1554607121,798304,1279
X,1554607121,797986,1055
X,1554607122,798066,973
X,1554607122,798104,891
X,1554607123,798187,1285
X,1554607123,798233,1425
X,1554607124,797912,1301
X,1554607124,798068,2016
X,1554607125,798075,1074
X,1554607126,798339,1712
X,1554607126,798154,1317
X,1554607127,798033,1249
X,1554607127,798128,1197
X,1554607128,798310,1154
X,1554607128,798168,1453
X,1554607129,798085,1576
X,1554607130,798161,1365
X,1554607130,798160,562
X,1554607131,798358,870
X,1554607131,798195,1391
X,1554607132,798217,684
X,1554607132,798234,1014
X,1554607133,798334,2319
X,1554607134,798497,1173
X,1554607134,798321,1211
X,1554607135,798326,1199
X,1554607135,798339,1149
X,1554607136,798340,1735
X,1554607136,798335,1001
X,1554607137,798307,1537
X,1554607138,798368,1015
X,1554607138,798184,1081
X,1554607139,798622,936
X,1554607139,798231,1039
X,1554607140,798395,1119
X,1554607140,798401,1078
X,1554607141,798355,1852
P,1554607141,5069
X,1554607141,798316,1677
X,1554607142,798318,1071
X,1554607143,798254,1368
X,1554607143,798119,1270
X,1554607144,798436,1280
X,1554607144,798249,1567
X,1554607145,798268,1154
X,1554607145,798278,1284
X,1554607146,798356,3293
X,1554607147,798207,2567
X,1554607147,798163,2002
X,1554607148,798262,1305
X,1554607148,798228,989
X,1554607149,798247,1163
X,1554607149,798258,1787
X,1554607150,798284,1459
X,1554607151,798156,1681
X,1554607151,798525,1609
X,1554607152,798246,1290
X,1554607152,798308,1439
X,1554607153,798444,1206
X,1554607153,798459,2401
X,1554607154,798649,1311
X,1554607155,798320,1704
X,1554607155,798532,1423
X,1554607156,798365,1561
X,1554607156,798641,1018
X,1554607157,798315,1707
X,1554607157,798343,1903
X,1554607158,798396,1372
X,1554607158,798362,1592
X,1554607159,798395,1318
X,1554607160,798379,946
X,1554607160,798299,890
X,1554607160,798373,1219
X,1554607160,798660,1637
X,1554607161,798372,1359
X,1554607161,798296,1429
X,1554607162,798483,1345
X,1554607163,798496,1530
X,1554607163,798529,1315
X,1554607164,798353,956
A,1554607164,798241,615
T,1554607164,2815
U,1554607164,36693
X,1554607166,798388,1177
X,1554607166,798395,1413
X,1554607167,798396,740
X,1554607167,798314,1627
X,1554607168,798511,1514
X,1554607169,798252,1714
X,1554607169,798245,1179
X,1554607170,798334,406
X,1554607170,798483,940
P,1554607170,5071
X,1554607171,798423,986
X,1554607171,798081,834
X,1554607172,798249,1168
X,1554607173,798184,1142
X,1554607173,798473,1739
X,1554607174,798253,1090
X,1554607174,798203,1194
X,1554607175,798326,1119
X,1554607175,798470,1144
X,1554607176,798364,1239
X,1554607176,798315,1755
X,1554607177,798262,2560
X,1554607178,798074,1623
X,1554607178,798334,2072
X,1554607179,798323,1391
X,1554607179,798334,1453
X,1554607180,798264,1168
X,1554607180,798218,2147
X,1554607181,798386,3414
X,1554607182,798561,3557
X,1554607182,796827,21563
X,1554607183,798407,1167
X,1554607183,798561,910
X,1554607184,798229,3563
X,1554607184,798599,716
X,1554607185,798323,807
X,1554607186,798557,1360
X,1554607186,798351,972
X,1554607187,798318,968
X,1554607187,798283,1140
X,1554607188,798243,1785
X,1554607188,798382,1251
X,1554607189,798271,1031
X,1554607190,798407,928
X,1554607190,798152,782
X,1554607191,798534,981
X,1554607191,798413,680
X,1554607192,798275,637
X,1554607192,797890,4883
X,1554607193,798084,1340
X,1554607193,798131,1372
