H,1548456603,419369
P,1548456603,5183
P,1548456632,5184
P,1548456662,5183
P,1548456691,5184
P,1548456720,5184
P,1548456749,5184
P,1548456780,5183
P,1548456809,5184
P,1548456838,5182
P,1548456868,5184
P,1548456897,5183
P,1548456926,5184
P,1548456955,5183
P,1548456985,5184
P,1548457014,5184
P,1548457043,5183
P,1548457073,5184
P,1548457103,5183
P,1548457132,5183
P,1548457161,5182
P,1548457191,5183
P,1548457220,5182
P,1548457249,5183
P,1548457278,5182
P,1548457308,5184
P,1548457337,5183
P,1548457367,5183
P,1548457397,5184
P,1548457426,5184
P,1548457455,5184
P,1548457485,5184
P,1548457515,5184
P,1548457544,5183
P,1548457573,5183
P,1548457603,5183
P,1548457632,5183
P,1548457662,5184
P,1548457691,5183
P,1548457721,5184
P,1548457750,5183
P,1548457779,5183
P,1548457809,5183
P,1548457838,5183
P,1548457867,5183
P,1548457896,5183
P,1548457926,5183
P,1548457956,5183
P,1548457985,5183
P,1548458015,5184
P,1548458044,5184
P,1548458073,5183
P,1548458102,5184
P,1548458132,5184
P,1548458161,5183
P,1548458190,5182
P,1548458220,5184
P,1548458250,5183
P,1548458279,5183
P,1548458308,5182
P,1548458338,5183
P,1548458367,5183
O,1548458395,363069,2497
O,1548458396,363301,52
P,1548458396,5176
O,1548458396,363300,141
O,1548458397,363308,114
O,1548458397,363296,55
O,1548458398,363297,65
O,1548458399,363302,66
O,1548458399,363280,86
O,1548458400,363298,60
O,1548458400,363323,140
O,1548458401,363309,91
O,1548458401,363329,79
O,1548458402,363322,110
O,1548458402,363311,55
O,1548458403,363313,99
O,1548458404,363326,117
O,1548458404,363325,133
O,1548458405,363331,132
O,1548458405,363313,68
O,1548458406,363287,120
O,1548458406,363278,116
O,1548458407,363287,61
O,1548458408,363280,116
O,1548458408,363281,107
O,1548458409,363267,86
O,1548458409,363299,124
O,1548458410,363298,161
O,1548458410,363298,67
O,1548458411,363317,82
O,1548458412,363313,50
O,1548458412,363321,90
O,1548458413,363326,82
O,1548458413,363352,97
O,1548458414,363324,108
O,1548458414,363344,95
O,1548458415,363352,144
O,1548458416,363352,84
O,1548458416,363351,63
O,1548458417,363377,147
O,1548458417,363362,135
O,1548458418,363371,107
O,1548458418,363351,119
O,1548458419,363331,121
O,1548458419,363336,116
O,1548458420,363327,152
O,1548458421,363321,115
O,1548458421,363305,121
O,1548458422,363331,58
O,1548458422,363340,124
O,1548458423,363358,94
O,1548458423,363354,124
O,1548458424,363373,69
O,1548458425,363360,143
O,1548458425,363328,120
O,1548458426,363342,116
P,1548458426,5174
O,1548458426,363311,114
O,1548458427,363320,185
O,1548458427,363309,66
O,1548458427,363317,142
O,1548458428,363292,112
O,1548458428,363315,152
O,1548458429,363341,151
O,1548458429,363267,95
O,1548458430,363331,111
O,1548458430,363253,150
O,1548458431,363223,68
O,1548458432,363231,111
O,1548458432,363177,74
O,1548458433,363240,158
O,1548458433,363285,119
O,1548458434,363120,266
O,1548458434,363102,188
O,1548458435,363049,257
O,1548458436,363169,65
O,1548458436,363196,134
O,1548458437,363251,86
O,1548458437,363257,97
O,1548458438,363260,103
O,1548458438,363243,81
O,1548458439,363242,97
O,1548458439,363261,108
O,1548458440,363213,105
O,1548458441,363221,106
O,1548458441,363269,70
O,1548458442,363262,108
O,1548458442,363284,99
O,1548458443,363295,101
O,1548458443,363282,131
O,1548458444,363245,105
O,1548458445,363205,123
O,1548458445,363241,94
O,1548458446,363259,103
O,1548458446,363284,111
O,1548458447,363299,69
O,1548458447,363287,101
O,1548458448,363315,191
O,1548458449,363317,61
O,1548458449,363315,132
O,1548458450,363296,97
O,1548458450,363301,58
O,1548458451,363305,130
T,1548458451,2725
P,1548458455,5183
P,1548458484,5182
P,1548458513,5182
P,1548458544,5183
P,1548458573,5181
P,1548458602,5182
P,1548458632,5183
P,1548458661,5183
P,1548458690,5183
P,1548458719,5183
P,1548458749,5184
P,1548458778,5183
P,1548458807,5183
P,1548458837,5183
P,1548458867,5183
P,1548458896,5182
P,1548458925,5182
P,1548458955,5183
P,1548458984,5183
P,1548459013,5183
P,1548459042,5182
P,1548459072,5184
P,1548459101,5183
P,1548459131,5183
P,1548459161,5181
P,1548459190,5183
P,1548459219,5183
P,1548459248,5183
P,1548459278,5183
P,1548459307,5182
P,1548459336,5183
P,1548459366,5182
P,1548459395,5183
P,1548459425,5182
P,1548459454,5183
P,1548459484,5182
P,1548459513,5182
P,1548459542,5183
