H,1548254851,189654
X,1548254851,609298,8486
X,1548254852,647424,1274
X,1548254852,647055,737
X,1548254853,647412,741
X,1548254853,647888,759
X,1548254854,648389,758
X,1548254854,648640,743
A,1548254854,575885,32731
T,1548254855,2781
U,1548254855,36729
X,1548254856,648982,1106
X,1548254857,649021,898
X,1548254858,648764,828
X,1548254858,648771,573
X,1548254859,649087,1117
X,1548254859,649317,1219
X,1548254860,649315,419
X,1548254860,649285,1523
X,1548254861,649330,1378
X,1548254861,649455,2156
X,1548254862,649523,605
X,1548254863,650373,6807
X,1548254863,649602,16659
X,1548254864,651803,17358
X,1548254864,582676,49066
X,1548254865,552507,9574
X,1548254865,553339,1005
X,1548254866,553426,384
X,1548254867,552991,776
X,1548254867,555636,6200
X,1548254868,695716,39239
C,1548254868,1
X,1548254868,730403,49289
X,1548254869,733546,32946
X,1548254869,731638,1921
X,1548254870,731890,389
P,1548254870,5046
X,1548254871,731846,767
X,1548254871,731986,1065
X,1548254872,732137,300
X,1548254872,732468,766
X,1548254873,732944,262
X,1548254873,732944,1801
X,1548254874,732994,1860
X,1548254875,732928,904
X,1548254875,732873,515
X,1548254876,733075,347
X,1548254876,732953,454
X,1548254877,732965,533
X,1548254877,733054,574
X,1548254878,733260,486
X,1548254878,733296,1028
X,1548254879,733341,7070
X,1548254880,733406,1951
X,1548254880,733491,1264
C,1548254880,0
X,1548254881,733425,2553
X,1548254881,733370,3717
X,1548254882,733512,1114
X,1548254882,733584,505
A,1548254882,693889,49521
T,1548254883,2782
U,1548254883,36729
X,1548254884,195818,1210
X,1548254885,196204,719
X,1548254885,196185,946
X,1548254885,196282,1445
X,1548254886,196233,894
X,1548254886,196267,724
X,1548254887,196531,1147
X,1548254887,197144,635
X,1548254888,196997,696
X,1548254889,196566,497
X,1548254889,437433,52297
X,1548254890,743324,41435
X,1548254890,732206,12087
X,1548254891,732689,1692
X,1548254891,732824,518
X,1548254892,732823,1379
X,1548254892,732863,882
X,1548254893,733026,2179
X,1548254894,733133,517
X,1548254894,733238,494
X,1548254895,733303,568
X,1548254895,733340,770
X,1548254896,733228,1368
X,1548254896,733372,2945
X,1548254897,733415,1181
X,1548254898,733445,613
X,1548254898,733438,393
X,1548254899,733537,323
P,1548254899,5039
X,1548254899,733596,444
X,1548254900,733648,1269
X,1548254900,733610,793
X,1548254901,733657,2191
X,1548254902,733715,1045
X,1548254902,733776,669
X,1548254903,733959,1884
X,1548254903,733915,1195
X,1548254904,733896,669
X,1548254904,733934,629
X,1548254905,733995,570
X,1548254905,734032,804
X,1548254906,734035,696
X,1548254907,734091,727
X,1548254907,734171,624
X,1548254908,734210,375
A,1548254908,733623,1386
T,1548254908,2784
U,1548254908,36729
X,1548254910,733307,32930
X,1548254910,733230,1851
X,1548254911,733495,759
X,1548254911,733598,542
X,1548254912,733719,590
X,1548254913,733776,502
X,1548254913,733828,548
X,1548254914,733886,973
X,1548254914,733922,1194
X,1548254915,733997,1082
X,1548254915,734063,946
X,1548254916,734078,918
X,1548254917,734094,816
X,1548254917,734144,2038
X,1548254918,734119,1493
X,1548254918,734155,1152
X,1548254919,734312,741
X,1548254919,734386,1272
X,1548254920,734403,1804
X,1548254920,734431,1053
X,1548254921,734418,316
X,1548254922,734563,731
X,1548254922,734500,502
X,1548254923,734373,467
X,1548254923,734421,558
X,1548254924,734539,264
X,1548254924,734499,105
X,1548254925,734617,211
C,1548254925,1
X,1548254926,734648,176
X,1548254926,734644,199
A,1548254926,734203,1153
T,1548254926,2784
U,1548254926,36729
X,1548254927,734655,236
X,1548254928,734706,203
X,1548254928,734774,293
P,1548254928,5034
X,1548254929,734745,121
X,1548254929,738142,37591
X,1548254930,751479,62434
C,1548254930,1
X,1548254931,373794,32218
X,1548254931,197852,22195
X,1548254932,194649,1220
X,1548254932,195147,991
X,1548254933,195545,1240
X,1548254933,195711,627
X,1548254934,195891,979
X,1548254934,196107,416
X,1548254935,196181,354
X,1548254936,196206,284
X,1548254936,196257,1010
X,1548254937,202386,13968
O,1548254937,206630,55777
O,1548254938,276001,12079
T,1548254938,2785
D,1548254939,210176
X,1548254941,331432,17418
X,1548254942,285310,56965
X,1548254942,176835,24465
X,1548254943,322476,29761
C,1548254943,1
X,1548254943,303054,17218
X,1548254944,177264,37629
