H,1548374318,274560
P,1548374318,5138
P,1548374349,5138
P,1548374378,5139
P,1548374407,5139
P,1548374436,5139
P,1548374466,5139
P,1548374495,5138
P,1548374524,5138
P,1548374554,5137
P,1548374583,5138
P,1548374612,5139
P,1548374642,5138
P,1548374672,5138
P,1548374701,5138
P,1548374730,5137
P,1548374759,5139
P,1548374789,5138
P,1548374818,5139
P,1548374847,5139
P,1548374877,5136
P,1548374906,5138
P,1548374936,5139
P,1548374965,5139
P,1548374995,5138
P,1548375024,5138
P,1548375053,5138
P,1548375083,5138
P,1548375112,5137
P,1548375141,5138
P,1548375170,5137
P,1548375200,5139
P,1548375230,5138
P,1548375259,5137
P,1548375289,5138
P,1548375318,5139
P,1548375347,5138
P,1548375376,5139
P,1548375406,5138
P,1548375435,5137
P,1548375464,5139
P,1548375494,5138
P,1548375524,5138
P,1548375553,5138
P,1548375582,5138
P,1548375612,5139
P,1548375641,5139
P,1548375670,5138
P,1548375700,5139
P,1548375729,5139
P,1548375758,5138
P,1548375787,5138
P,1548375818,5139
P,1548375847,5138
P,1548375876,5138
P,1548375906,5138
P,1548375935,5138
P,1548375964,5138
P,1548375993,5137
P,1548376023,5137
P,1548376052,5138
P,1548376081,5138
P,1548376112,5138
P,1548376141,5138
P,1548376170,5138
P,1548376199,5138
P,1548376229,5137
P,1548376258,5138
P,1548376287,5138
O,1548376289,302308,2042
O,1548376289,302508,142
O,1548376290,302494,72
O,1548376290,302482,88
O,1548376291,302489,85
O,1548376292,302473,106
O,1548376292,302457,67
O,1548376293,302462,157
O,1548376293,302440,99
O,1548376294,302449,94
O,1548376294,302417,128
O,1548376295,302406,83
O,1548376296,302415,107
O,1548376296,302389,80
O,1548376297,302399,83
O,1548376297,302377,94
O,1548376298,302385,89
O,1548376298,302359,118
O,1548376299,302335,84
O,1548376300,302337,101
O,1548376300,302345,94
O,1548376301,302340,91
O,1548376301,302340,105
O,1548376302,302302,107
O,1548376302,302314,68
O,1548376303,302312,64
O,1548376303,302307,129
O,1548376304,302303,65
O,1548376305,302295,64
O,1548376305,302301,97
O,1548376306,302312,99
O,1548376306,302288,73
O,1548376307,302278,57
O,1548376307,302253,101
O,1548376308,302256,102
O,1548376309,302251,125
O,1548376309,302258,103
O,1548376310,302243,77
O,1548376310,302237,104
O,1548376311,302242,106
O,1548376311,302227,97
O,1548376312,302223,66
O,1548376313,302214,113
O,1548376313,302197,174
O,1548376314,302210,89
O,1548376314,302200,79
O,1548376315,302177,76
O,1548376315,302190,75
O,1548376316,302198,116
O,1548376317,302187,144
O,1548376317,302171,98
P,1548376317,5131
O,1548376317,302151,47
O,1548376317,302160,109
O,1548376318,302130,130
O,1548376318,302135,88
O,1548376319,302130,70
O,1548376319,302132,126
O,1548376320,302125,112
O,1548376321,302121,105
O,1548376321,302111,133
O,1548376322,302103,58
O,1548376322,302114,125
O,1548376323,302089,77
O,1548376323,302068,114
O,1548376324,302095,144
O,1548376325,302070,91
O,1548376325,302059,121
O,1548376326,302069,115
O,1548376326,302073,100
O,1548376327,302046,73
O,1548376327,302041,98
O,1548376328,302049,46
O,1548376329,302050,94
O,1548376329,302032,138
O,1548376330,302013,93
O,1548376330,302017,78
O,1548376331,301970,99
O,1548376331,301974,55
O,1548376332,301955,117
O,1548376333,301945,60
O,1548376333,301963,158
O,1548376334,301962,78
O,1548376334,301993,89
O,1548376335,301988,62
O,1548376335,301985,115
O,1548376336,301979,115
O,1548376336,301973,80
O,1548376337,301987,88
O,1548376338,301973,82
O,1548376338,301963,87
O,1548376339,301980,123
O,1548376339,301962,153
O,1548376340,301962,142
O,1548376340,301953,110
O,1548376341,301945,146
O,1548376342,301948,73
O,1548376342,301954,69
O,1548376343,301970,135
O,1548376343,301957,87
O,1548376344,301965,93
O,1548376344,301949,85
T,1548376345,2680
P,1548376346,5137
P,1548376375,5138
P,1548376405,5138
P,1548376435,5139
P,1548376464,5139
P,1548376493,5137
P,1548376522,5138
P,1548376552,5137
P,1548376581,5138
P,1548376610,5137
P,1548376640,5137
P,1548376669,5138
P,1548376699,5139
P,1548376728,5137
P,1548376758,5138
P,1548376787,5138
P,1548376816,5138
P,1548376846,5138
P,1548376875,5138
P,1548376904,5138
P,1548376934,5138
P,1548376964,5138
P,1548376994,5137
P,1548377023,5136
P,1548377053,5138
P,1548377082,5137
P,1548377111,5138
P,1548377140,5138
P,1548377170,5139
P,1548377199,5138
P,1548377228,5139
P,1548377258,5139
P,1548377288,5137
P,1548377317,5138
