H,1549154799,274560
P,1549154799,5100
P,1549154829,5100
P,1549154858,5100
P,1549154887,5101
P,1549154917,5102
P,1549154947,5101
P,1549154976,5101
P,1549155005,5101
P,1549155035,5101
P,1549155064,5101
P,1549155093,5101
P,1549155123,5102
P,1549155152,5101
P,1549155181,5100
P,1549155210,5102
P,1549155241,5101
P,1549155270,5099
P,1549155299,5099
P,1549155329,5102
P,1549155358,5100
P,1549155387,5102
P,1549155416,5101
P,1549155446,5101
P,1549155475,5101
P,1549155504,5102
P,1549155534,5102
P,1549155564,5101
P,1549155593,5101
P,1549155622,5101
P,1549155652,5101
P,1549155681,5101
P,1549155711,5101
P,1549155740,5101
P,1549155770,5102
P,1549155799,5102
P,1549155829,5102
P,1549155859,5101
P,1549155888,5095
P,1549155917,5103
P,1549155946,5101
P,1549155976,5101
P,1549156005,5101
P,1549156034,5102
P,1549156064,5101
P,1549156093,5102
P,1549156123,5101
P,1549156152,5101
P,1549156182,5101
P,1549156211,5102
P,1549156240,5101
P,1549156270,5101
P,1549156299,5102
P,1549156328,5101
P,1549156357,5100
P,1549156387,5102
P,1549156417,5101
P,1549156446,5100
P,1549156476,5101
P,1549156505,5102
P,1549156534,5101
P,1549156563,5101
P,1549156593,5101
P,1549156622,5101
P,1549156651,5102
P,1549156681,5101
P,1549156711,5102
P,1549156740,5101
P,1549156769,5101
P,1549156799,5101
P,1549156828,5101
P,1549156857,5102
P,1549156887,5102
O,1549156896,321026,2170
O,1549156897,322066,469
O,1549156897,322450,248
O,1549156898,322634,209
O,1549156899,322505,219
O,1549156899,322687,192
O,1549156900,322660,96
O,1549156900,322623,185
O,1549156901,322504,227
O,1549156901,322446,206
O,1549156902,322663,177
O,1549156903,322504,136
O,1549156903,322549,277
O,1549156904,322624,385
O,1549156904,322652,156
O,1549156905,322784,187
O,1549156905,322886,153
O,1549156906,322876,133
O,1549156907,322864,120
O,1549156907,322888,132
O,1549156908,322889,149
O,1549156908,322787,81
O,1549156909,322663,75
O,1549156909,322660,122
O,1549156910,322681,63
O,1549156910,322566,241
O,1549156911,322363,167
O,1549156912,322500,286
O,1549156912,322594,284
O,1549156913,322653,307
O,1549156913,322426,272
O,1549156914,322204,1054
O,1549156914,321997,484
O,1549156915,322162,344
O,1549156916,322328,413
O,1549156916,322322,351
P,1549156916,5093
O,1549156917,321965,576
O,1549156917,321918,665
O,1549156918,322262,294
O,1549156918,321677,601
O,1549156919,321232,522
O,1549156920,321502,425
O,1549156920,321696,1247
O,1549156921,321932,653
O,1549156921,321044,607
O,1549156922,320954,851
O,1549156922,321588,463
O,1549156923,321426,550
O,1549156924,321778,943
O,1549156924,322005,614
O,1549156925,322100,1583
O,1549156925,322520,300
O,1549156926,322283,1143
O,1549156926,322839,186
O,1549156927,323158,289
O,1549156927,322898,202
O,1549156928,323302,668
O,1549156929,322750,326
O,1549156929,323235,606
O,1549156929,322492,796
O,1549156929,322181,383
O,1549156930,322560,1065
O,1549156930,321937,394
O,1549156931,322517,892
O,1549156932,322104,725
O,1549156932,322451,449
O,1549156933,322841,1127
O,1549156933,322564,507
O,1549156934,322917,1309
O,1549156934,323055,606
O,1549156935,322523,985
O,1549156936,322209,703
O,1549156936,322072,336
O,1549156937,321606,349
O,1549156937,321639,357
O,1549156938,321764,347
O,1549156938,321931,534
O,1549156939,322062,213
O,1549156940,322145,206
O,1549156940,322301,78
O,1549156941,322355,381
O,1549156941,321934,393
O,1549156942,321667,845
O,1549156942,322004,577
O,1549156943,321837,920
O,1549156943,321777,393
O,1549156944,321927,223
O,1549156945,322119,264
O,1549156945,321962,296
P,1549156945,5094
O,1549156946,322133,824
O,1549156946,321536,590
O,1549156947,320851,1022
O,1549156947,319932,1310
O,1549156948,321819,1656
O,1549156949,322890,556
O,1549156949,322922,217
O,1549156950,322942,126
O,1549156950,322779,241
O,1549156951,322600,103
O,1549156951,322234,583
O,1549156952,321460,1869
T,1549156952,2749
P,1549156974,5101
P,1549157005,5100
P,1549157034,5102
P,1549157063,5101
P,1549157093,5102
P,1549157122,5102
P,1549157151,5101
P,1549157180,5101
P,1549157210,5102
P,1549157239,5102
P,1549157268,5101
P,1549157298,5100
P,1549157328,5101
P,1549157357,5102
P,1549157386,5101
P,1549157416,5101
P,1549157445,5101
P,1549157474,5101
P,1549157503,5101
P,1549157533,5100
P,1549157562,5101
P,1549157592,5101
P,1549157622,5101
P,1549157651,5102
P,1549157680,5101
P,1549157709,5101
P,1549157739,5100
