H,1550027294,274560
P,1550027294,5096
P,1550027323,5096
P,1550027352,5096
P,1550027383,5096
P,1550027412,5097
P,1550027441,5096
P,1550027471,5096
P,1550027500,5095
P,1550027529,5094
P,1550027558,5096
P,1550027588,5096
P,1550027617,5095
P,1550027646,5097
P,1550027676,5095
P,1550027706,5096
P,1550027735,5096
P,1550027764,5095
P,1550027794,5096
P,1550027823,5096
P,1550027852,5095
P,1550027881,5096
P,1550027911,5095
P,1550027940,5094
P,1550027970,5096
P,1550028000,5096
P,1550028029,5097
P,1550028058,5096
P,1550028087,5096
P,1550028117,5097
P,1550028146,5095
P,1550028175,5095
P,1550028205,5096
P,1550028234,5096
P,1550028264,5096
P,1550028293,5095
P,1550028323,5096
P,1550028352,5095
P,1550028381,5097
P,1550028411,5095
P,1550028440,5097
P,1550028469,5096
P,1550028498,5096
P,1550028528,5095
P,1550028558,5096
P,1550028587,5096
P,1550028617,5096
P,1550028646,5096
O,1550028658,293518,2215
O,1550028659,293834,591
O,1550028659,293448,1514
O,1550028660,293327,561
O,1550028660,293555,461
O,1550028660,293593,850
O,1550028661,292956,1596
O,1550028661,292941,1190
O,1550028662,292304,909
O,1550028662,293100,1554
O,1550028663,294403,498
O,1550028663,294649,104
O,1550028664,294740,417
O,1550028665,293790,1188
O,1550028665,293982,352
O,1550028666,294005,183
O,1550028666,293525,688
O,1550028667,292403,969
O,1550028667,292525,1877
O,1550028668,293728,859
O,1550028669,294348,412
O,1550028669,293673,882
O,1550028670,293697,463
O,1550028670,293944,459
O,1550028671,293979,213
O,1550028671,293878,604
O,1550028672,293766,1039
O,1550028672,293636,1785
O,1550028673,293286,1741
O,1550028674,292454,597
O,1550028674,291908,2095
O,1550028675,291902,1506
P,1550028675,5089
O,1550028675,291954,850
O,1550028676,293845,1171
O,1550028676,294032,1412
O,1550028677,293130,932
O,1550028678,293360,490
O,1550028678,294060,593
O,1550028679,293390,881
O,1550028679,293277,1276
O,1550028680,291919,1663
O,1550028680,292403,1132
O,1550028681,293455,1085
O,1550028682,294291,243
O,1550028682,294470,127
O,1550028683,294301,283
O,1550028683,294142,119
O,1550028684,294216,368
O,1550028684,294417,208
O,1550028685,294225,555
O,1550028686,293612,949
O,1550028686,293275,1845
O,1550028687,292614,1164
O,1550028687,292236,1906
O,1550028688,292224,1706
O,1550028688,291782,989
O,1550028689,292018,1551
O,1550028689,293374,1729
O,1550028690,293340,1615
O,1550028691,293658,1601
O,1550028691,293987,312
O,1550028692,294118,634
O,1550028692,294396,255
O,1550028693,293599,1244
O,1550028693,293595,868
O,1550028694,293546,677
O,1550028695,293885,645
O,1550028695,294082,483
O,1550028696,294131,194
O,1550028696,293871,434
O,1550028697,293402,409
O,1550028697,294169,927
O,1550028698,292802,1563
O,1550028699,293330,747
O,1550028699,293770,359
O,1550028700,293881,932
O,1550028700,292733,1761
O,1550028701,293429,535
O,1550028701,293316,546
O,1550028701,293196,329
O,1550028702,293605,1409
O,1550028702,293940,774
O,1550028703,294650,396
O,1550028703,294805,154
O,1550028704,294691,348
P,1550028704,5087
O,1550028704,294061,357
O,1550028705,294035,395
O,1550028705,293501,787
O,1550028706,293460,1123
O,1550028707,294294,502
O,1550028707,293828,2075
O,1550028708,292405,1361
O,1550028708,292009,2718
O,1550028709,293240,1462
O,1550028709,292296,730
O,1550028710,292517,1028
O,1550028711,292793,634
O,1550028711,292878,741
O,1550028712,292466,342
O,1550028712,292493,1034
O,1550028713,293203,978
T,1550028713,2727
P,1550028734,5096
P,1550028763,5095
P,1550028792,5095
P,1550028822,5096
P,1550028852,5095
P,1550028882,5095
P,1550028911,5096
P,1550028941,5095
P,1550028970,5095
P,1550028999,5095
P,1550029029,5095
P,1550029058,5094
P,1550029087,5095
P,1550029116,5095
P,1550029147,5095
P,1550029176,5095
P,1550029205,5096
P,1550029235,5095
P,1550029264,5096
P,1550029293,5097
P,1550029322,5097
P,1550029352,5096
P,1550029381,5096
P,1550029410,5096
P,1550029440,5096
P,1550029470,5095
P,1550029499,5093
P,1550029528,5095
P,1550029558,5096
P,1550029587,5096
P,1550029616,5095
P,1550029645,5095
P,1550029675,5096
P,1550029704,5097
P,1550029734,5096
P,1550029764,5095
P,1550029793,5095
P,1550029822,5095
P,1550029851,5096
P,1550029881,5096
P,1550029910,5096
P,1550029939,5096
P,1550029969,5094
P,1550029998,5096
P,1550030028,5094
P,1550030057,5095
P,1550030087,5095
P,1550030116,5095
P,1550030145,5096
P,1550030175,5094
P,1550030204,5096
P,1550030233,5096
P,1550030262,5096
P,1550030292,5096
