H,1550332800,274560
U,1550332800,0
E,1550332800,1
P,1550332800,5112
P,1550332829,5111
P,1550332859,5111
P,1550332888,5111
P,1550332917,5112
P,1550332946,5111
P,1550332976,5111
P,1550333006,5110
P,1550333035,5110
P,1550333066,5111
P,1550333095,5110
P,1550333124,5111
P,1550333153,5110
P,1550333183,5110
P,1550333212,5111
P,1550333241,5112
P,1550333271,5112
P,1550333300,5111
P,1550333329,5111
P,1550333359,5111
P,1550333389,5111
P,1550333418,5111
P,1550333447,5111
P,1550333476,5111
P,1550333506,5111
P,1550333535,5111
P,1550333564,5110
P,1550333594,5111
P,1550333623,5112
P,1550333653,5112
P,1550333682,5112
P,1550333712,5111
P,1550333741,5112
P,1550333770,5112
P,1550333800,5111
P,1550333829,5111
P,1550333858,5111
P,1550333887,5111
P,1550333917,5111
P,1550333947,5112
O,1550333961,316504,2276
O,1550333961,316725,437
O,1550333962,316759,173
O,1550333963,316633,241
O,1550333963,316576,268
O,1550333964,316435,234
O,1550333964,316706,741
O,1550333965,316627,308
O,1550333965,316820,316
O,1550333966,316843,120
O,1550333967,316657,175
O,1550333967,316636,187
O,1550333968,316535,435
O,1550333968,316689,289
O,1550333968,316816,420
O,1550333968,316764,363
O,1550333969,316794,473
O,1550333969,316707,317
O,1550333970,316690,157
O,1550333971,316954,149
O,1550333971,317022,349
O,1550333972,316988,197
O,1550333972,316914,569
O,1550333973,316689,681
O,1550333973,316751,269
O,1550333974,316692,298
O,1550333975,316795,273
O,1550333975,316757,216
P,1550333976,5106
O,1550333976,316896,100
O,1550333976,316893,287
O,1550333977,316735,257
O,1550333977,316766,267
O,1550333978,316768,240
O,1550333979,316868,138
O,1550333979,316540,316
O,1550333980,316430,333
O,1550333980,316592,318
O,1550333981,316624,82
O,1550333981,316571,244
O,1550333982,316539,193
O,1550333983,316512,204
O,1550333983,316427,348
O,1550333984,316378,441
O,1550333984,316360,306
O,1550333985,316461,183
O,1550333985,316402,301
O,1550333986,316474,483
O,1550333986,316387,575
O,1550333987,316295,783
O,1550333988,316260,363
O,1550333988,316296,161
O,1550333989,316369,629
O,1550333989,316324,725
O,1550333990,316426,294
O,1550333990,316411,241
O,1550333991,316537,413
O,1550333992,316657,277
O,1550333992,316752,116
O,1550333993,316558,227
O,1550333993,316654,418
O,1550333994,316622,242
O,1550333994,316573,198
O,1550333995,316466,324
O,1550333996,316503,280
O,1550333996,316418,220
O,1550333997,316359,290
O,1550333997,316374,178
O,1550333998,316462,178
O,1550333998,316527,243
O,1550333999,316421,241
O,1550334000,316312,131
O,1550334000,316134,132
O,1550334001,316106,498
O,1550334001,316192,237
O,1550334002,316215,206
O,1550334002,316131,222
O,1550334003,316331,374
O,1550334003,316760,243
O,1550334004,316765,152
O,1550334005,316671,155
O,1550334005,316728,159
P,1550334006,5106
O,1550334006,316653,165
O,1550334006,316571,416
O,1550334007,316377,177
O,1550334007,316518,217
O,1550334008,316596,90
O,1550334009,316626,149
O,1550334009,316585,203
O,1550334009,316513,282
O,1550334009,316497,206
O,1550334010,316206,413
O,1550334010,316289,386
O,1550334011,316508,212
O,1550334012,316500,671
O,1550334012,316130,804
O,1550334013,315952,389
O,1550334013,316176,99
O,1550334014,316239,356
O,1550334014,315995,325
O,1550334015,315930,326
O,1550334016,315960,196
T,1550334016,2910
P,1550334035,5112
P,1550334064,5112
P,1550334093,5110
P,1550334123,5112
P,1550334152,5111
P,1550334181,5111
P,1550334211,5111
P,1550334241,5111
P,1550334270,5112
P,1550334299,5111
P,1550334329,5111
P,1550334358,5111
P,1550334387,5111
P,1550334417,5112
P,1550334446,5111
P,1550334475,5112
P,1550334504,5111
P,1550334535,5111
P,1550334564,5112
P,1550334593,5112
P,1550334623,5112
P,1550334652,5112
P,1550334681,5112
P,1550334710,5113
P,1550334740,5110
P,1550334769,5112
P,1550334798,5112
P,1550334829,5112
P,1550334858,5111
P,1550334887,5111
P,1550334916,5110
P,1550334946,5111
P,1550334975,5112
P,1550335004,5111
P,1550335034,5111
P,1550335063,5112
P,1550335092,5112
P,1550335122,5112
P,1550335152,5112
P,1550335181,5113
P,1550335210,5113
P,1550335239,5112
P,1550335269,5111
P,1550335298,5112
P,1550335327,5112
P,1550335357,5112
P,1550335386,5112
P,1550335416,5112
P,1550335445,5112
P,1550335475,5111
P,1550335504,5112
P,1550335533,5111
P,1550335563,5110
P,1550335592,5112
P,1550335622,5112
P,1550335651,5111
P,1550335681,5113
P,1550335711,5112
P,1550335740,5112
