H,1548898480,381601
P,1548898480,5126
P,1548898509,5127
P,1548898538,5127
P,1548898567,5128
P,1548898598,5127
P,1548898627,5124
P,1548898656,5127
P,1548898686,5125
P,1548898715,5126
P,1548898744,5126
P,1548898773,5127
P,1548898803,5125
P,1548898832,5127
P,1548898861,5125
P,1548898892,5124
P,1548898921,5128
P,1548898950,5127
P,1548898979,5127
P,1548899009,5127
P,1548899038,5126
P,1548899067,5125
P,1548899097,5126
P,1548899126,5127
P,1548899155,5127
P,1548899185,5128
P,1548899215,5127
P,1548899244,5124
P,1548899273,5126
P,1548899302,5126
P,1548899332,5127
P,1548899361,5126
P,1548899390,5126
P,1548899420,5127
P,1548899449,5125
P,1548899479,5127
P,1548899508,5125
P,1548899538,5126
P,1548899567,5125
P,1548899596,5124
P,1548899626,5127
O,1548899651,287206,1841
O,1548899651,287397,110
O,1548899652,287387,132
O,1548899653,287360,109
O,1548899653,287399,104
O,1548899654,287426,124
O,1548899654,287447,88
O,1548899655,287429,80
P,1548899655,5117
O,1548899655,287424,103
O,1548899656,287373,140
O,1548899656,287382,94
O,1548899657,287360,88
O,1548899658,287358,105
O,1548899658,287323,74
O,1548899659,287341,87
O,1548899659,287317,97
O,1548899660,287400,93
O,1548899660,287415,86
O,1548899661,287385,127
O,1548899662,287372,69
O,1548899662,287407,88
O,1548899663,287379,75
O,1548899663,287369,161
O,1548899664,287331,120
O,1548899664,287342,89
O,1548899665,287354,98
O,1548899666,287361,84
O,1548899666,287368,116
O,1548899667,287376,84
O,1548899667,287376,103
O,1548899668,287371,145
O,1548899668,287368,86
O,1548899669,287357,73
O,1548899670,287388,157
O,1548899670,287406,111
O,1548899671,287395,78
O,1548899671,287383,112
O,1548899671,287389,102
O,1548899671,287384,139
O,1548899672,287383,87
O,1548899672,287370,103
O,1548899673,287376,115
O,1548899674,287384,102
O,1548899674,287361,84
O,1548899675,287353,72
O,1548899675,287344,83
O,1548899676,287344,128
O,1548899676,287354,90
O,1548899677,287343,99
O,1548899678,287342,88
O,1548899678,287328,76
O,1548899679,287297,109
O,1548899679,287297,113
O,1548899680,287318,171
O,1548899680,287350,119
O,1548899681,287359,99
O,1548899682,287366,85
O,1548899682,287358,90
O,1548899683,287336,83
O,1548899683,287341,70
O,1548899684,287353,123
P,1548899684,5117
O,1548899684,287350,102
O,1548899685,287340,140
O,1548899686,287386,82
O,1548899686,287336,41
O,1548899687,287378,104
O,1548899687,287353,53
O,1548899688,287337,112
O,1548899688,287314,86
O,1548899689,287324,117
O,1548899690,287310,142
O,1548899690,287363,91
O,1548899691,287324,156
O,1548899691,287272,105
O,1548899692,287283,143
O,1548899692,287287,89
O,1548899693,287286,116
O,1548899693,287295,77
O,1548899694,287338,103
O,1548899695,287343,114
O,1548899695,287369,42
O,1548899696,287368,90
O,1548899696,287345,95
O,1548899697,287358,65
O,1548899697,287365,147
O,1548899698,287380,108
O,1548899699,287361,64
O,1548899699,287375,167
O,1548899700,287396,103
O,1548899700,287402,93
O,1548899701,287370,98
O,1548899701,287359,108
O,1548899702,287317,96
O,1548899703,287299,74
O,1548899703,287338,140
O,1548899704,287326,86
O,1548899704,287340,111
O,1548899705,287304,116
O,1548899705,287297,119
O,1548899706,287320,108
O,1548899707,287338,90
T,1548899707,2709
P,1548899713,5126
P,1548899743,5126
P,1548899773,5127
P,1548899802,5125
P,1548899832,5127
P,1548899861,5127
P,1548899890,5126
P,1548899919,5127
P,1548899949,5127
P,1548899978,5128
P,1548900007,5126
P,1548900037,5127
P,1548900067,5125
P,1548900096,5127
P,1548900125,5127
P,1548900155,5126
P,1548900184,5120
P,1548900213,5128
P,1548900243,5125
P,1548900273,5127
P,1548900302,5125
P,1548900331,5128
P,1548900362,5125
P,1548900391,5127
P,1548900420,5126
P,1548900450,5127
P,1548900479,5126
P,1548900508,5126
P,1548900537,5126
P,1548900567,5125
P,1548900596,5127
P,1548900625,5128
P,1548900656,5125
P,1548900685,5125
P,1548900714,5125
P,1548900743,5126
P,1548900773,5125
P,1548900802,5126
P,1548900831,5127
P,1548900861,5123
P,1548900890,5127
P,1548900919,5123
P,1548900949,5127
P,1548900979,5127
P,1548901008,5126
P,1548901037,5127
P,1548901066,5127
P,1548901096,5128
P,1548901125,5127
P,1548901154,5127
P,1548901184,5126
P,1548901213,5127
P,1548901243,5128
P,1548901272,5125
P,1548901302,5125
P,1548901331,5126
P,1548901360,5126
P,1548901390,5126
P,1548901419,5126
P,1548901448,5129
P,1548901477,5127
