H,1549250019,381601
P,1549250019,5115
P,1549250048,5117
P,1549250077,5117
P,1549250106,5117
P,1549250136,5118
P,1549250166,5117
P,1549250195,5116
P,1549250225,5116
P,1549250254,5118
P,1549250283,5115
P,1549250312,5113
P,1549250342,5116
P,1549250371,5118
P,1549250400,5117
P,1549250430,5112
P,1549250460,5114
P,1549250489,5117
P,1549250518,5118
P,1549250548,5116
P,1549250577,5117
P,1549250606,5117
P,1549250635,5115
P,1549250665,5115
P,1549250694,5118
P,1549250723,5115
P,1549250754,5115
P,1549250783,5118
P,1549250812,5115
P,1549250841,5118
P,1549250871,5115
P,1549250900,5116
P,1549250929,5116
P,1549250959,5117
P,1549250988,5118
P,1549251017,5118
P,1549251047,5117
P,1549251077,5117
P,1549251106,5116
O,1549251115,299075,5278
O,1549251116,300696,2209
O,1549251116,301973,3088
O,1549251117,301771,3789
O,1549251118,301514,2677
O,1549251118,301148,2406
O,1549251119,298899,1315
O,1549251119,299436,2474
O,1549251120,299946,2623
O,1549251120,300369,506
O,1549251121,298929,1579
O,1549251122,297816,1119
O,1549251122,298727,1385
O,1549251123,298418,3352
O,1549251123,298825,2331
O,1549251124,298988,1055
O,1549251124,298613,1699
O,1549251125,298357,1166
O,1549251126,298966,1797
O,1549251126,297770,1699
O,1549251127,298175,1217
O,1549251127,298672,1725
O,1549251127,299149,2318
O,1549251127,299183,3673
O,1549251128,298153,3354
O,1549251128,298231,2592
O,1549251129,298099,1757
O,1549251130,297708,1666
O,1549251130,297072,1266
O,1549251131,297107,2120
O,1549251131,296494,1229
O,1549251132,296594,1194
O,1549251132,297101,752
O,1549251133,296940,2026
O,1549251134,297370,589
O,1549251134,297108,788
O,1549251135,297297,1285
P,1549251135,5106
O,1549251135,297480,732
O,1549251136,297503,1054
O,1549251136,297298,1255
O,1549251137,297456,1668
O,1549251138,297633,1202
O,1549251138,297468,971
O,1549251139,297839,1300
O,1549251139,297974,1439
O,1549251140,297909,517
O,1549251140,297618,509
O,1549251141,298030,441
O,1549251142,298306,492
O,1549251142,297741,395
O,1549251143,297540,912
O,1549251143,297456,1682
O,1549251144,297746,1044
O,1549251144,297945,636
O,1549251145,298433,708
O,1549251145,297730,890
O,1549251146,297632,887
O,1549251147,297652,1196
O,1549251147,298228,792
O,1549251148,298105,1326
O,1549251148,297612,536
O,1549251149,297163,1791
O,1549251149,296344,1150
O,1549251150,296925,688
O,1549251151,296335,1209
O,1549251151,296819,1455
O,1549251152,297414,603
O,1549251152,297574,656
O,1549251153,297461,934
O,1549251153,297254,1433
O,1549251154,298368,1508
O,1549251155,299648,979
O,1549251155,298686,2066
O,1549251156,299150,1378
O,1549251156,298394,1014
O,1549251157,299593,1290
O,1549251157,298352,1340
O,1549251158,298537,535
O,1549251159,298817,658
O,1549251159,298028,944
O,1549251160,297213,1393
O,1549251160,297707,699
O,1549251161,297983,479
O,1549251161,298014,775
O,1549251162,297980,734
O,1549251162,298128,1650
O,1549251163,297778,1493
O,1549251164,296766,1699
O,1549251164,296407,1734
O,1549251165,296847,1571
P,1549251165,5108
O,1549251165,296395,2242
O,1549251166,297706,1514
O,1549251166,299388,2692
O,1549251167,299530,1976
O,1549251168,299434,3900
O,1549251168,297685,2968
O,1549251168,297996,1438
O,1549251168,298806,1924
O,1549251169,297491,2029
O,1549251169,298112,975
O,1549251170,297632,1704
T,1549251170,2710
P,1549251194,5115
P,1549251223,5117
P,1549251252,5117
P,1549251282,5118
P,1549251311,5117
P,1549251341,5118
P,1549251371,5115
P,1549251400,5117
P,1549251429,5117
P,1549251458,5115
P,1549251488,5117
P,1549251517,5116
P,1549251546,5117
P,1549251576,5117
P,1549251605,5117
P,1549251636,5118
P,1549251665,5114
P,1549251695,5118
P,1549251724,5118
P,1549251753,5117
P,1549251783,5113
P,1549251812,5117
P,1549251841,5117
P,1549251870,5114
P,1549251900,5116
P,1549251930,5117
P,1549251959,5114
P,1549251989,5116
P,1549252018,5117
P,1549252047,5116
P,1549252076,5116
P,1549252106,5117
P,1549252135,5117
P,1549252164,5116
P,1549252194,5115
P,1549252224,5117
P,1549252253,5117
P,1549252282,5116
P,1549252312,5116
P,1549252341,5115
P,1549252370,5117
P,1549252399,5116
P,1549252429,5118
P,1549252458,5117
P,1549252487,5117
P,1549252518,5117
P,1549252547,5117
P,1549252576,5116
P,1549252605,5114
P,1549252635,5115
P,1549252664,5112
P,1549252693,5118
P,1549252723,5116
P,1549252752,5117
P,1549252781,5115
P,1549252811,5117
P,1549252841,5115
P,1549252870,5117
P,1549252899,5117
P,1549252929,5116
P,1549252958,5116
P,1549252987,5115
P,1549253016,5118
