H,1556673585,404376
X,1556673585,777037,2721
X,1556673585,776895,2065
X,1556673586,777190,4145
X,1556673586,777006,2482
X,1556673587,776827,1631
X,1556673588,777235,1810
X,1556673588,777315,7877
X,1556673589,777106,2706
X,1556673589,777061,1538
X,1556673590,777062,1438
X,1556673590,777037,869
X,1556673591,777008,1431
X,1556673592,777213,11005
X,1556673592,775815,15423
X,1556673593,776709,7918
X,1556673593,776985,20173
X,1556673594,776216,43368
X,1556673594,776628,26247
X,1556673595,777299,1959
X,1556673595,777123,933
X,1556673596,776981,2196
X,1556673597,777097,1970
X,1556673597,777327,38591
X,1556673598,776765,6169
P,1556673598,5243
X,1556673598,777259,1105
X,1556673599,777162,1769
X,1556673599,776884,1709
X,1556673600,777077,843
X,1556673601,776663,1267
X,1556673601,777034,1405
X,1556673602,776912,1885
X,1556673602,776917,948
X,1556673603,776279,3909
X,1556673603,778080,6317
X,1556673603,776886,3085
X,1556673604,777111,1764
X,1556673604,777002,1356
X,1556673605,776915,1541
X,1556673605,776976,1638
X,1556673606,777203,2902
X,1556673606,776797,1355
X,1556673607,776951,850
X,1556673608,776942,1827
X,1556673608,776995,1693
X,1556673609,777474,2215
X,1556673609,777224,1147
X,1556673610,777358,1480
X,1556673610,777218,2144
X,1556673611,777345,1161
X,1556673611,777491,1346
X,1556673612,777351,1117
X,1556673613,777534,1233
X,1556673613,777269,1439
X,1556673614,777221,1136
X,1556673614,777914,15288
X,1556673615,777678,15064
X,1556673615,778024,17494
X,1556673616,776321,18451
X,1556673617,777510,48578
X,1556673617,778049,2462
X,1556673618,777569,1417
X,1556673618,777656,1006
X,1556673619,777627,919
X,1556673619,777688,1518
X,1556673620,778006,2111
X,1556673621,777597,1096
X,1556673621,777550,1499
X,1556673622,777345,2212
X,1556673622,777418,1224
X,1556673623,777439,1218
X,1556673623,777299,1233
X,1556673624,777133,1250
X,1556673625,777358,1959
X,1556673625,777452,2834
X,1556673626,777351,956
X,1556673626,777336,1295
X,1556673627,777402,2687
P,1556673627,5256
X,1556673627,777222,1908
X,1556673628,777400,1753
X,1556673628,777626,808
X,1556673629,777752,1285
X,1556673630,777530,2301
X,1556673630,777692,1275
X,1556673631,777848,1557
X,1556673631,777625,991
X,1556673632,777448,1454
X,1556673632,777381,1428
X,1556673633,777533,1293
X,1556673634,777339,15986
X,1556673634,777034,18481
X,1556673635,777600,2629
X,1556673635,777457,559
X,1556673636,777530,1095
X,1556673636,777441,1401
X,1556673637,777498,1792
X,1556673638,777503,1537
X,1556673638,778284,8785
X,1556673639,777187,8738
X,1556673639,777262,8384
X,1556673640,777561,3068
X,1556673640,777861,5604
X,1556673641,777553,1064
X,1556673642,777300,1605
X,1556673642,777546,1027
X,1556673643,777407,1910
X,1556673643,776585,12476
X,1556673644,778139,19213
X,1556673644,777596,2121
X,1556673644,777488,1138
X,1556673644,777287,975
X,1556673645,777205,1974
X,1556673646,777323,1322
X,1556673646,777434,949
X,1556673647,777551,1029
X,1556673647,777171,2149
X,1556673648,775868,9982
X,1556673648,779228,25122
X,1556673649,776665,38756
X,1556673650,781948,37230
X,1556673650,772869,41109
X,1556673651,778530,37024
X,1556673651,487233,32924
X,1556673652,406233,1646
X,1556673652,406185,494
X,1556673653,406171,337
X,1556673654,406201,179
X,1556673654,406155,135
X,1556673655,405921,424
X,1556673655,405949,137
X,1556673656,405910,186
X,1556673656,405935,137
P,1556673656,5258
X,1556673657,405880,110
X,1556673658,405827,217
O,1556673658,405913,184
O,1556673659,405817,142
O,1556673659,405850,220
O,1556673660,405870,145
O,1556673660,405859,137
O,1556673661,405825,122
O,1556673661,405824,165
O,1556673662,405812,117
O,1556673663,405785,98
O,1556673663,405779,127
O,1556673664,405782,77
O,1556673664,405744,102
O,1556673665,405707,85
O,1556673665,405696,79
O,1556673666,405690,86
O,1556673667,405665,87
O,1556673667,405639,138
O,1556673668,405586,113
O,1556673668,405600,99
O,1556673669,405660,112
O,1556673669,405499,280
O,1556673670,405530,277
O,1556673671,405525,104
O,1556673671,405522,110
O,1556673672,405590,91
O,1556673672,405609,194
O,1556673673,405537,85
O,1556673673,405549,151
O,1556673674,405570,259
O,1556673675,405676,123
O,1556673675,405687,102
O,1556673676,405631,160
O,1556673676,405496,120
O,1556673677,405515,236
O,1556673677,405540,229
