4,787583,811
X,1557188614,787674,1606
X,1557188615,787834,1474
X,1557188615,787728,1575
X,1557188616,787697,1440
X,1557188616,787666,2017
X,1557188616,787746,1499
X,1557188617,787776,1816
X,1557188617,787697,1054
X,1557188618,787554,1660
P,1557188618,5168
X,1557188618,787637,1551
X,1557188619,787809,1724
X,1557188619,787836,1442
X,1557188620,787789,1222
X,1557188621,787639,1090
X,1557188621,787817,1697
X,1557188622,787818,631
X,1557188622,787741,1314
X,1557188623,787758,1097
X,1557188623,787636,1128
X,1557188624,787745,921
X,1557188625,787792,1850
X,1557188625,787802,1187
X,1557188626,787709,1267
X,1557188626,787667,1157
X,1557188627,787806,1035
X,1557188627,787796,1865
X,1557188628,787725,1248
X,1557188628,787709,1018
X,1557188629,787640,1471
X,1557188630,787737,1267
X,1557188630,787818,1747
X,1557188631,787754,1346
X,1557188631,787711,1250
X,1557188632,787714,1207
X,1557188632,787761,856
X,1557188633,787719,1510
X,1557188634,787830,923
X,1557188634,787540,1718
X,1557188635,787719,1022
X,1557188635,787792,1582
X,1557188636,787766,953
X,1557188636,787769,710
X,1557188637,787678,1275
X,1557188638,787753,1303
X,1557188638,787822,1208
X,1557188639,787719,1166
X,1557188639,787624,1245
X,1557188640,787721,1653
X,1557188640,787747,1225
X,1557188641,787789,1261
X,1557188642,787802,1194
X,1557188642,787723,1440
X,1557188643,787884,1260
X,1557188643,787873,1823
X,1557188644,787796,1256
X,1557188644,787754,963
X,1557188645,787743,1222
X,1557188645,787806,1746
X,1557188646,787720,1232
X,1557188647,787835,915
X,1557188647,787711,1192
X,1557188648,787934,1036
P,1557188648,5157
X,1557188648,787932,2120
X,1557188649,787982,1067
X,1557188649,787903,1200
X,1557188650,787953,821
X,1557188651,788163,1166
X,1557188651,788081,1142
X,1557188652,787997,1235
X,1557188652,787884,1162
X,1557188653,788019,1078
X,1557188653,788033,1504
X,1557188654,787964,1315
X,1557188655,787954,931
X,1557188655,787723,1235
X,1557188656,787810,1215
X,1557188656,787853,1587
X,1557188657,787789,1031
X,1557188657,787718,1190
X,1557188657,787741,2163
X,1557188658,787821,1360
X,1557188658,787973,1758
X,1557188659,787540,1201
X,1557188659,787311,1233
X,1557188660,787481,1987
X,1557188660,787628,1508
X,1557188661,787569,1693
X,1557188661,787536,938
A,1557188661,787771,418
T,1557188662,2776
U,1557188662,2
X,1557188663,787630,1609
X,1557188664,787660,1346
X,1557188665,787700,1387
X,1557188665,787689,1134
X,1557188666,787721,1503
X,1557188666,788158,1638
X,1557188667,788484,1054
X,1557188667,788008,1227
X,1557188668,787909,1283
X,1557188669,787923,1566
X,1557188669,787806,913
X,1557188670,787844,1239
X,1557188670,787636,1291
X,1557188671,787803,1019
X,1557188671,787801,1160
X,1557188672,787525,1274
X,1557188673,787662,1179
X,1557188673,787615,1117
X,1557188674,787761,1175
X,1557188674,787892,1411
X,1557188675,787717,1055
X,1557188675,787844,1277
X,1557188676,787881,1436
X,1557188676,787888,1503
X,1557188677,787705,1603
P,1557188677,5179
X,1557188678,787674,1185
X,1557188678,787527,1466
X,1557188679,787559,1541
X,1557188679,787763,1402
X,1557188680,787687,1067
X,1557188680,787587,1213
X,1557188681,787510,1059
X,1557188682,787763,1205
X,1557188682,787909,1503
X,1557188683,787780,1184
X,1557188683,787733,1108
X,1557188684,787618,1527
X,1557188684,787631,1004
X,1557188685,787474,1424
X,1557188686,787425,1112
X,1557188686,787249,852
X,1557188687,787556,951
X,1557188687,787491,1692
X,1557188688,787126,1538
X,1557188688,786811,1707
X,1557188689,787237,1667
X,1557188690,787394,1623
X,1557188690,787386,1177
X,1557188691,787509,1264
X,1557188691,787513,1645
X,1557188692,787624,1131
X,1557188692,787548,1374
X,1557188693,787644,1776
X,1557188693,787841,2035
X,1557188694,787787,1708
X,1557188695,787574,1912
X,1557188695,787625,2266
X,1557188696,787658,1604
X,1557188696,787533,1576
X,1557188697,787431,1456
X,1557188697,787459,1188
X,1557188698,787409,1328
X,1557188698,787551,1935
X,1557188698,787605,1532
X,1557188699,786905,1521
X,1557188699,787222,1711
X,1557188700,786980,3435
