H,1557264282,400700
D,1557264282,504832
D,1557264284,503808
D,1557264286,504320
D,1557264288,504064
P,1557264290,5206
D,1557264290,504064
D,1557264293,504576
D,1557264295,504064
D,1557264297,505088
D,1557264299,504320
D,1557264301,504320
D,1557264304,504576
D,1557264306,503296
D,1557264308,504320
D,1557264310,504320
D,1557264312,504064
D,1557264315,504064
D,1557264317,504064
D,1557264319,504064
P,1557264319,5216
D,1557264320,504576
D,1557264322,503808
D,1557264325,504576
D,1557264327,504320
D,1557264329,504064
D,1557264331,504064
D,1557264333,504832
D,1557264336,504320
D,1557264338,503808
D,1557264340,504576
D,1557264342,504320
D,1557264344,504576
D,1557264347,504320
D,1557264349,504576
P,1557264349,5215
D,1557264351,504064
D,1557264353,504320
D,1557264355,505856
D,1557264358,503552
D,1557264360,504576
D,1557264361,505088
D,1557264363,503808
D,1557264365,504320
D,1557264368,504064
D,1557264370,504064
D,1557264372,504832
D,1557264374,504064
D,1557264376,504064
P,1557264378,5215
D,1557264379,503808
D,1557264381,505088
D,1557264383,503808
D,1557264385,504320
D,1557264387,504320
D,1557264390,503808
D,1557264392,504064
D,1557264394,504064
D,1557264396,503808
R,1557264396,000000000
X,1557264398,758783,5274
X,1557264399,759336,887
X,1557264399,759367,751
X,1557264400,759515,1079
X,1557264400,759469,1232
X,1557264401,759550,1521
X,1557264401,759513,1473
X,1557264401,759490,817
X,1557264402,759613,2618
X,1557264402,759638,1373
X,1557264403,759159,14574
X,1557264403,759558,13932
X,1557264404,759451,1405
X,1557264404,759465,1208
X,1557264405,759591,1730
X,1557264406,759514,1288
X,1557264406,759596,1614
X,1557264407,759596,1331
P,1557264407,5207
X,1557264407,759673,1402
X,1557264408,759724,1153
X,1557264408,759798,1146
X,1557264409,759751,1296
X,1557264410,759716,1179
X,1557264410,759622,1126
X,1557264411,759534,1238
X,1557264411,759564,3778
X,1557264412,759723,1882
X,1557264412,759739,822
X,1557264413,759677,791
X,1557264414,759613,594
X,1557264414,759512,948
X,1557264415,759623,1254
X,1557264415,759618,666
X,1557264416,759607,889
X,1557264416,759430,690
X,1557264417,759227,840
X,1557264417,759378,1684
X,1557264418,759632,1162
X,1557264419,758711,18673
X,1557264419,760492,7182
X,1557264420,756950,19370
X,1557264420,759554,1342
X,1557264421,759569,10122
X,1557264421,760004,1668
X,1557264422,759677,1538
X,1557264423,759456,6494
X,1557264423,759775,2693
X,1557264424,759864,1523
X,1557264424,759880,12856
X,1557264425,759490,1922
X,1557264425,759840,3242
X,1557264426,759449,3821
X,1557264427,759819,929
X,1557264427,759728,1641
X,1557264428,759795,549
X,1557264428,759751,1376
X,1557264429,759744,1410
X,1557264429,759829,1761
X,1557264430,759868,4782
X,1557264431,759710,1113
X,1557264431,759671,1096
X,1557264432,759663,1009
X,1557264432,759657,1222
X,1557264433,759689,759
X,1557264433,759752,1285
X,1557264434,759769,944
X,1557264434,759753,854
X,1557264435,759851,1003
X,1557264436,759823,927
X,1557264436,759870,1363
X,1557264437,759934,1390
P,1557264437,5209
X,1557264437,759923,899
X,1557264438,760155,3434
X,1557264438,759692,7283
X,1557264439,759825,1019
X,1557264440,759781,1772
X,1557264440,759857,898
X,1557264441,759674,1086
X,1557264441,759641,821
A,1557264441,759634,696
T,1557264442,2855
U,1557264442,0
X,1557264442,759539,1536
X,1557264443,759683,927
X,1557264444,759591,1339
X,1557264444,759517,833
X,1557264445,759612,1021
X,1557264445,759729,1355
X,1557264446,759717,996
X,1557264446,759752,1174
X,1557264447,759707,639
X,1557264447,759624,1326
X,1557264448,759795,1018
X,1557264449,759883,1505
X,1557264449,759816,1553
X,1557264450,759779,1390
X,1557264450,759769,1510
X,1557264451,759790,979
X,1557264451,759845,1573
X,1557264452,759794,1087
X,1557264453,759788,1054
X,1557264453,759767,1554
X,1557264454,759796,1012
X,1557264454,759755,1018
X,1557264455,759814,1150
X,1557264455,759789,1395
X,1557264456,759807,1290
X,1557264457,759825,1320
X,1557264457,759772,657
X,1557264458,759779,1032
X,1557264458,759713,1231
X,1557264459,759767,719
X,1557264459,759681,1002
X,1557264460,759741,1356
X,1557264461,759753,1631
X,1557264461,759804,1364
X,1557264462,759689,920
X,1557264462,759618,1196
X,1557264463,759456,973
X,1557264463,759452,1318
X,1557264464,759370,1598
X,1557264465,759413,1309
X,1557264465,759515,1475
X,1557264466,759432,1192
X,1557264466,759513,1478
P,1557264466,5210
X,1557264467,759588,1355
X,1557264467,759538,1296
X,1557264468,759654,1096
X,1557264468,759717,1410
