H,1557807675,400700
P,1557807675,5183
P,1557807704,5185
P,1557807734,5185
P,1557807763,5185
P,1557807792,5184
P,1557807821,5186
P,1557807851,5183
P,1557807880,5185
P,1557807909,5184
P,1557807940,5186
P,1557807969,5184
P,1557807998,5186
P,1557808027,5186
P,1557808057,5185
P,1557808086,5185
P,1557808115,5185
P,1557808145,5184
P,1557808174,5185
P,1557808203,5185
P,1557808233,5183
P,1557808263,5184
P,1557808292,5185
P,1557808321,5186
P,1557808351,5184
P,1557808380,5186
P,1557808409,5186
P,1557808438,5184
P,1557808468,5184
P,1557808497,5184
P,1557808527,5185
P,1557808556,5185
P,1557808586,5184
P,1557808615,5186
P,1557808644,5185
P,1557808674,5184
P,1557808703,5184
P,1557808732,5185
P,1557808761,5185
P,1557808791,5183
P,1557808821,5186
P,1557808850,5182
P,1557808880,5186
P,1557808910,5185
P,1557808939,5182
P,1557808968,5186
P,1557808998,5182
P,1557809027,5185
P,1557809056,5184
P,1557809086,5185
P,1557809116,5184
O,1557809139,395028,2571
O,1557809140,402222,17735
O,1557809140,400066,7796
O,1557809141,397819,1675
O,1557809141,397345,4204
O,1557809142,400854,3964
O,1557809142,396886,4870
O,1557809143,395325,1457
O,1557809144,395620,2114
O,1557809144,400001,7953
P,1557809145,5178
O,1557809145,417176,18218
O,1557809145,411501,13246
O,1557809146,401336,5039
O,1557809146,404491,11382
O,1557809147,420013,22113
O,1557809147,409632,22265
O,1557809148,406273,7185
O,1557809149,407908,3600
O,1557809149,406878,12718
O,1557809150,407578,17373
O,1557809150,399966,4982
O,1557809151,397828,1496
O,1557809151,398901,7904
O,1557809152,401644,9776
O,1557809153,409334,15763
O,1557809153,413550,3599
O,1557809154,411263,5657
O,1557809154,415766,6063
O,1557809155,416511,14277
O,1557809155,399246,7577
O,1557809156,398604,4172
O,1557809157,397042,6155
O,1557809157,395928,3007
O,1557809158,396536,1590
O,1557809158,399237,6358
O,1557809159,398594,9824
O,1557809159,397815,2660
O,1557809160,398824,988
O,1557809161,404313,11471
O,1557809161,408489,4216
O,1557809162,408082,4107
O,1557809162,401244,6179
O,1557809163,399445,1381
O,1557809163,397563,1894
O,1557809164,396346,2001
O,1557809164,396002,2503
O,1557809165,395934,1845
O,1557809166,394925,2417
O,1557809166,394446,1602
O,1557809167,393961,2264
O,1557809167,394399,1460
O,1557809168,395447,1441
O,1557809168,396902,2365
O,1557809169,407733,14287
O,1557809170,409505,5872
O,1557809170,396707,5928
O,1557809171,396377,630
O,1557809171,398892,2814
O,1557809172,399630,1781
O,1557809172,402108,3731
O,1557809172,409779,17207
O,1557809173,413629,27266
O,1557809173,408646,7558
O,1557809174,400490,13388
P,1557809174,5180
O,1557809174,404638,11164
O,1557809175,400303,14912
O,1557809175,397083,4219
O,1557809176,401143,5414
O,1557809177,398087,7386
O,1557809177,398459,1372
O,1557809178,399318,1884
O,1557809178,398766,3873
O,1557809179,396294,3133
O,1557809179,397110,1026
O,1557809180,398246,1615
O,1557809180,397394,3583
O,1557809181,395670,1565
O,1557809182,394906,2343
O,1557809182,396213,1316
O,1557809183,395987,1259
O,1557809183,395405,1552
O,1557809184,395682,708
O,1557809184,396001,538
O,1557809185,397083,2043
O,1557809186,398057,4564
O,1557809186,404997,7488
O,1557809187,403274,1905
O,1557809187,404798,4070
O,1557809188,403264,10185
O,1557809188,397758,6310
O,1557809189,397650,4765
O,1557809190,395981,1450
O,1557809190,398453,2426
O,1557809191,398733,2600
O,1557809191,395608,900
O,1557809192,396107,1383
O,1557809192,399938,2304
O,1557809193,399488,2105
O,1557809194,402917,6468
O,1557809194,404595,4864
O,1557809195,400273,2635
T,1557809195,2803
P,1557809204,5183
P,1557809233,5185
P,1557809262,5183
P,1557809292,5184
P,1557809321,5185
P,1557809350,5186
P,1557809379,5183
P,1557809410,5184
P,1557809439,5186
P,1557809468,5183
P,1557809498,5184
P,1557809527,5185
P,1557809556,5184
P,1557809585,5184
P,1557809615,5182
P,1557809644,5185
P,1557809673,5184
P,1557809704,5184
P,1557809733,5185
P,1557809762,5184
P,1557809791,5182
P,1557809821,5185
P,1557809850,5185
P,1557809879,5185
P,1557809909,5184
P,1557809938,5185
P,1557809967,5184
P,1557809997,5185
P,1557810027,5182
P,1557810056,5185
P,1557810085,5184
P,1557810115,5186
P,1557810144,5186
P,1557810173,5185
P,1557810202,5185
P,1557810232,5184
P,1557810261,5185
P,1557810291,5185
P,1557810320,5184
P,1557810350,5185
P,1557810379,5183
P,1557810408,5184
P,1557810438,5186
P,1557810467,5182
P,1557810496,5183
P,1557810525,5185
P,1557810555,5183
P,1557810585,5185
P,1557810614,5183
