H,1558198169,400700
P,1558198169,5190
P,1558198198,5192
P,1558198227,5191
P,1558198257,5192
P,1558198286,5192
P,1558198316,5191
P,1558198346,5192
P,1558198375,5192
P,1558198404,5192
P,1558198433,5190
P,1558198463,5189
P,1558198492,5190
P,1558198521,5189
P,1558198551,5191
P,1558198580,5192
P,1558198610,5190
P,1558198639,5191
P,1558198669,5190
P,1558198698,5191
P,1558198727,5189
P,1558198757,5192
P,1558198786,5192
P,1558198815,5192
P,1558198844,5191
P,1558198874,5191
P,1558198904,5190
P,1558198933,5190
P,1558198962,5189
P,1558198992,5189
P,1558199021,5191
P,1558199050,5191
P,1558199080,5190
P,1558199109,5192
P,1558199138,5191
P,1558199167,5191
P,1558199198,5192
P,1558199227,5190
P,1558199256,5190
P,1558199286,5191
P,1558199315,5191
P,1558199344,5191
P,1558199373,5191
P,1558199403,5191
P,1558199432,5191
O,1558199445,340350,2795
O,1558199445,341042,510
O,1558199446,341518,196
O,1558199447,341536,235
O,1558199447,341691,189
O,1558199448,341757,323
O,1558199448,341775,205
O,1558199449,341794,224
O,1558199449,341635,133
O,1558199450,341728,236
O,1558199451,341670,192
O,1558199451,341571,249
O,1558199452,341689,124
O,1558199452,341800,201
O,1558199453,341766,330
O,1558199453,341764,200
O,1558199454,341865,102
O,1558199454,341979,220
O,1558199454,342061,186
O,1558199455,342126,193
O,1558199455,342093,105
O,1558199456,342088,169
O,1558199456,342179,161
O,1558199457,342248,172
O,1558199457,342255,155
O,1558199458,342317,259
O,1558199459,342309,113
O,1558199459,342282,234
O,1558199460,342275,124
O,1558199460,342296,620
O,1558199461,342202,206
O,1558199461,342326,223
P,1558199461,5182
O,1558199462,342451,129
O,1558199463,342430,207
O,1558199463,342432,114
O,1558199464,342419,209
O,1558199464,342401,368
O,1558199465,342717,214
O,1558199465,342720,145
O,1558199466,342752,231
O,1558199467,342721,375
O,1558199467,342632,103
O,1558199468,342751,294
O,1558199468,342843,267
O,1558199469,342849,161
O,1558199469,342965,225
O,1558199470,342981,177
O,1558199470,343027,134
O,1558199471,343070,177
O,1558199472,343205,134
O,1558199472,343387,233
O,1558199473,343188,231
O,1558199473,343210,133
O,1558199474,343208,215
O,1558199474,343090,582
O,1558199475,343021,257
O,1558199476,343005,99
O,1558199476,343061,240
O,1558199477,342973,153
O,1558199477,342901,172
O,1558199478,342913,208
O,1558199478,342941,187
O,1558199479,342964,131
O,1558199480,342908,263
O,1558199480,342916,173
O,1558199481,343024,154
O,1558199481,342996,115
O,1558199482,343045,149
O,1558199482,343051,128
O,1558199483,343010,242
O,1558199484,342956,158
O,1558199484,343097,182
O,1558199485,343112,225
O,1558199485,343147,124
O,1558199486,343144,194
O,1558199486,343118,167
O,1558199487,343193,147
O,1558199487,343210,131
O,1558199488,343158,205
O,1558199489,343170,179
O,1558199489,343255,272
O,1558199490,343250,239
O,1558199490,343230,163
O,1558199491,343265,182
O,1558199491,343118,130
P,1558199492,5184
O,1558199492,343090,209
O,1558199493,343107,159
O,1558199493,343112,235
O,1558199494,343136,218
O,1558199494,343212,273
O,1558199495,343420,324
O,1558199495,343508,249
O,1558199495,343393,221
O,1558199496,343419,87
O,1558199496,343454,208
O,1558199497,343498,185
O,1558199497,343406,166
O,1558199498,343286,218
O,1558199498,343341,210
O,1558199499,343284,207
O,1558199500,343294,212
T,1558199500,2920
P,1558199521,5192
P,1558199551,5191
P,1558199580,5190
P,1558199610,5191
P,1558199639,5192
P,1558199668,5189
P,1558199698,5191
P,1558199727,5192
P,1558199756,5191
P,1558199786,5191
P,1558199816,5192
P,1558199845,5192
P,1558199874,5191
P,1558199904,5189
P,1558199933,5190
P,1558199962,5190
P,1558199991,5191
P,1558200021,5190
P,1558200050,5191
P,1558200080,5191
P,1558200110,5191
P,1558200139,5190
P,1558200168,5191
P,1558200197,5191
P,1558200227,5190
P,1558200256,5190
P,1558200285,5191
P,1558200315,5191
P,1558200344,5192
P,1558200374,5190
P,1558200403,5191
P,1558200433,5192
P,1558200462,5190
P,1558200491,5190
P,1558200521,5189
P,1558200550,5191
P,1558200579,5191
P,1558200608,5191
P,1558200638,5191
P,1558200668,5191
P,1558200697,5189
P,1558200726,5192
P,1558200756,5189
P,1558200785,5192
P,1558200814,5189
P,1558200844,5191
P,1558200873,5191
P,1558200902,5191
P,1558200931,5191
P,1558200962,5189
P,1558200991,5189
P,1558201020,5192
P,1558201050,5191
P,1558201079,5191
P,1558201108,5192
