H,1559198746,400700
P,1559198746,5141
P,1559198775,5138
P,1559198805,5138
P,1559198834,5139
P,1559198863,5141
P,1559198893,5140
P,1559198922,5141
P,1559198951,5140
P,1559198980,5140
P,1559199011,5141
P,1559199040,5137
P,1559199069,5141
P,1559199098,5139
P,1559199128,5141
P,1559199157,5140
P,1559199186,5140
P,1559199216,5139
P,1559199245,5139
P,1559199274,5139
P,1559199304,5139
P,1559199334,5141
P,1559199363,5142
P,1559199392,5141
P,1559199422,5140
P,1559199451,5137
P,1559199480,5142
P,1559199509,5141
P,1559199539,5142
P,1559199568,5141
P,1559199598,5142
P,1559199628,5141
P,1559199657,5140
P,1559199686,5140
P,1559199715,5139
P,1559199745,5141
P,1559199774,5140
P,1559199803,5140
P,1559199833,5138
P,1559199862,5142
P,1559199892,5141
P,1559199921,5142
P,1559199951,5142
P,1559199980,5141
P,1559200009,5140
P,1559200039,5141
P,1559200068,5139
P,1559200097,5140
P,1559200126,5140
P,1559200156,5141
P,1559200186,5141
P,1559200215,5141
P,1559200245,5142
P,1559200274,5139
P,1559200303,5141
P,1559200332,5141
P,1559200362,5140
P,1559200391,5138
P,1559200420,5141
P,1559200450,5141
P,1559200480,5142
P,1559200509,5141
P,1559200538,5142
P,1559200568,5141
P,1559200597,5140
P,1559200626,5139
P,1559200656,5139
O,1559200657,374416,3151
O,1559200657,375372,214
O,1559200658,375482,263
O,1559200658,375782,478
O,1559200659,376114,197
O,1559200660,376190,110
O,1559200660,376202,143
O,1559200661,376226,122
O,1559200661,376249,119
O,1559200662,376349,103
O,1559200662,376385,151
O,1559200663,376365,228
O,1559200664,376315,114
O,1559200664,376393,232
O,1559200665,376280,150
O,1559200665,376323,182
O,1559200666,376475,214
O,1559200666,376528,176
O,1559200667,376490,204
O,1559200667,376567,195
O,1559200668,376669,105
O,1559200669,376603,205
O,1559200669,376512,178
O,1559200670,376514,202
O,1559200670,376631,131
O,1559200671,376663,178
O,1559200671,376775,84
O,1559200672,376764,181
O,1559200673,376617,177
O,1559200673,376617,176
O,1559200674,376574,225
O,1559200674,376580,121
O,1559200675,376435,205
O,1559200675,376403,424
O,1559200676,376296,237
O,1559200677,376507,305
O,1559200677,376571,198
O,1559200678,376566,72
O,1559200678,376558,96
O,1559200679,376569,173
O,1559200679,376540,152
O,1559200680,376546,152
O,1559200681,376613,221
O,1559200681,376577,145
O,1559200682,376591,166
O,1559200682,376551,151
O,1559200683,376548,154
O,1559200683,376619,115
O,1559200684,376607,136
O,1559200684,376713,220
O,1559200685,376771,185
P,1559200685,5135
O,1559200686,376890,93
O,1559200686,376797,168
O,1559200687,376906,193
O,1559200687,376911,166
O,1559200688,376881,137
O,1559200688,376939,120
O,1559200689,377038,208
O,1559200690,377111,150
O,1559200690,377056,182
O,1559200691,376885,195
O,1559200691,376822,186
O,1559200692,376573,247
O,1559200692,376524,425
O,1559200693,376542,119
O,1559200694,376658,306
O,1559200694,376805,175
O,1559200695,376716,189
O,1559200695,376619,94
O,1559200696,376659,163
O,1559200696,376487,231
O,1559200697,376288,277
O,1559200697,376267,220
O,1559200697,376080,139
O,1559200698,376084,471
O,1559200698,376618,243
O,1559200699,376703,203
O,1559200699,376801,101
O,1559200700,376843,237
O,1559200700,376812,147
O,1559200701,376610,205
O,1559200702,376689,474
O,1559200702,376845,294
O,1559200703,376784,245
O,1559200703,376905,92
O,1559200704,376846,150
O,1559200704,376800,172
O,1559200705,376850,138
O,1559200706,376652,163
O,1559200706,376661,255
O,1559200707,376336,235
O,1559200707,376074,314
O,1559200708,376592,304
O,1559200708,376444,346
O,1559200709,376467,214
O,1559200710,376495,162
O,1559200710,376672,146
O,1559200711,376527,168
O,1559200711,376809,178
O,1559200712,376816,161
O,1559200712,376916,142
T,1559200713,2889
P,1559200714,5140
P,1559200743,5141
P,1559200774,5141
P,1559200803,5141
P,1559200832,5140
P,1559200861,5142
P,1559200891,5141
P,1559200920,5142
P,1559200949,5141
P,1559200979,5142
P,1559201008,5141
P,1559201037,5142
P,1559201067,5140
P,1559201097,5142
P,1559201126,5140
P,1559201155,5140
P,1559201185,5141
P,1559201214,5142
P,1559201244,5138
P,1559201273,5138
P,1559201303,5140
P,1559201332,5139
P,1559201362,5142
P,1559201392,5140
P,1559201421,5141
P,1559201450,5140
P,1559201479,5140
P,1559201509,5139
P,1559201538,5141
P,1559201567,5140
P,1559201597,5141
P,1559201626,5142
P,1559201656,5142
P,1559201685,5141
P,1559201715,5140
P,1559201744,5142
