H,1560214059,359469
P,1560214059,5307
P,1560214089,5307
P,1560214118,5309
P,1560214148,5308
P,1560214178,5308
P,1560214207,5308
P,1560214236,5308
P,1560214265,5308
P,1560214295,5307
P,1560214324,5308
P,1560214353,5307
P,1560214383,5306
P,1560214412,5306
P,1560214442,5308
P,1560214471,5309
P,1560214501,5306
P,1560214530,5304
P,1560214559,5308
P,1560214589,5308
P,1560214618,5304
P,1560214647,5309
P,1560214676,5307
P,1560214706,5309
O,1560214730,380140,2656
O,1560214731,380410,187
O,1560214732,380705,201
O,1560214732,380682,189
O,1560214733,380706,202
O,1560214733,380854,136
O,1560214734,380882,74
O,1560214734,380975,176
O,1560214735,381003,177
P,1560214736,5301
O,1560214736,380645,474
O,1560214736,380887,266
O,1560214737,381006,185
O,1560214737,381000,140
O,1560214738,381007,166
O,1560214738,381067,166
O,1560214739,381105,140
O,1560214740,381165,250
O,1560214740,381250,178
O,1560214741,381320,145
O,1560214741,381588,164
O,1560214742,381577,102
O,1560214742,381587,158
O,1560214743,381713,168
O,1560214744,381830,177
O,1560214744,381961,88
O,1560214745,381987,239
O,1560214745,382050,326
O,1560214746,382111,108
O,1560214746,382304,283
O,1560214747,382308,133
O,1560214747,382332,169
O,1560214748,382434,143
O,1560214749,382365,140
O,1560214749,382360,133
O,1560214750,382327,85
O,1560214750,382267,106
O,1560214751,382278,123
O,1560214751,382220,128
O,1560214752,382264,70
O,1560214753,382354,94
O,1560214753,382411,89
O,1560214754,382459,86
O,1560214754,382511,211
O,1560214755,382661,187
O,1560214755,382762,176
O,1560214755,382788,147
O,1560214756,382822,104
O,1560214756,382902,136
O,1560214757,382966,114
O,1560214757,382927,151
O,1560214758,382986,190
O,1560214758,383032,163
O,1560214759,383109,203
O,1560214760,383079,202
O,1560214760,383084,130
O,1560214761,383170,204
O,1560214761,382982,197
O,1560214762,383106,312
O,1560214762,383462,319
O,1560214763,383551,254
O,1560214764,383518,212
O,1560214764,383477,183
O,1560214765,383528,222
P,1560214765,5301
O,1560214765,383471,302
O,1560214766,383575,294
O,1560214766,383344,320
O,1560214767,383414,202
O,1560214767,383477,80
O,1560214768,383483,34
O,1560214769,383514,58
O,1560214769,383687,203
O,1560214770,383864,128
O,1560214770,383969,197
O,1560214771,384110,226
O,1560214771,384298,223
O,1560214772,384489,152
O,1560214773,384576,78
O,1560214773,384402,302
O,1560214774,384291,217
O,1560214774,384129,206
O,1560214775,384080,216
O,1560214775,384069,178
O,1560214776,384090,128
O,1560214777,384239,201
O,1560214777,384308,155
O,1560214778,384365,100
O,1560214778,384391,124
O,1560214779,384433,155
O,1560214779,384491,98
O,1560214780,384418,113
O,1560214781,384386,209
O,1560214781,384392,187
O,1560214782,384401,151
O,1560214782,384409,277
O,1560214783,384415,256
O,1560214783,384489,124
O,1560214784,384453,77
O,1560214784,384457,128
O,1560214785,384467,93
O,1560214786,384541,110
O,1560214786,384541,130
T,1560214786,2863
P,1560214795,5306
P,1560214824,5306
P,1560214853,5308
D,1560214856,407552
D,1560214859,479744
R,1560214859,000000000
X,1560214861,709793,59269
X,1560214861,712927,11768
X,1560214862,710230,32762
X,1560214862,710638,10330
X,1560214863,711707,6301
X,1560214864,711628,2502
X,1560214864,711430,2253
X,1560214865,711769,4503
X,1560214865,711849,2797
X,1560214866,711702,9840
X,1560214866,711872,5519
X,1560214867,710191,30757
X,1560214867,713002,11394
X,1560214868,710528,34774
X,1560214869,715075,31522
X,1560214869,714883,51138
X,1560214870,712988,60739
X,1560214870,713900,46853
X,1560214871,713379,13860
X,1560214871,712383,5712
X,1560214872,712868,3239
X,1560214873,713082,2901
X,1560214873,712824,1687
X,1560214874,712880,3279
X,1560214874,713033,3156
X,1560214875,713010,1733
X,1560214875,712862,2018
X,1560214876,712870,5017
X,1560214877,713270,5430
X,1560214877,712713,7516
X,1560214878,712955,3361
X,1560214878,712939,3539
X,1560214878,713324,12657
X,1560214878,712876,5492
X,1560214879,712709,1895
X,1560214880,712874,2462
X,1560214880,713119,2969
X,1560214881,713017,2641
X,1560214881,712887,2018
X,1560214882,712937,3268
P,1560214882,5300
X,1560214882,713389,5052
X,1560214883,712974,6712
X,1560214883,712854,1945
X,1560214884,712935,2255
X,1560214885,712709,2201
X,1560214885,712752,2180
X,1560214886,712534,12028
