H,1562552649,359469
P,1562552649,5170
P,1562552679,5167
P,1562552708,5167
P,1562552738,5170
P,1562552767,5168
P,1562552796,5169
P,1562552826,5169
P,1562552855,5170
P,1562552884,5170
P,1562552913,5170
P,1562552943,5168
P,1562552973,5169
P,1562553002,5166
P,1562553031,5168
P,1562553061,5165
P,1562553090,5167
P,1562553119,5170
P,1562553149,5170
P,1562553178,5170
P,1562553207,5169
P,1562553236,5170
P,1562553267,5170
P,1562553296,5168
P,1562553325,5169
P,1562553355,5170
P,1562553384,5169
P,1562553413,5167
P,1562553442,5170
P,1562553472,5170
P,1562553501,5167
P,1562553530,5170
P,1562553561,5170
P,1562553590,5170
P,1562553619,5169
P,1562553648,5169
P,1562553678,5166
P,1562553707,5167
P,1562553736,5170
P,1562553766,5168
P,1562553795,5170
P,1562553824,5169
O,1562553841,378312,8935
O,1562553841,379233,179
O,1562553842,379263,166
O,1562553843,379339,260
O,1562553843,379335,92
O,1562553844,379225,202
O,1562553844,379207,142
O,1562553845,379202,73
O,1562553845,379128,239
O,1562553846,379087,138
O,1562553847,379079,83
O,1562553847,379093,163
O,1562553848,379083,217
O,1562553848,379082,249
O,1562553849,378981,195
O,1562553849,378956,252
O,1562553850,379091,365
O,1562553850,378980,178
O,1562553851,378911,430
O,1562553851,379070,322
O,1562553851,379041,176
O,1562553852,379068,319
O,1562553852,379231,413
O,1562553853,378856,272
O,1562553853,378856,448
P,1562553854,5164
O,1562553854,378859,257
O,1562553855,378779,226
O,1562553855,378662,372
O,1562553856,378691,426
O,1562553856,378781,336
O,1562553857,378894,235
O,1562553857,378873,276
O,1562553858,379186,313
O,1562553859,378919,319
O,1562553859,378904,445
O,1562553860,378934,246
O,1562553860,378807,363
O,1562553861,378710,318
O,1562553861,378861,155
O,1562553862,378743,257
O,1562553863,378871,242
O,1562553863,378943,262
O,1562553864,378973,166
O,1562553864,379110,201
O,1562553865,379111,292
O,1562553865,379188,288
O,1562553866,379232,275
O,1562553866,379178,376
O,1562553867,379414,246
O,1562553868,379709,151
O,1562553868,379500,329
O,1562553869,379551,409
O,1562553869,379603,752
O,1562553870,380298,215
O,1562553870,380165,165
O,1562553871,380118,249
O,1562553872,379886,173
O,1562553872,379749,191
O,1562553873,379768,244
O,1562553873,379699,213
O,1562553874,379580,219
O,1562553874,379289,117
O,1562553875,379371,184
O,1562553876,379376,66
O,1562553876,379343,131
O,1562553877,379380,197
O,1562553877,379365,193
O,1562553878,379171,249
O,1562553878,379371,271
O,1562553879,379360,324
O,1562553880,379407,172
O,1562553880,379382,139
O,1562553881,379343,254
O,1562553881,379314,217
O,1562553882,379357,192
O,1562553882,379366,214
O,1562553883,379290,115
O,1562553883,379364,79
P,1562553884,5161
O,1562553884,379362,181
O,1562553885,379363,97
O,1562553885,379380,160
O,1562553886,379402,161
O,1562553886,379372,193
O,1562553887,379312,221
O,1562553887,379354,173
O,1562553888,379302,229
O,1562553889,379473,278
O,1562553889,379571,142
O,1562553890,379791,217
O,1562553890,379885,145
O,1562553891,379758,139
O,1562553891,379647,344
O,1562553892,379502,120
O,1562553892,379475,188
O,1562553892,379459,254
O,1562553893,379445,144
O,1562553893,379398,160
O,1562553894,379293,151
O,1562553894,379383,228
O,1562553895,379453,187
O,1562553896,379515,314
T,1562553896,2925
P,1562553913,5169
P,1562553942,5169
P,1562553972,5170
P,1562554001,5169
P,1562554030,5170
P,1562554059,5169
P,1562554089,5169
P,1562554118,5164
P,1562554148,5167
P,1562554178,5169
P,1562554207,5167
P,1562554236,5170
P,1562554265,5168
P,1562554295,5170
P,1562554324,5167
P,1562554353,5170
P,1562554383,5169
P,1562554412,5169
P,1562554442,5169
P,1562554471,5169
P,1562554501,5169
P,1562554530,5168
P,1562554559,5169
P,1562554589,5167
P,1562554618,5166
P,1562554647,5168
P,1562554676,5169
P,1562554706,5169
P,1562554736,5170
P,1562554765,5170
P,1562554794,5169
P,1562554824,5168
P,1562554853,5162
P,1562554883,5169
P,1562554913,5167
P,1562554942,5169
P,1562554971,5169
P,1562555000,5169
P,1562555031,5167
P,1562555060,5169
P,1562555089,5168
P,1562555119,5169
P,1562555148,5170
P,1562555177,5167
P,1562555206,5170
P,1562555236,5168
P,1562555265,5168
P,1562555294,5168
P,1562555325,5169
P,1562555354,5169
P,1562555383,5167
P,1562555412,5169
P,1562555442,5165
P,1562555471,5168
P,1562555500,5169
P,1562555530,5168
P,1562555559,5169
P,1562555588,5168
